Name,"Case Number",City,State,"Date Filed","Region Assigned",Status,"Date Closed","Reason Closed","No. of Eligible Voters","No. of Employees","Certified Representative","Unit Sought"
"Wellpath at San Luis Obispo County Jail",31-RC-286145,"San Luis Obispo",CA,11/12/2021,"Region 31, Los Angeles, California",Open,,,,47,,"Included:
All full-time, regular part-time and per diem professional and non-professional
employees including PRN Substance Abuse Counselor (SAC), Licensed Psychiatric
Tech (LPT), Administrative Assistant (AA), Psychiatric Nurse Practitioner
(PNP), Registered Nurse (RN), PRN Registered Nurse (RN), Licensed Vocational
Nurse (LVN), PRN Licensed Vocational Nurse (LVN), Licensed Marriage and Family
Therapist (LMFT), PRN Licensed Marriage and Family Therapist (LMFT), Licensed
Psychiatric Tech (LPT) Discharge Planner, Jail Based Competency (JBCT)
Psychologist, Jail Based Competency Administrative Assistant (JBCT AA), Licensed
Clinical Social Worker (LCSW), PRN Nurse Practitioner (NP), Dental Assistant, PRN
Dental Assistant, Substance Abuse Counselor / Jail Based Competency Trainer
(SAC / JBCT Trainer), Jail Based Competency (JBCT) Psychiatrist, Physician's
Assistant (PA), and Psychiatrist employed by the Employer at the San Luis Obispo
County Jail located at 1585 Kansas Avenue, San Luis Obispo, California 93405.
Excluded:
All other employees, confidential employees, guards and supervisors as defined
by the National Labor Relations Act.
"
"Federal Emergency Management Agency",05-CA-286150,Washington,DC,11/12/2021,"Region 05, Baltimore, Maryland",Open,,,,20000,,
"International Brotherhood of Electrical Workers 716",16-CA-286143,Houston,TX,11/12/2021,"Region 16, Fort Worth, Texas",Open,,,,20,,
"Alden Estates of Naperville, Inc.",13-CA-286097,Naperville,IL,11/12/2021,"Region 13, Chicago, Illinois",Open,,,,100,,
"Causa of Oregon",19-CA-286138,Salem,OR,11/12/2021,"Region 19, Seattle, Washington",Open,,,,10,,
"Local 32BJ (Akam Management)",02-CB-286152,"New York",NY,11/12/2021,"Region 02, New York, New York",Open,,,,8,,
"G&D Integrated Manufacturing, LLC",25-CA-286133,Morton,IL,11/12/2021,"Region 25, Indianapolis, Indiana",Open,,,,19,,
"Christensen Arms",27-CA-286158,Gunnison,UT,11/12/2021,"Region 27, Denver, Colorado",Open,,,,100,,
"Thompson Sanitation",03-RC-286087,"Rock Hill",NY,11/12/2021,"Region 03, Buffalo, New York",Open,,,,25,,"Included: CDL Drivers, non-CDL drivers, helpers, mechanics, welders Excluded: Supervisors and those in management roles"
"G&D Integrated Manufacturing, LLC",25-CA-286147,Morton,IL,11/12/2021,"Region 25, Indianapolis, Indiana",Open,,,,19,,
"Loomis, US",16-CA-286148,Houston,TX,11/12/2021,"Region 16, Fort Worth, Texas",Open,,,,150,,
"Boston Opera House",01-CA-286102,Boston,MA,11/12/2021,"Region 01, Boston, Massachusetts",Open,,,,40,,
Chemours,15-CA-286081,Memphis,TN,11/11/2021,"Region 15, New Orleans, Louisiana",Open,,,,82,,
"The New York Times Company dba Wirecutter",02-CA-286132,"New York",NY,11/11/2021,"Region 02, New York, New York",Open,,,,100,,
"American Postal Workers Union (United States Postal Service)",15-CB-286086,Leonville,LA,11/11/2021,"Region 15, New Orleans, Louisiana",Open,,,,1,,
"First Student, Inc.",15-CA-286099,Memphis,TN,11/11/2021,"Region 15, New Orleans, Louisiana",Open,,,,50,,
"American Postal Workers Union AFL-CIO (USPS)",02-CB-286128,Washington,DC,11/11/2021,"Region 02, New York, New York",Open,,,,100,,
"United States Postal Service",10-CA-286084,"West Columbia",SC,11/11/2021,"Region 10, Atlanta, Georgia",Open,,,,500,,
"Starbucks Corporation",03-RC-285986,Amherst,NY,11/10/2021,"Region 03, Buffalo, New York",Open,,,,41,,"All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers.  Excluded:  Store Managers; office clericals, guards, and supervisors."
"Hamilton College",03-RC-286034,Clinton,NY,11/10/2021,"Region 03, Buffalo, New York",Open,,,,69,,"All Residential Advisors.  Excluded:  All other employees, guards, supervisors, confidential employees as defined by the Act."
"SEIU Healthcare Pennsylvania, CTW, CLC (UPMC Altoona)",06-CG-286151,Altoona,PA,11/10/2021,"Region 06, Pittsburgh, Pennsylvania",Open,,,,2021,,
"Foodlink,Inc.",03-CA-285977,Rochester,NY,11/10/2021,"Region 03, Buffalo, New York",Open,,,,67,,
"Symphony of Evanston, LLC",13-RC-286065,Evanston,IL,11/10/2021,"Region 13, Chicago, Illinois",Open,,,,66,,"Included: All unrepresented service and maintenance employees, including Certified
Nursing Assistants (CNAs), dietary aides, cooks, housekeeping employees, laundry
employees, activity aides, maintenance employees, and utility aides
Excluded: Licensed practical and registered nurses, confidential employees, casual
employees, guards, managers and supervisors as defined by the Act and all currently
represented employees"
"Trees, LLC",27-RC-286071,Pocatello,ID,11/10/2021,"Region 27, Denver, Colorado",Open,,,,24,,"Included: Foreman 1, Foreman 2, Foreman 3, Foreman w/o herbicide, Trimmer 1, Trimmer 2, Trimmer Trainee, Senior Trimmer, Groundman, Groundman 1, Groundman 2. 

Excluded: All other employees, confidential employees, guards and supervisors defined by the act."
Lumen,19-CA-286126,Kalispell,MT,11/10/2021,"Region 19, Seattle, Washington",Open,,,,15,,
"Dignity Health St. John's Regional Medical Center",31-CA-286129,Oxnard,CA,11/10/2021,"Region 31, Los Angeles, California",Open,,,,1000,,
"BOB'S DISCOUNT FURNITURE STORES, LLC",01-CA-286115,Manchester,NH,11/10/2021,"Region 01, Boston, Massachusetts",Open,,,,25,,
"Dollar General",01-CA-286021,Barkhamsted,CT,11/10/2021,"Region 01, Boston, Massachusetts",Open,,,,20,,
"Keck Medicine of USC, Ambulatory Care, Cardiovasular Medicine Clinic",21-RC-286072,"Los Angeles",CA,11/10/2021,"Region 21, Los Angeles, California",Open,,,,21,,"Included: All full-time, part-time and per diem service and non-professional employees including patient navigator, healthcare conderge, support coordinator, scheduler deparatment secretary, medical assistant, lvn, device technician, device support coordinator and clinical authorization specialist employed by the Employer at the Cardiovascular Medicine Clinic at 1520 San Pablo St, Suite 4600, Los Angeles, CA (Armour-Globe into USC Ambulatory Care Operations Contract)

Excluded: All other employees, managment employees, confidential employees, physicians, registered nurses (RNs), other professional employees, skilled maintenance employees, already represented employees, guards, and supervisors as defined in the Act."
"Stephens Media Group - Massena, LLC",03-CB-285980,Massena,NY,11/10/2021,"Region 03, Buffalo, New York",Open,,,,8,,
"Foodlink, Inc.",03-CA-285978,Rochester,NY,11/10/2021,"Region 03, Buffalo, New York",Open,,,,67,,
"The Wavecrest Management Team LTD/Brook Ave Owner LLC",02-RC-286040,Bronx,NY,11/10/2021,"Region 02, New York, New York",Open,,,,2,,"Included: All full time & regular part time superintendents and porters Excluded: All other employees including office clerical employees, guards & supervisors as defined in the Act"
"Transdev Services Inc., San Diego Division",21-CA-286089,"El Cajon",CA,11/10/2021,"Region 21, Los Angeles, California",Open,,,,100,,
"Hamilton College",03-RC-286024,Clinton,NY,11/10/2021,"Region 03, Buffalo, New York",Open,,,,16,,"All DMC Student Ambassadors.  Excluded:  All other employees, guards, supervisors, confidential employees as defined by the Act."
"SpArc Philadelphia",04-CA-286042,Philadelphia,PA,11/10/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,50,,
"United Rentals d/b/a Norris Sales",04-RC-286030,Conshohocken,PA,11/10/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,15,,"Included:  All regular & part time warehouse employees, shop mechanics, yardmen & helpers

Excluded:  Office personnel, supervisors, guards and all others excluded by the Act"
"IAM 751 (The Boeing Company)",19-CB-286121,Seattle,WA,11/10/2021,"Region 19, Seattle, Washington",Open,,,,1,,
"White Dove Mattress",08-CA-286027,"Newburgh Heights",OH,11/10/2021,"Region 08, Cleveland, Ohio",Open,,,,100,,
"United States Postal Service",10-CA-286061,Raleigh,NC,11/10/2021,"Region 10, Atlanta, Georgia",Open,,,,600,,
"Tulsa Police Department",14-CA-286067,Tulsa,OK,11/10/2021,"Region 14, Saint Louis, Missouri",Open,,,,700,,
"ILA Local 1402 [Longshoremen]",12-CB-286033,Tampa,FL,11/10/2021,"Region 12, Tampa, Florida",Open,,,,100,,
"Host Terminals, LLC and PES Administrative Services as joint employers",04-CA-286082,Philadelphia,PA,11/10/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,10,,
"WAI Construction Group LLC",10-RC-286018,Huntsville,AL,11/10/2021,"Region 10, Atlanta, Georgia",Open,,,,9,,"Included: Full Time and Part Time Instrument Mechanics, Engineer technicians III, IV, V, and VI. Excluded: All other Employees."
"The Wave Crest Management Team LTD/West 144 Owner LLC",02-RC-286045,"New York",NY,11/10/2021,"Region 02, New York, New York",Open,,,,2,,"Included: all full time and regular part time superintendents and porters Excluded: All other employees including office clerical employees, guards & supervisors as defined in the Act"
"The Wavecrest Management Team LTD/2340 Beaumont Owner LLC",02-RC-286035,Bronx,NY,11/10/2021,"Region 02, New York, New York",Open,,,,2,,"Included: All full time & regular part time superintendents & porters Excluded: all other employees including office clerical employees, guards & supervisors as defined in the Act."
"Voodoo Doughnut, LLC",19-CA-286050,Portland,OR,11/10/2021,"Region 19, Seattle, Washington",Open,,,,40,,
"United States Postal Service",14-CA-286012,"Kansas City",KS,11/10/2021,"Region 14, Saint Louis, Missouri",Open,,,,300,,
"Consolidated Edison of New York",02-CA-286090,Manhattan,NY,11/10/2021,"Region 02, New York, New York",Open,,,,6800,,
"Gulf to Bay Donuts, Inc.",12-CA-286051,Clearwater,FL,11/10/2021,"Region 12, Tampa, Florida",Open,,,,15,,
"45 Martense Street Owners Corp. and Maxx Properties",02-CA-285972,Harrison,NY,11/10/2021,"Region 02, New York, New York",Open,,,,20,,
Schnucks,14-CA-286063,Kinloch,MO,11/10/2021,"Region 14, Saint Louis, Missouri",Open,,,,115,,
"Pan American Grain Manufacturing Inc.",12-CA-286079,Guaynabo,PR,11/10/2021,"Region 12, Tampa, Florida",Open,,,,40,,
"The Wavecrest Management Team LTD/Cranford Owner LLC",02-RC-286046,Bronx,NY,11/10/2021,"Region 02, New York, New York",Open,,,,2,,"Included: All full time & regular part time superintendents & porters Excluded: All other employees including office clerical employees, guards & supervisors as defined in the Act"
"Zenith American Solutions",19-CA-286123,Bothell,WA,11/10/2021,"Region 19, Seattle, Washington",Open,,,,99,,
"SAINT VINCENT HOSPTIAL",01-CA-286085,Worcester,MA,11/10/2021,"Region 01, Boston, Massachusetts",Open,,,,20,,
"ZF North America Inc.",25-CA-286013,Lafayette,IN,11/10/2021,"Region 25, Indianapolis, Indiana",Open,,,,400,,
"Sun Chemical Corporation",25-CA-286058,Kankakee,IL,11/10/2021,"Region 25, Indianapolis, Indiana",Open,,,,40,,
"3H Group, Inc.",12-CA-286047,"Altamonte Springs",FL,11/10/2021,"Region 12, Tampa, Florida",Open,,,,25,,
"SpArc Philadelphia",04-CA-286056,Philadelphia,PA,11/10/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,50,,
"Stellantis - Sterling Stamping Plant",07-CA-286083,"Sterling Heights",MI,11/10/2021,"Region 07, Detroit, Michigan",Open,,,,1988,,
"United States Postal Service",15-CA-286066,"Baton Rouge",LA,11/10/2021,"Region 15, New Orleans, Louisiana",Open,,,,30,,
Albertsons,27-RC-286011,"Idaho Falls",ID,11/10/2021,"Region 27, Denver, Colorado",Open,,,,3,,"Include: All Starbucks employees in armoured globe election into grocery contact. Exclude: All Managers guards and supervisors as defined by the act."
"Teamsters Local 610 (Schnucks)",14-CB-286064,Kinloch,MO,11/10/2021,"Region 14, Saint Louis, Missouri",Open,,,,115,,
"2601 Glenwood Road Owners Corp. and Maxx Properties",02-CA-285997,Harrison,NY,11/10/2021,"Region 02, New York, New York",Open,,,,,,
"Regional Ready Mix, LLC",25-CA-286054,Rochelle,IL,11/10/2021,"Region 25, Indianapolis, Indiana",Open,,,,15,,
"Hatalom Corporation",31-CA-286130,"Twentynine Palms",CA,11/10/2021,"Region 31, Los Angeles, California",Open,,,,4,,
"Pan American Grain Company, Inc.",12-CA-286080,Guaynabo,PR,11/10/2021,"Region 12, Tampa, Florida",Open,,,,40,,
"Express Scripts, Inc.",04-CA-286117,Florence,NJ,11/10/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,380,,
"The National Collegiate Athletic Association",25-CA-286101,Indianapolis,IN,11/10/2021,"Region 25, Indianapolis, Indiana",Open,,,,1000,,
"North Carolina Association of Educators",10-CA-286077,Raleigh,NC,11/10/2021,"Region 10, Atlanta, Georgia",Open,,,,20,,
Schnucks,14-CA-286060,Kinloch,MO,11/10/2021,"Region 14, Saint Louis, Missouri",Open,,,,50,,
"Precision Vehicle Logistics",08-CA-286055,Sheffield,OH,11/10/2021,"Region 08, Cleveland, Ohio",Open,,,,10,,
"Los Angeles Opera Company",21-RC-286032,"Los Angeles",CA,11/10/2021,"Region 21, Los Angeles, California",Open,,,,22,,"Included:  All full-time and regular part-time wardrobe and costume employees, including seasonal employees, employed by the Employer at the Los Angeles Opera Costume Shop, located at 1655 East 14th Street, Los Angeles, CA 90021.

Excluded:  All supervisors and guards as defined in the Act."
"National Postal Mail Handlers Union Local 317 (United State Postal Service)",10-CB-286053,Birmingham,AL,11/10/2021,"Region 10, Atlanta, Georgia",Open,,,,1000,,
"Willow Crest Nursing Pavilion",25-CA-286075,Sandwich,IL,11/10/2021,"Region 25, Indianapolis, Indiana",Open,,,,75,,
"Sutter Care at Home (SCAH)",32-RC-286112,Alameda,CA,11/10/2021,"Region 32, Oakland, California",Open,,,,163,,"Included:	All full-time, regular part-time and per diem professional, registered nurse, and technical employees employed by the employer at 1025 Atlantic Ave., Suite A, Alameda, CA 94501 and 5099 Commercial Circle, Suite 205, Concord, CA 94520 in the following job classifications:

Physical Therapist, Occupational Therapist, Speech Therapist, Medical Social Worker, Primary Care Clinician – Registered Nurse (PCC-RN), Home Infusion Therapy Nurse, Hospital Liaison, Licensed Vocational Nurse, Licensed Vocational Nurse – Care Coordinator/Clinical Support, Physical Therapist Assistant, Occupational Therapy Assistant

Excluded:  All other employees, confidential employees, employees represented by other labor organizations, guards and supervisors as defined by the National Labor Relations Act.

"
"Chicago & Midwest Regional Jt Board, Local 3121 (TJX, Companies -HomeGoods Distribution Center)",08-CB-286038,Warren,OH,11/10/2021,"Region 08, Cleveland, Ohio",Open,,,,100,,
"Teamsters Local 610 (Schnucks)",14-CB-286062,Kinloch,MO,11/10/2021,"Region 14, Saint Louis, Missouri",Open,,,,50,,
"385 Argyle Road Owners Corp. and Maxx Properties",02-CA-285985,Harrison,NY,11/10/2021,"Region 02, New York, New York",Open,,,,,,
"Kaiser Foundation Hospitals",21-CA-286141,"Moreno Valley",CA,11/10/2021,"Region 21, Los Angeles, California",Open,,,,1,,
"Eaton Aerospace",15-CA-286031,Jackson,MS,11/10/2021,"Region 15, New Orleans, Louisiana",Open,,,,325,,
"Flamingo Las Vegas Operating Company, LLC d/b/a Flamingo Las Vegas",28-CA-286136,"Las Vegas",NV,11/10/2021,"Region 28, Phoenix, Arizona",Open,,,,1000,,
"Saputo Dairy Foods USA, LLC",03-CA-286001,Friendship,NY,11/10/2021,"Region 03, Buffalo, New York",Open,,,,250,,
"COCA COLA CONSOLIDATED",09-CA-286125,Erlanger,KY,11/10/2021,"Region 09, Cincinnati, Ohio",Open,,,,20,,
"Gonzales Consulting Services Inc.",05-CA-286146,Washington,DC,11/10/2021,"Region 05, Baltimore, Maryland",Open,,,,30,,
"EMERSON COLONIAL THEATRE",01-CA-286093,Boston,MA,11/10/2021,"Region 01, Boston, Massachusetts",Open,,,,40,,
"Starbucks Corporation",03-RC-285989,Depew,NY,11/10/2021,"Region 03, Buffalo, New York",Open,,,,31,,"All full-time and regular part-time Baristas, Shift Supervisors, Asst. Store Managers.  Excluded:  Store Manager; office clericals, guards, and supervisors as defined by the Act."
"Keck Medicine of USC, Ambulatory Care, CVTI Diagnostic Department",21-RC-286070,"Los Angeles",CA,11/10/2021,"Region 21, Los Angeles, California",Open,,,,19,,"Included: All full time, part time and per diem service and non-professional employees including echo tech, vascular tech, cardiovascular tech, support coordinator, nuclear tech and echo lead tech employbed by the Employer in the CVTI Diagnostic Center at 1520 San Pablo St. Building CA, Los Angeles, CA 90033 (Armor Globe election in existing Ambulatory care contract)

Excluded: All other employees, manangers, confidential employees, physicians, registered nurses (RNs) other professional employees, skilled maintenance employees, other represented employees, guards and supervisors as defined in the Act."
"Communitas Group",19-RC-286009,Bremerton,WA,11/09/2021,"Region 19, Seattle, Washington",Open,,,,65,,"Included: All full-time, part-time and on-call residential service employees employed by the Employer who provide direct care services including direct support professionals (“DSP”), team leads and any other similar job title or classification. Also, any other service classifications established hereafter where eligibility remains consistent with the National Labor Relations Act (NLRA) shall be included. Excluded: All case managers, other employees not providing residential care services employed by the Employer, managers, confidential employees, registered nurses, office clerical employees, professional employees, technical employees, receptionists, guards, schedulers, and supervisors as defined in NLRA."
"Good Samaritan Home Care - Member of Westchester Medical Center Health Network",02-CA-285974,Middletown,NY,11/09/2021,"Region 02, New York, New York",Open,,,,40,,
"D H Griffin Wrecking Co.",10-CA-285921,Drakesboro,KY,11/09/2021,"Region 10, Atlanta, Georgia",Open,,,,15,,
"Johnson Controls",05-CA-285946,York,PA,11/09/2021,"Region 05, Baltimore, Maryland",Open,,,,270,,
"Starbucks Corporation",03-RC-285929,Cheektowaga,NY,11/09/2021,"Region 03, Buffalo, New York",Open,,,,31,,"All full-time and regular part-time Baristas, Shift Supervisors, Asst Store Managers.  Excluded:  Store Managers; office clericals, guards, and supervisors as defined by the Act."
"SERVICE EMPLOYEES INTERNATIONAL UNION (SEIU) DISTRICT 1199 WV/KY/OH (Cabell Huntington Hospital)",09-CB-286048,Huntington,WV,11/09/2021,"Region 09, Cincinnati, Ohio",Open,,,,2900,,
"United States Postal Service",25-CA-285926,Springfield,IL,11/09/2021,"Region 25, Indianapolis, Indiana",Open,,,,70,,
"70 Lenox Road Owners Corp. and Maxx Properties",02-CA-286036,Harrison,NY,11/09/2021,"Region 02, New York, New York",Open,,,,10,,
"CSM Corporation d/b/a Hilton Garden Inn",28-CA-286111,Phoenix,AZ,11/09/2021,"Region 28, Phoenix, Arizona",Open,,,,35,,
"Baggage Airline Guest Service Inc. d/b/a BAGS",12-CA-286017,Orlando,FL,11/09/2021,"Region 12, Tampa, Florida",Open,,,,255,,
"Washington River Protection Solutions, LLC",19-CA-286110,Richland,WA,11/09/2021,"Region 19, Seattle, Washington",Open,,,,600,,
"Yale New Haven Hospital",01-CA-286005,"New Haven",CT,11/09/2021,"Region 01, Boston, Massachusetts",Open,,,,275,,
"Republic Steel",08-CA-285959,Canton,OH,11/09/2021,"Region 08, Cleveland, Ohio",Open,,,,100,,
"WGB, LLC d/b/a Herbology Dispensary",08-RC-285924,Newark,OH,11/09/2021,"Region 08, Cleveland, Ohio",Open,,,,15,,"All full time and regular part time inventory specialists, lead herbologists, and herbologists employed at the Employer's Newark, Ohio location; excluding all dispensary managers, assistant dispensary managers, confidential employees, managers, guard and supervisors, as defined by the Act."
Hertz,01-CA-285999,Boston,MA,11/09/2021,"Region 01, Boston, Massachusetts",Open,,,,75,,
"Austin American-Stateman",16-CA-286044,Austin,TX,11/09/2021,"Region 16, Fort Worth, Texas",Open,,,,1,,
"Foodlink, Inc.",03-CA-285889,Rochester,NY,11/09/2021,"Region 03, Buffalo, New York",Open,,,,67,,
"United States Postal Service",20-CA-286069,"West Sacramento",CA,11/09/2021,"Region 20, San Francisco, California",Open,,,,100,,
"Hanford Mission Integration Solutions, LLC",19-CA-286108,Richland,WA,11/09/2021,"Region 19, Seattle, Washington",Open,,,,600,,
"Valdivia Trucking",20-CA-286039,"Santa Rosa",CA,11/09/2021,"Region 20, San Francisco, California",Open,,,,27,,
"American Postal Workers Union, Houston Area Local (United States Postal Service)",16-CB-285947,Houston,TX,11/09/2021,"Region 16, Fort Worth, Texas",Open,,,,100,,
"SEIU Health Care Michigan (Aberdeen Rehabilitation & Skilled Nursing Center)",07-CB-285955,Trenton,MI,11/09/2021,"Region 07, Detroit, Michigan",Open,,,,102,,
"United States Postal Service",16-CA-286057,Houston,TX,11/09/2021,"Region 16, Fort Worth, Texas",Open,,,,50,,
"Desert Sun Publishing LLC",21-CA-286155,"Palm Springs",CA,11/09/2021,"Region 21, Los Angeles, California",Open,,,,50,,
"International Longshoremen's Association, Local 1303 (Ports America, Inc.)",15-CB-285942,Gulfport,MS,11/09/2021,"Region 15, New Orleans, Louisiana",Open,,,,5000,,
"United States Postal Service",08-CA-286026,Akron,OH,11/09/2021,"Region 08, Cleveland, Ohio",Open,,,,100,,
"2701 Newkirk Avenue Owners Corp. and Maxx Properties",02-CA-285998,Harrison,NY,11/09/2021,"Region 02, New York, New York",Open,,,,1,,
"Safeway, Inc.",19-RC-285965,"King City",OR,11/09/2021,"Region 19, Seattle, Washington",Open,,,,3,,"Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act."
"Go Durham",10-CA-285987,Durham,NC,11/09/2021,"Region 10, Atlanta, Georgia",Open,,,,160,,
"Southern California Hospital of Culver City",31-CA-286025,"Culver City",CA,11/09/2021,"Region 31, Los Angeles, California",Open,,,,605,,
"Parkway Pavilion Health & Rehabilitation is a single and join employer with Wachusett Ventures, LLC and Wachusetts Healthcare, LLC",01-CA-285973,Enfield,CT,11/09/2021,"Region 01, Boston, Massachusetts",Open,,,,100,,
"Albertsons LLC",19-RC-285967,Hillsboro,OR,11/09/2021,"Region 19, Seattle, Washington",Open,,,,2,,"Included: All pharmacy clerk and tech employees in Armour-Globe election into grocery contract. Excluded: All pharmacists and supervisors as defined by the Act."
"Trader Joe's",03-CA-285981,"South Burlington",VT,11/09/2021,"Region 03, Buffalo, New York",Open,,,,100,,
"Icare Management, LLC is a single a joint employer with Chestnut Care Center, LLC d/b/a Tochpoints at Chestnut",01-CA-286078,"East Windsor",CT,11/09/2021,"Region 01, Boston, Massachusetts",Open,,,,1800,,
"Lehman College",02-CA-286006,"The Bronx",NY,11/09/2021,"Region 02, New York, New York",Open,,,,200,,
"Lieutenant Benevolent Association",02-CB-286022,"New York",NY,11/09/2021,"Region 02, New York, New York",Open,,,,100,,
"American Postal Workers Union Local 32 (United States Postal Service)",10-CB-286002,Duluth,GA,11/09/2021,"Region 10, Atlanta, Georgia",Open,,,,1000,,
"SEIU-USWW Local 1877 (Moscone Convention Center)",20-CB-286052,"San Francisco",CA,11/09/2021,"Region 20, San Francisco, California",Open,,,,363,,
Iff,25-CA-285922,"Gibson City",IL,11/09/2021,"Region 25, Indianapolis, Indiana",Open,,,,120,,
"United States Postal Service",15-CA-285993,"New Orleans",LA,11/09/2021,"Region 15, New Orleans, Louisiana",Open,,,,700,,
"APT Electrical Contracting, Inc.",04-CA-285918,"Fort Washington",PA,11/09/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,14,,
"2601 Glenwood Road Owners Corp. and Maxx Properties",02-CA-286023,Harrison,NY,11/09/2021,"Region 02, New York, New York",Open,,,,10,,
"United States Postal Services",15-CA-285935,"Baton Rouge",LA,11/09/2021,"Region 15, New Orleans, Louisiana",Open,,,,200,,
"Port Townsend Paper Company",19-CA-285952,"Port Townsend",WA,11/09/2021,"Region 19, Seattle, Washington",Open,,,,200,,
Isolved,28-CA-286159,Phoenix,AZ,11/09/2021,"Region 28, Phoenix, Arizona",Open,,,,30,,
"AT&T Mobility",27-CA-286105,Boise,ID,11/09/2021,"Region 27, Denver, Colorado",Open,,,,15,,
"New York State Nurses Association (New York-Presbyterian Hospital Columbia University Medical Center)",02-CB-286049,Manhattan,NY,11/09/2021,"Region 02, New York, New York",Open,,,,500,,
"Central Plateau Cleanup Company, LLC",19-CA-286074,Richland,WA,11/09/2021,"Region 19, Seattle, Washington",Open,,,,600,,
"Kaiser Foundation Hospitals, Southern California Permanente Medical Group, and Kaiser Foundation Health Plan",21-CA-285969,Pasadena,CA,11/09/2021,"Region 21, Los Angeles, California",Open,,,,100,,
"AC Ocean Walk LLC d/b/a Ocean Resort Casino",04-CA-285938,"Atlantic City",NJ,11/09/2021,"Region 04, Philadelphia, Pennsylvania",Open,,,,800,,
"The Amalgamated Sugar Company",27-CA-286037,"Twin Falls",ID,11/09/2021,"Region 27, Denver, Colorado",Open,,,,400,,
"American Postal Worker Union, Phoenix Metro Area Local 93 (United States Postal Service)",28-CB-286095,Phoenix,AZ,11/09/2021,"Region 28, Phoenix, Arizona",Open,,,,100,,
"Red Rock Resorts, Inc., as a single employer with Station Casinos LLC and NP Red Rock, LLC d/b/a Red Rock Casino Resort and Spa",28-CA-286160,"Las Vegas",NV,11/09/2021,"Region 28, Phoenix, Arizona",Open,,,,1350,,
"JBS SWIFT AND COMPANY",09-CA-286029,Louisville,KY,11/09/2021,"Region 09, Cincinnati, Ohio",Open,,,,1250,,
