OID|ACCT_TYPE|NAME|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|TOTAL|RPT_ID
131507|101|FROM GENERAL MEMBERSHIP|0|0|0|50697|779380
131508|102|All Other Accounts|0|0|0|0|779380
131628|101|NONE ITEMIZED|0|0|0|0|780860
131629|102|All Other Accounts|116|0|10516|3085|780860
131121|102|All Other Accounts|0|0|0|0|756232
132146|101|AES INDIANA|0|0|0|98910|782647
132147|102|All Other Accounts|0|0|0|0|782647
131580|102|All Other Accounts||||96545|780710
132179|102|All Other Accounts|0|0|0|619778|782752
131202|101|NONE|0|0|0|0|766123
131203|102|All Other Accounts|0|0|0|0|766123
132806|102|All Other Accounts||||5530|783122
131840|102|All Other Accounts|||||782224
131322|102|All Other Accounts|||||776580
132534|102|All Other Accounts||||515039|782881
131974|102|All Other Accounts|0|0|0|0|782390
131977|102|All Other Accounts|0|0|0|0|782414
131517|102|All Other Accounts|||||780547
131702|102|All Other Accounts|0|0|0|0|781998
131975|102|All Other Accounts|0|0|0|0|782406
131611|102|All Other Accounts|||||780827
131954|102|All Other Accounts|||||782324
131841|102|All Other Accounts|||||782228
131315|102|All Other Accounts|0|0|0|0|776437
131612|102|All Other Accounts|0|0|0|83200|780830
131485|102|All Other Accounts|||||777993
131421|102|All Other Accounts|||||777744
131169|102|All Other Accounts|||||761971
131614|101|none|0|0|0|0|780834
131615|102|All Other Accounts|0|0|0|0|780834
131112|102|All Other Accounts|||||756053
131604|102|All Other Accounts|0|0|0|0|780772
130991|102|All Other Accounts|||||754493
131273|102|All Other Accounts|0|0|0|3919|773529
131461|101|n/a|0|0|0|0|777849
131462|102|All Other Accounts|||||777849
132825|101|n/a|0|0|0|0|783187
132826|102|All Other Accounts|0|0|0|0|783187
131319|102|All Other Accounts|||||776507
131602|102|All Other Accounts|||||780764
131309|102|All Other Accounts|||||773895
131066|102|All Other Accounts|||||755612
131522|102|All Other Accounts||||11454|780563
131961|102|All Other Accounts|||||782333
132216|101|DUES CHECKOFF FROM MEMBERS|0|0|0|174006|782835
132217|102|All Other Accounts|||||782835
132124|102|All Other Accounts|0|0|0|0|782604
131408|102|All Other Accounts|||||777666
131641|102|All Other Accounts|0|0|0|17949946|780888
131132|102|All Other Accounts|||||756336
132651|102|All Other Accounts||||969597|783032
132215|102|All Other Accounts|||||782832
132214|101|DUES COLLECTED BY AFL-CIO NOT YET TRANSFERRED||||8526|782832
131714|102|All Other Accounts|||||782020
132909|101|Due from Health and Welfare|0|0|0|290|785520
132912|102|All Other Accounts|||||785520
132911|101|Oppenheimer Interest||||287|785520
132910|101|Due from Nacst||||1705|785520
132177|102|All Other Accounts||||32610|782738
132660|102|All Other Accounts|0|0|0|0|783042
127232|102|All Other Accounts|0|0|0|0|742310
132790|102|All Other Accounts|||||783097
132842|102|All Other Accounts|0|0|0|3102|783284
131444|101|Concilio Educacion Continua Funciobal Inc||21079||21079|777774
131427|101|Departamento de Salud #80000-80094||||50|777774
131443|101|CEMI #7020||||180|777774
131442|101|Fresenius Kindey Care - Naranjito #29000||||240|777774
131441|101|Hospital San Lucas de Ponce #7000||||1970|777774
131440|101|Prof. Anesthesia Providers #23000||||120|777774
131439|101|Fresenius Medical #22000||||1318|777774
131438|101|Hospital San Cristobal #11000||||3217|777774
131437|101|Hospital San Carlos Borromeo #18000||||2000|777774
131436|101|Hospital Metropolitano Dr. Susoni #17000||||2040|777774
131435|101|CDS integral de Loiza #27000||||2103|777774
131434|101|Hospital Metropolitano Rio Piedras #25000||||443|777774
131433|101|Hospital Presbiteriano #2000||||3090|777774
131432|101|Hospital de la concepcion #9000||||7437|777774
131431|101|Healthpro Med #20000||||913|777774
131430|101|Sociedad Espanola de Auxilio Mutuo #3000-3003||||10770|777774
131429|101|Municipio de San Juan #81000-81012||||144|777774
131428|101|Municipio de Ponce #85000||||312|777774
131445|102|All Other Accounts|||||777774
132677|102|All Other Accounts||||655047|783061
132816|102|All Other Accounts|0|0|0|0|783162
131305|101|American Airlines Payloss||||186841|773865
131307|102|All Other Accounts||||5118|773865
131306|101|American Stock Transfer & Trust Co. LLC.||||38374|773865
132901|102|All Other Accounts|0|0|0|0|785474
131267|101|VARIOUS MEMBER DUES & INITIATION FEES||||3000|773454
131268|102|All Other Accounts|||||773454
131494|102|All Other Accounts|0|0|0|209537|778063
132802|101|Local 2277|35521|||35521|783120
132804|102|All Other Accounts||||364049|783120
132803|101|Local 2417|15693|||15693|783120
131780|102|All Other Accounts|0|0|0|0|782138
132504|102|All Other Accounts|0|0|0|0|782853
132476|101|RIVERTON C U SCHOOL DIST 14|0|0|0|5531|782849
132224|101|ELDORADO|0|0|0|234262|782849
132349|101|LAKE FOREST H S|0|0|0|10899|782849
132434|101|GRAYSLAKE EDUCATION ASSOCIATION|0|0|0|6861|782849
132267|101|KNOXVILLE|0|0|0|25567|782849
132266|101|GIFFORD|0|0|0|26392|782849
132265|101|MILNE KELVIN GROVE|0|0|0|27952|782849
132264|101|ABINGDON-AVON TEACHERS ASSOC.|0|0|0|28519|782849
132263|101|DIST 15 ESPA|0|0|0|28789|782849
132262|101|KINGS CONS E A|0|0|0|29004|782849
132261|101|BERKELEY ESP|0|0|0|29621|782849
132260|101|CARMI-WHITE CO SSA|0|0|0|29950|782849
132259|101|FREMONT E A|0|0|0|31011|782849
132258|101|STEELEVILLE|0|0|0|31248|782849
132257|101|WAUBONSEE COMMUNITY COLLEGE ADJ-CREDIT|0|0|0|31336|782849
132256|101|MATTESON COM|0|0|0|32523|782849
132255|101|PINCKNEYVILLE #204|0|0|0|32644|782849
132254|101|DONOVAN|0|0|0|32841|782849
132253|101|JONESBORO|0|0|0|32844|782849
132252|101|HINSDALE DIST 181 ESP|0|0|0|33557|782849
132251|101|HARVARD|0|0|0|34070|782849
132250|101|MAINE TWP HS|20507|10253|0|34178|782849
132249|101|LINCOLN HIGH SCH|0|0|0|38183|782849
132248|101|BARRINGTON SCH EMPL|0|0|0|38240|782849
132247|101|VIENNA TWP HS|0|0|0|39418|782849
132246|101|UNITY POINT ELEM|0|0|0|40186|782849
132245|101|GLENBROOK EDUC SUPT PERS|0|0|0|40756|782849
132244|101|CASEY-WESTFIELD EA|19641|2991|0|41841|782849
132243|101|OTTAWA ELEM-ESP ASSN|0|0|0|41912|782849
132242|101|EDWARDS CO|0|0|0|44648|782849
132241|101|ST ANNE|0|0|0|47238|782849
132240|101|COLUMBIA E S P A|0|0|0|48162|782849
132239|101|MURPHYSBORO|0|0|0|50808|782849
132238|101|SPRING GARDEN EA|0|0|0|53071|782849
132237|101|BEECHER CITY|0|0|0|57751|782849
132236|101|DOWNERS GROVE CUST|0|0|0|58202|782849
132235|101|GAVIN|0|0|0|61810|782849
132234|101|ARCOLA|0|0|0|62015|782849
132233|101|HONONEGAH ESSA|0|0|0|62037|782849
132232|101|SIU-C NTT FACULTY ASSN|46719|23360|0|77865|782849
132231|101|ASSN CIVIL SERV EMP SIUC|0|0|0|86449|782849
132230|101|UNIT #1 ESP|0|0|0|91312|782849
132229|101|WESTVILLE|0|0|0|101297|782849
132228|101|EVANST CUST/MAINT AS|0|0|0|107884|782849
132227|101|OREGON ESP ASSN|0|0|0|113339|782849
132226|101|SAUNEMIN EA|0|0|0|127409|782849
132225|101|LITCHFIELD|0|0|0|206569|782849
132308|101|EVANSTON CC|0|0|0|14157|782849
132307|101|SANDOVAL EDUCATION SUPPORT PERSONNEL ASS|0|0|0|14372|782849
132306|101|MUNDELEIN ESP|0|0|0|14446|782849
132305|101|KENILWORTH COM|0|0|0|14558|782849
132304|101|ADJUNCT FAC ASSN OCC|0|0|0|14562|782849
132303|101|CENTRALIA ELEM|6943|1038|0|14817|782849
132302|101|GARDNER ELEMENTARY TEACHERS E A|0|0|0|14943|782849
132301|101|ROME|6687|362|0|15121|782849
132300|101|PROSPECT HEIGHTS COM|0|0|0|15689|782849
132299|101|HINSDALE TWP H S DIST 86|0|0|0|15820|782849
132298|101|DIST  159 SUPP STAFF|0|0|0|16043|782849
132297|101|FACULTY ASSN DIST205|0|0|0|16150|782849
132296|101|GLENBROOK TWP HS|0|0|0|16158|782849
132295|101|JOHNSBURG TEACHERS ORGANIZATION|0|0|0|16380|782849
132294|101|CHADWICK-MILLEDGEVILLE EDUC ASSN|0|0|0|16747|782849
132293|101|TRINITY SEA|10567|5284|0|17612|782849
132292|101|WORTH COMM|0|0|0|17666|782849
132291|101|BARTONVILLE COM|10646|5323|0|17744|782849
132290|101|ASSN FOR SP ED PERS|10898|5449|0|18164|782849
132289|101|NEW TRIER P P S|0|0|0|18330|782849
132288|101|OAK BROOK EDUCATION ASSOCIATION|0|0|0|18420|782849
132287|101|CARTERVILLE|0|0|0|18580|782849
132286|101|MT VERNON TWP HS AIDES|0|0|0|19111|782849
132285|101|HONONEGAH EA|215|0|0|19332|782849
132284|101|TRITON COLLEGE ADJUNCT FACULTY ASSN.|0|0|0|20070|782849
132283|101|MORRISON COM|0|0|0|20118|782849
132282|101|EAST MAINE CUST MAIT|0|0|0|20287|782849
132281|101|FLANAGAN CORNELL EA|0|0|0|20489|782849
132280|101|ITASCA COM|0|0|0|20902|782849
132279|101|DELAND WELDON|0|0|0|21636|782849
132278|101|LAKE FOREST HS SUPPORT STAFF ASSN|0|0|0|21977|782849
132277|101|WEST CHICAGO SUPT STF #94|6956|0|0|22488|782849
132276|101|MUNDELEIN H S CONS|0|0|0|22624|782849
132275|101|WEST CARROLL ESPA|0|0|0|23367|782849
132274|101|INDIAN CREEK E A|0|0|0|23544|782849
132273|101|CREVE COEUR SPT PERS|0|0|0|24029|782849
132272|101|DISTRICT 150 ED ORGN|0|0|0|24790|782849
132271|101|OAK GROVE E A|0|0|0|24949|782849
132270|101|DANVILLE AREA COMM C|0|0|0|25283|782849
132269|101|FREEBURG|0|0|0|25294|782849
132268|101|COLLEGE OF DU PAGE CLSFD STAFF ASSN|0|0|0|25453|782849
132351|101|BLACKHAWK COLL|0|0|0|10762|782849
132350|101|HARTSBURG EMDEN|0|0|0|10822|782849
132348|101|SASED SUPPORT STAFF ASSOCIATION|0|0|0|10932|782849
132347|101|SUNNYBROOK EDUCATION ASSOCIATION|4411|0|0|11086|782849
132346|101|MOKENA TCHRS ASSOC|3692|0|0|11093|782849
132345|101|BATAVIA|0|0|0|11153|782849
132344|101|STARK COUNTY EA|0|0|0|11191|782849
132343|101|HEBRON|0|0|0|11203|782849
132342|101|V I T ESP ASSN|0|0|0|11222|782849
132341|101|PORTA ESP|0|0|0|11223|782849
132340|101|GREENVILLE ESP ASSN|2252|0|0|11257|782849
132339|101|ALTAMONT|0|0|0|11445|782849
132338|101|MARSHALL|0|0|0|11591|782849
132337|101|GREENFIELD|0|0|0|11783|782849
132336|101|PLEASANTDALE EA|0|0|0|11837|782849
132335|101|CENTRAL EA|0|0|0|12020|782849
132334|101|CANTON CH|0|0|0|12122|782849
132333|101|EVANS ASN CHILD CARE|1917|0|0|12177|782849
132332|101|UNITED E A|0|0|0|12224|782849
132331|101|L A D S E-ASSN|0|0|0|12253|782849
132330|101|WOODLAND|0|0|0|12259|782849
132329|101|BRACEVILLE SCHOOL DIST 75|0|0|0|12264|782849
132328|101|DIST 97 ESP ASSN|0|0|0|12371|782849
132327|101|COMMUNITY HIGH|0|0|0|12435|782849
132326|101|GRANT PARK|0|0|0|12665|782849
132325|101|TRI CITY|0|0|0|12674|782849
132324|101|EASTLAND EA|0|0|0|12693|782849
132323|101|GLENWOOD COM|0|0|0|12726|782849
132322|101|SUPPORT STAFF ECC|0|0|0|12846|782849
132321|101|DECATUR ESP|0|0|0|12873|782849
132320|101|LUDLOW|0|0|0|12961|782849
132319|101|SCHAUMBURG|0|0|0|13043|782849
132318|101|BRADLEY UNIV SEA|0|0|0|13078|782849
132317|101|THE EDUC. COUNCIL OF COUNTRY CLUB HILLS|5658|0|0|13284|782849
132316|101|UNITED STAFF OF COLUMBIA COLLEGE|0|0|0|13359|782849
132315|101|PECATONICA EDUCATION ORGANIZATION|0|0|0|13369|782849
132314|101|PAW PAW EA|0|0|0|13454|782849
132313|101|LINDOP BROADVIEW COM|0|0|0|13603|782849
132312|101|GLENBROOK EDUC SUPT STF ASSN|0|0|0|13629|782849
132311|101|AVOCA DIST 37|0|0|0|13684|782849
132310|101|DU PAGE COLL SEA|0|0|0|13700|782849
132309|101|CENTRAL CITY|0|0|0|13902|782849
132392|101|MARSEILLES EDUC ASSN|0|0|0|8232|782849
132391|101|MCCRACKEN-MIDDLTON T|0|0|0|8260|782849
132390|101|SHAWNEE|0|0|0|8360|782849
132389|101|PRAIRIE DU ROCHER|0|0|0|8457|782849
132388|101|CASS EDUCATION ASSOCIATION|0|0|0|8474|782849
132387|101|NSSED FACULTY ASSN|0|0|0|8508|782849
132386|101|SHAWNEE COMM COLL|0|0|0|8599|782849
132385|101|HOOPESTON|0|0|0|8613|782849
132384|101|ERIE E A|5172|2586|0|8620|782849
132383|101|EAGLE RIDGE|0|0|0|8649|782849
132382|101|BEECHER|0|0|0|8675|782849
132381|101|OPDYKE/BELLE RIVE|0|0|0|8835|782849
132380|101|MT VERNON ELEM COM|0|0|0|8850|782849
132379|101|PRAIRIE GROVE EDUCATION SUPPORT PROF.|0|0|0|8855|782849
132378|101|HARLEM E A-ML|2151|0|0|8880|782849
132377|101|DIST 99 SUPPT STAFF|0|0|0|8885|782849
132376|101|SANGAMON VALLEY EDUCATION ASSOC|0|0|0|8952|782849
132375|101|SCALES MOUND #211 EDUC ASSN|0|0|0|8974|782849
132374|101|EDWARDS COUNTY SUPPORT PERSONNEL|0|0|0|9092|782849
132373|101|MAZON-VERONA-KINSMAN|0|0|0|9138|782849
132372|101|WHEATON WARRENVILLE|0|0|0|9193|782849
132371|101|LEXINGTON|0|0|0|9195|782849
132370|101|EFFINGHAM ED SER PER|0|0|0|9242|782849
132369|101|UNIVERSITY OF ILLINOIS AT URBANA|1748|0|0|9282|782849
132368|101|EDINBURG|0|0|0|9316|782849
132367|101|ELK GROVE CONS|0|0|0|9475|782849
132366|101|SPARTA|0|0|0|9517|782849
132365|101|WARSAW|0|0|0|9581|782849
132364|101|PINCKNEYVILLE H SCH|0|0|0|9582|782849
132363|101|STILLMAN VALLEY EA|3989|0|0|9755|782849
132362|101|KILDEER COUNTRYSIDE ESP|0|0|0|9796|782849
132361|101|WASHINGTON 51 EDUCATION ASSOCIATION|0|0|0|9907|782849
132360|101|ANTIOCH CC|0|0|0|9970|782849
132359|101|MAERCKER COM|0|0|0|10045|782849
132358|101|ROCKFORD|0|0|0|10174|782849
132357|101|BATAVIA EDUCATION SUPPORT PROF. ASSN.|0|0|0|10249|782849
132356|101|CUST/MAINT ASSN #214|0|0|0|10391|782849
132355|101|MASCOUTAH|0|0|0|10485|782849
132354|101|2020-21|5863|2275|0|10647|782849
132353|101|ROCKFORD OFF PERS|0|0|0|10674|782849
132352|101|EAST MAINE EDUCATION ASSOCIATION|0|0|0|10736|782849
132433|101|EVANST TCHR ASST AFM|3422|834|0|6872|782849
132432|101|GENEVA|0|0|0|6879|782849
132431|101|POLO|0|0|0|6923|782849
132430|101|LYONS TOWNSHIP PARAEDUCATORS ASSOCIATION|0|0|0|6932|782849
132429|101|SHERRARD|60|0|0|6942|782849
132428|101|LENA WINSLOW|0|0|0|6991|782849
132427|101|SOUTHEASTERN ILLINOIS COLLEGE|0|0|0|7061|782849
132426|101|OREGON|0|0|0|7092|782849
132425|101|RIVER GROVE COM|0|0|0|7111|782849
132424|101|JAMP ED ASSN|0|0|0|7115|782849
132423|101|SALEM HS MAINT EMPL E A|0|0|0|7156|782849
132422|101|BANNOCKBURN COM|0|0|0|7194|782849
132421|101|PROPHETSTOWN LYNDON|0|0|0|7258|782849
132420|101|ST CHARLES|0|0|0|7326|782849
132419|101|DIST 21 EDUC ASSN|0|0|0|7328|782849
132418|101|ELEMENTARY DISTRICT #12 EA|0|0|0|7361|782849
132417|101|HARRISON TEACHERS ASSOCIATION|0|0|0|7383|782849
132416|101|CLAY CITY|0|0|0|7440|782849
132415|101|REGION III SPECIAL EDUCATION UNION|849|0|0|7466|782849
132414|101|SAUK VALLEY COLLEGE|1532|0|0|7504|782849
132413|101|DIMMICK|0|0|0|7525|782849
132412|101|ASSOCIATION OF LEMONT TEACHERS|0|0|0|7538|782849
132411|101|CUMBERLAND SUPP STAF|128|0|0|7545|782849
132410|101|COAL CITY|4527|2264|0|7545|782849
132409|101|AURORA WEST|0|0|0|7626|782849
132408|101|WAB/OHIO VLY SP ED|0|0|0|7631|782849
132407|101|DIST #30 ED ASSN|0|0|0|7637|782849
132406|101|BRADFORD|0|0|0|7668|782849
132405|101|EDWARDSVILLE|0|0|0|7678|782849
132404|101|HUNTLEY ED SUPT  ASC|4639|2319|0|7732|782849
132403|101|DISTRICT 169 (FORD HEIGHTS) EA|0|0|0|7821|782849
132402|101|BROWNSTOWN|1575|0|0|7874|782849
132401|101|DIST 68 E A|0|0|0|7889|782849
132400|101|SYCAMORE ESP ASSN|0|0|0|7918|782849
132399|101|DISTRICT 33 SUPPORT STAFF ASSN|0|0|0|7942|782849
132398|101|CARBONDALE ELEM COM|2586|0|0|7949|782849
132397|101|PALOS EA|0|0|0|7998|782849
132396|101|WASHINGTON COM|0|0|0|8118|782849
132395|101|UNIT 5 SUPPORT PROFESSIONALS ASSOC.|0|0|0|8140|782849
132394|101|LINCOLN WAY COMM H S DIST 210|0|0|0|8207|782849
132393|101|MORTON COLLEGE ADJ FAC ASSOC|0|0|0|8225|782849
132475|101|CARY|0|0|0|5548|782849
132474|101|COLLINSVILLE EDUC ASST ASSN|0|0|0|5615|782849
132473|101|DANVILLE|0|0|0|5627|782849
132472|101|CHARLESTON|0|0|0|5627|782849
132471|101|FOX LAKE COM GRADE|0|0|0|5720|782849
132470|101|NORRIS-OMAHA-ENFIELD|0|0|0|5740|782849
132469|101|DALLAS COMMUNITY EDUCATION ASN|0|0|0|5842|782849
132468|101|MAHOMET|0|0|0|5898|782849
132467|101|UNION RIDGE|0|0|0|5899|782849
132466|101|EASTERN IL AREA S E|0|0|0|5954|782849
132465|101|HENRY SENACHWINE E A|0|0|0|5967|782849
132464|101|SCHILLER PARK COM|0|0|0|5992|782849
132463|101|ASSN PLAINFIELD TCHRS|0|0|0|6011|782849
132462|101|ED ASSN OF THORNTON|0|0|0|6024|782849
132461|101|BUNKER HILL|59|0|0|6027|782849
132460|101|ROCK ISLAND EDUC SUPP PERS|0|0|0|6046|782849
132459|101|EDUCATION ASSOCIATION OF PLANO|0|0|0|6069|782849
132458|101|GALATIA|0|0|0|6125|782849
132457|101|CENTRALIA EA ESP|0|0|0|6231|782849
132456|101|HARPER COLLEGE ADJUNCT FACULTY ASSOC.|0|0|0|6276|782849
132455|101|MOLINE|0|0|0|6284|782849
132454|101|DIST  65 D E S C|0|0|0|6303|782849
132453|101|DIST U-46 ED ASST|0|0|0|6375|782849
132452|101|CLASSIFIED PERS ASSN|0|0|0|6377|782849
132451|101|PROFESSIONAL ASSOCIATION OF SUPPORT STAF|0|0|0|6385|782849
132450|101|ROCHELLE TWP HS|0|0|0|6417|782849
132449|101|ELMWOOD PK CUST ASSN|0|0|0|6417|782849
132448|101|58 DOWNERS GROVE ESP|0|0|0|6419|782849
132447|101|PAYSON|0|0|0|6441|782849
132446|101|SILVIS SCHOOL COM|0|0|0|6461|782849
132445|101|JOHN A LOGAN ESP|0|0|0|6474|782849
132444|101|ORION|0|0|0|6477|782849
132443|101|NO SUB SP ED DIST|0|0|0|6491|782849
132442|101|JASPER CO|0|0|0|6498|782849
132441|101|MARION|0|0|0|6508|782849
132440|101|OAKLAND|0|0|0|6691|782849
132439|101|OSWEGO EDUCATION SUPPORT ASSOC.|0|0|0|6694|782849
132438|101|WIU - SEA|0|0|0|6711|782849
132437|101|MOMENCE|0|0|0|6771|782849
132436|101|TRI-VALLEY|0|0|0|6771|782849
132435|101|RHODES COM|0|0|0|6857|782849
132500|102|All Other Accounts|19843|3868|0|782461|782849
132499|101|GREYSTONES ASSOCIATES, INC|0|0|0|5196|782849
132498|101|AREESHA PROPERTIES, LLC|0|0|0|11089|782849
132497|101|US TREASURY (1120-POL REFUND)|0|0|0|11270|782849
132496|101|NEA (DUSHANE)|0|0|0|42800|782849
132495|101|TEACH FORWARD, LLC|0|0|0|253400|782849
132494|101|ILLINI CENTRAL E A|0|0|0|5014|782849
132493|101|C.U.S.D. #1 EDUCATION ASSOCIATION|0|0|0|5048|782849
132492|101|PALATINE|0|0|0|5059|782849
132491|101|DUPAGE AREA VOC CTR|0|0|0|5069|782849
132490|101|LICK CREEK EDUCATION ASSOCIATION|0|0|0|5115|782849
132489|101|UNIT FIVE E A|0|0|0|5161|782849
132488|101|IL WESLEYAN SEA|0|0|0|5170|782849
132487|101|MINOOKA HIGH SCH|0|0|0|5232|782849
132486|101|STEVENSON S S A|0|0|0|5278|782849
132485|101|MONTICELLO|0|0|0|5317|782849
132484|101|NORTH WAMAC SCH|0|0|0|5324|782849
132483|101|SIUE NON-TENURE TRACK FAC ASSN|0|0|0|5325|782849
132482|101|MT PULASKI COM UNIT|0|0|0|5347|782849
132481|101|WALTONVILLE|0|0|0|5353|782849
132480|101|OKAW VALLEY E A|0|0|0|5356|782849
132479|101|BREMEN EDUCATIONAL SUPPORT TEAM|0|0|0|5392|782849
132478|101|OSWEGO|0|0|0|5401|782849
132477|101|WESTERN CUSD #12|0|0|0|5487|782849
131880|102|All Other Accounts|||||782268
132130|102|All Other Accounts|||||782613
131274|102|All Other Accounts||0|0|587050|773534
132810|101|New York University - June 2021 Dues||||92143|783141
132811|102|All Other Accounts|||||783141
132768|101|American Federation of Teachers||||750384|783068
132778|102|All Other Accounts||||120206|783068
132777|101|AFT NORTHEAST REGION||||39234|783068
132776|101|Windham Community Memorial Hospital Local 5099||||11342|783068
132775|101|A&R||||61964|783068
132774|101|University Health Professionals||||54897|783068
132773|101|Danbury Nurses Union||||35863|783068
132772|101|UCPEA||||78740|783068
132771|101|Backus Federation of Nurses||||23969|783068
132770|101|SVFT||||26285|783068
132769|101|Meriden Federation of Teachers||||53299|783068
131120|102|All Other Accounts||||5724|756220
132057|102|All Other Accounts||||775361|782579
131657|102|All Other Accounts||||4655|781919
131182|101|NONE|0|0|0|0|766034
131183|102|All Other Accounts|0|0|0|0|766034
132180|102|All Other Accounts|||||782757
131374|102|All Other Accounts|||||777605
132178|102|All Other Accounts||||224878|782744
132853|102|All Other Accounts|||||783287
131820|102|All Other Accounts|0|0|0|0|782174
131454|102|All Other Accounts|0|0|0|0|777829
131523|102|All Other Accounts||||77973|780572
131855|101|NONE ITEMIZED|0|0|0|0|782243
131856|102|All Other Accounts|0|0|0|1007|782243
131222|101|ACCOUNTS RECEIVABLE WGMA SVC||||45945|766254
131223|102|All Other Accounts|||||766254
132198|102|All Other Accounts||||103405|782790
131446|102|All Other Accounts|0|0|0|0|777781
131565|101|NONE ITEMIZED|0|0|0|0|780688
131566|102|All Other Accounts|4675|7569|21922|62370|780688
132673|102|All Other Accounts|0|0|0|0|783057
132011|101|NONE|0|0|0|0|782511
132012|102|All Other Accounts|0|0|0|0|782511
131703|101|NONE ITEMIZED|0|0|0|0|782003
131704|102|All Other Accounts|2764|5288|16833|27178|782003
132600|102|All Other Accounts|0|0|0|0|782989
132788|101|MEMBERS DUES||||18983|783089
132789|102|All Other Accounts|||||783089
131470|101|Dues - AHL||||5445|777929
131478|102|All Other Accounts|||||777929
131477|101|Health and Welfare - ECHL||||25732|777929
131476|101|Health and Welfare - AHL||||94175|777929
131475|101|Interest||||2808|777929
131474|101|Licensing||||28000|777929
131473|101|Player Fines - ECHL||||10000|777929
131472|101|Player Fines - AHL||||10000|777929
131471|101|Dues - ECHL||||102248|777929
131302|102|All Other Accounts|0|0|0|145629|773852
131755|102|All Other Accounts|||||782103
131721|102|All Other Accounts||||346604|782033
131685|101|46 NO CA CARPENTERS CONFERENCE BOARD |0|0|0|162250|781946
131686|102|All Other Accounts|3064|296|11602|31185|781946
131937|102|All Other Accounts|7431|688|36404|73542|782299
131936|101|46 NO CA CARPENTERS CONFERENCE BOARD |0|0|0|308680|782299
131691|101|46 NO CA CARPENTERS CONFERENCE BOARD |0|0|0|62104|781972
131692|102|All Other Accounts|3827|4176|15087|34350|781972
131997|101|46 NO CA CARPENTERS CONFERENCE BOARD |0|0|0|300133|782491
131998|102|All Other Accounts|15981|6495|74292|103871|782491
132221|101|46 NO CA CARPENTERS CONFERENCE BOARD |0|0|0|297778|782848
132223|102|All Other Accounts|15417|4846|70400|121251|782848
132222|101|EASTBAY SAMOAN CHURCH|0|9725|0|9725|782848
131493|102|All Other Accounts|||||778052
132025|101|EMPLOYERS||||192919|782522
132026|102|All Other Accounts|||||782522
132029|101|46 NO CA CARPENTERS CONFERENCE BOARD |0|0|0|218971|782525
132031|102|All Other Accounts|12076|444|86614|93111|782525
132030|101|NO CA CARPENTERS REGIONAL COUNCIL|0|0|0|113873|782525
131369|102|All Other Accounts||||0|777591
131327|102|All Other Accounts||||0|777268
131329|102|All Other Accounts||||0|777314
131338|102|All Other Accounts||||0|777401
131375|102|All Other Accounts||||0|777610
132880|101|District Council 33||||16075|785190
132881|102|All Other Accounts|||||785190
131719|102|All Other Accounts||||88131|782028
132119|101|RENT RECEIVABLE|6000|8762|0|14762|782599
132123|102|All Other Accounts|||||782599
132122|101|DC33 HEALTH AND WELFARE FUND|2009537|0|0|2009537|782599
132121|101|DC33 LEGAL SERVICES PLAN|2493056|0|0|2493056|782599
132120|101|DUES RECEIVABLE FROM CITY|37521|0|0|37521|782599
