OID|MEMBERSHIP_TYPE|CATEGORY|NUMBER|VOTING_ELIGIBILITY|RPT_ID
303379|2101|RURAL CARRIER ASSOCIATE - PAY SMALLER PORTION OF DUES|729|T|782414
303378|2101|PTF CARRIERS- PART-TIME FLEXIBLE PAY FULL DUES|13|T|782414
301776|2101|Regular Rural Carriers|2136|T|780547
301782|2101|Retired Associate Member|1|F|780547
301781|2101|Associate Rural Carrier|6|F|780547
301780|2101|Part-Time Flexible Carriers|16|T|780547
301779|2101|Assistant Rural Carriers (ARC)|38|T|780547
301778|2101|Retired Carriers|836|T|780547
301777|2101|Rural Carrier Associates (RCA)|1404|T|780547
302465|2101|REGULAR CARRIERS|1544|T|781998
302470|2102|Agency Fee Payers|0|F|781998
302469|2101|REGULAR ASSOCIATIES|3|F|781998
302468|2101|RETIRED CARRIERS|528|T|781998
302467|2101|LEAVE REPLACEMENT CARRIERS|931|T|781998
302466|2101|PTF CARRIERS|49|T|781998
303371|2101|ASSOCIATE MEMBERS|9|F|782406
303366|2101|REGULAR RURAL CARRIERS|2865|T|782406
303370|2101|RETIRED CARRIERS|818|T|782406
303369|2101|ASSISTANT RURAL CARRIER|101|T|782406
303368|2101|RURAL CARRIER RELIEF|1469|T|782406
303367|2101|PTF CARRIER|137|T|782406
303372|2102|Agency Fee Payers|0|F|782406
302113|2101|REGULAR CARRIERS|2805|T|780827
302116|2101|ASSOCIATE MEMBERS|8|F|780827
302115|2101|RETIRED CARRIERS|764|T|780827
302114|2101|RELIEF CARRIERS|1810|T|780827
303854|2101|Regular Members|5136|T|782615
303857|2101|Associate|8|F|782615
303856|2101|Relief Members|3436|T|782615
303855|2101|Retired Members|871|T|782615
303264|2101|Regular Rural Carriers|2473|T|782324
303268|2101|Associate Members|3|F|782324
303267|2101|Retired Rural Carriers|733|T|782324
303266|2101|Rural Carrier Associates and Assistant Rural Carriers|1275|T|782324
303265|2101|Part Time Flexible Rural Carriers|107|T|782324
302985|2101|Regular|2037|T|782228
302988|2101|Associate|6|F|782228
302987|2101|Relief|1254|T|782228
302986|2101|Retired|943|T|782228
301101|2101|Regulars|1564|T|773494
301103|2101|Retired|420|F|773494
301102|2101|Relief|1258|T|773494
301267|2101|REGULAR  AND PTF|2056|T|776437
301270|2101|ASSOCIATES|6|F|776437
301269|2101|RETIREE|353|T|776437
301268|2101|RCA and ARC relief carriers|843|T|776437
303382|2101|REGULAR|1653|T|782415
303386|2102|Agency Fee Payers|0|F|782415
303385|2101|ASSOCIATE|2|T|782415
303384|2101|RELIEF|793|T|782415
303383|2101|RETIRED|819|T|782415
303805|2101|REGULARS|1655|T|782598
303808|2101|ASSOCIATES|5|F|782598
303807|2101|RETIREES|817|T|782598
303806|2101|RELIEF CARRIERS|984|T|782598
302117|2101|BARGAINING UNIT RURAL CARRIERS|1869|T|780830
302121|2102|Agency Fee Payers|0|F|780830
302120|2101|RETIRED ASSOCIATES|1|F|780830
302119|2101|ASSOCIATES|3|F|780830
302118|2101|RETIRED RURAL CARRIERS|312|T|780830
301647|2101|Regular Carrier Members|2011|T|778028
301653|2101|Retired Members|660|T|778028
301652|2101|Associate Rural Carriers|4|F|778028
301651|2101|Rural Carrier Reliefs|1|F|778028
301650|2101|Assistant Rural Carriers|21|F|778028
301649|2101|Relief Carriers/RCAs|1419|T|778028
301648|2101|Part-Time Flexible Carriers|19|F|778028
301631|2101|REGULAR|1778|T|777993
301634|2101|ASSOCIATE|4|F|777993
301633|2101|RETIRED|690|T|777993
301632|2101|RELIEF|1132|T|777993
301516|2101|Assistant Rural Carriers|10|T|777744
301511|2101|Regular Rural Carriers|2142|T|777744
301515|2101|Associate Rural Carrier|5|F|777744
301514|2101|Retired Rural Carriers|953|T|777744
301513|2101|Relief Rural Carriers|1282|T|777744
301512|2101|PTF Rural Carriers|31|T|777744
300722|2101|Clerk Craft|819|T|761971
300727|2101|Cash Paying Members|7|T|761971
300726|2101|Supervisors|7|F|761971
300725|2101|Postmasters|1|F|761971
300724|2101|Letter Carriers|2|F|761971
300723|2101|Maintance Craft|64|T|761971
302128|2101|Regular Rural Carrier Members|1727|T|780834
302133|2102|Agency Fee Payers|0|F|780834
302132|2101|Associate Members|9|F|780834
302131|2101|Relief Carriers|1295|T|780834
302130|2101|Part Time Flexible (PTF) Members|93|T|780834
302129|2101|Retired Rural Carrier Members|415|T|780834
301742|2101|Regular Rural Carrier|1278|T|779356
301747|2102|Agency Fee Payers|0|F|779356
301746|2101|Associate Members|5|F|779356
301745|2101|Part Time Flex Rural Carrier|45|T|779356
301744|2101|Retired Rural Carrier|470|T|779356
301743|2101|Relief Rural Carrier|801|T|779356
300574|2101|ACTIVE MEMBERS|10100|T|756053
300575|2101|RETIRED|5000|T|756053
302080|2101|Active Members|775|T|780772
302081|2101|Retired Members|109|T|780772
300333|2101|GENERAL MEMBERS|533|T|754493
301124|2101|General Membership - All Pay Dues|22738|T|773529
301125|2102|Agency Fee Payers|0|F|773529
305089|2101|Voting Members|1331|T|784393
301594|2101|Active|35|T|777849
301597|2102|Agency Fee Payers|0|F|777849
301596|2101||0|F|777849
301595|2101||0|F|777849
304972|2101|active|73|T|783187
304973|2102|Agency Fee Payers|0|F|783187
301274|2101|Active Regular|34|T|776507
301277|2101|GS4/1|20|T|776507
301276|2101|<25 hrs|4|T|776507
301275|2101|AAFES|4|T|776507
302068|2101|ACTIVE MEMBERS|884|T|780764
302069|2101|RETIRED MEMBERS|31|T|780764
305305|2101|Active memebers|842|T|785655
300790|2101|BARGAINING UNIT EMPLOYEES|115570|T|766062
301573|2101|Active regular PCT|1265|T|777822
304939|2101|GENERAL MEMBERS|516|T|783145
300502|2101|Active - Retired|1201|T|755612
302566|2101|ACTIVE|487|T|782034
302567|2101|RETIRED|36|T|782034
303259|2101|Working Members|1557|T|782322
303260|2101|Retired Members|6|T|782322
301793|2101|FULL MEMBERS|203|T|780563
301796|2101|ONE EIGHTH MEMBERS|422|T|780563
301795|2101|QUARTER MEMBERS|239|T|780563
301794|2101|HALF MEMBERS|197|T|780563
303828|2101|Regular Members|380|T|782609
303830|2101|Gold Card|6|T|782609
303829|2101|Retired Members|12|T|782609
304954|2101|Active members|293|T|783166
303296|2101|Working member|916|T|782333
303298|2102|Agency Fee Payers|0|F|782333
303297|2101|Retirees|12|F|782333
304227|2101|ACTIVE|1943|T|782835
304229|2101|RETIRED|297|T|782835
304228|2101|APPRENTICE|235|T|782835
304921|2101|Regular Members|445|T|783130
304927|2101|Honorary Members|11|F|783130
304926|2101|Contractors|3|F|783130
304925|2101|Apprentice|186|T|783130
304924|2101|50 Disabled|12|F|783130
304923|2101|Early Retired Members|36|F|783130
304922|2101|Retired Members|22|F|783130
303816|2101|REGULAR MEMBERS|120|T|782604
304426|2101|Full Time Professors|215|T|782905
304427|2101|Part time adjuncts|341|F|782905
301469|2101|Clerk|418|T|777666
301472|2101|Supervisor|10|T|777666
301471|2101|Maintenance|175|T|777666
301470|2101|Motor Vehicle|132|T|777666
302240|2101|RETIREE MEMBERS|5535|T|780888
302242|2102|Agency Fee Payers|14|F|780888
302241|2101|ACTIVE MEMBERS|31602|T|780888
300643|2101|ACTIVE|3854|T|756336
300646|2102|Agency Fee Payers|0|F|756336
300645|2101|AGENCY|577|T|756336
300644|2101|RETIREE|628|T|756336
304667|2101|Members|15463|T|783032
304668|2102|Agency Fee Payers|0|F|783032
304218|2101|REGULAR MEMBERS|418|T|782832
304219|2101|RETIRED MEMBERS|12|T|782832
301608|2101|FULL TIME MEMBERS|3100|T|777895
302524|2101|Regular Members|267|T|782020
302525|2101|Retired Members|4|T|782020
304076|2101|Career Members|983|T|782738
304077|2101|PSE Members|92|T|782738
304704|2101|FULL TIME MEMBERS|447|T|783042
304705|2102|Agency Fee Payers|0|F|783042
291506|2101|ACTIVE MEMBERS|877|T|742310
291507|2102|Agency Fee Payers|0|F|742310
304878|2101|Dues paying members|0|T|783097
305005|2101|ACTIVE MEMBERS|1190|T|783284
305007|2102|Agency Fee Payers|0|F|783284
305006|2101|RETIRED MEMBERS|6|T|783284
301529|2101|General Union Membership|3585|T|777774
301531|2102|Agency Fee Payers|0|F|777774
301530|2101|Inactive Union Membership|0|T|777774
304786|2101|Members|12249|T|783061
304788|2102|Agency Fee Payers|34|F|783061
304787|2101|Members - at - Large/Retired Member|117|F|783061
304951|2101|FULL MEMBERSHIP TEACHERS|214|T|783162
301223|2101|Active Membership|23292|T|773865
301225|2102|Agency Fee Payers|360|F|773865
301224|2101|Inactive Membership|1556|F|773865
301286|2101|Certified Registered Nurse Anesthetists|405|T|776517
301287|2102|Agency Fee Payers|0|F|776517
301253|2101|ARREARS|139|F|774032
301248|2101|ACTIVE|1275|T|774032
301252|2101|HONORARY|55|T|774032
301251|2101|DISABLED|4|T|774032
301250|2101|RETIRED|134|T|774032
301249|2101|APPRENTICE|257|T|774032
305199|2101|General Membership|1641|T|785474
305200|2102|Agency Fee Payers|0|F|785474
301504|2101|Local Unions|7|T|777738
301093|2101|MEMBERS NOT COVERED BY CONTRACT AND NOT CURRENTLY BEING ORGANIZED|0|T|773454
301096|2101|MEMBERS WHO ARE PHARMACY INTERNS, REDUCED DUES - $20.00 / MONTH|18|T|773454
301095|2101|MEMBERS COVERED BY CONTRACT - $40/MONTH|2719|T|773454
301094|2101|MEMBERS NOT COVERED BY CONTRACT AND CURRENTLY BEING ORGANIZED|0|T|773454
301688|2101|Active|18513|T|778063
301689|2102|Agency Fee Payers|0|F|778063
300939|2101|Local 603 Members|1628|T|766234
300940|2102|Agency Fee Payers|0|F|766234
304899|2101|Salary $98,038+|254|T|783120
304906|2102|Agency Fee Payers|8|F|783120
304905|2101|Leave/ Layoff|440|T|783120
304904|2101|Salary $10,598.99 or less|1451|T|783120
304903|2101|Salary $10,599-$18,017.99|747|T|783120
304902|2101|Salary $18,018-$29,675.99|1809|T|783120
304901|2101|Salary $29,676-$42,394.99|1109|T|783120
304900|2101|Salary $42,395-$98,037.99|2844|T|783120
302799|2101|Journeymen|242|T|782138
302801|2101|Maintenance Member|2|T|782138
302800|2101|Apprentices|51|T|782138
304268|2101|Active members paying full dues|405|T|782853
304270|2101|Arrears|3|F|782853
304269|2101|Retired, disabled, honorary|113|T|782853
304068|2101|A|84|T|782721
304069|2101|BA|81|T|782721
304252|2101|ACTIVE|123434|T|782849
304256|2102|Agency Fee Payers|55|F|782849
304255|2101|ASSOCIATE|9|F|782849
304254|2101|STUDENT|681|T|782849
304253|2101|RETIRED|11619|T|782849
304243|2101|TEACHERS - EDUCATORS|7770|T|782846
304246|2101|NURSES & HEALTH PROFESSIONALS|188|T|782846
304245|2101|PRIVATE SECTOR|906|T|782846
304244|2101|STATE EMPLOYEES|733|T|782846
303082|2101|Full|14112|T|782268
302342|2101|ACTIVE MEMBERS OF PARTICIPATING LOCALS|74769|F|781926
303846|2101|Regular|3781|T|782613
303850|2101|Associate|10|F|782613
303849|2101|Retired|475|T|782613
303848|2101|Relief|1819|T|782613
303847|2101|Part Time Flexible|138|T|782613
301127|2101|MEMBERS|23353|T|773534
301128|2102|Agency Fee Payers|47|F|773534
304937|2101|Active Members|1265|T|783141
304938|2102|Agency Fee Payers|6|F|783141
304821|2101|MEMBER HALF|2997|T|783068
304819|2101|MEMBER FULL|22518|T|783068
304820|2101|MEMBER TWO-THIRDS|955|T|783068
304824|2102|Agency Fee Payers|215|F|783068
304823|2101|RETIREES|1277|T|783068
304822|2101|MEMBER QUARTER|556|T|783068
300620|2101|REGULAR MEMBERS|586|T|756220
300626|2101|OTHER CRAFT RETIRED|2|T|756220
300625|2101|OTHER CRAFT MEMBERS|1|T|756220
300624|2101|SUPERVISORY RETIRED|2|F|756220
300623|2101|SUPERVISORY MEMBERS|7|F|756220
300622|2101|LIFETIME MEMBERS|42|T|756220
300621|2101|RETIRED MEMBERS|148|T|756220
301690|2101|FULL DUES PAYING MEMBERS|3081|T|778066
303764|2101|ACTIVE|25612|T|782579
303765|2102|Agency Fee Payers|115|F|782579
302318|2101|1.  A Member|20|T|781919
302322|2102|Agency Fee Payers|0|F|781919
302321|2101|4.  BA Meter Readers|12|T|781919
302320|2101|3.  BA Interns|7|T|781919
302319|2101|2.  BA Member|691|T|781919
300771|2101|JOURNEYMAN INSIDE WIREMAN|721|T|766034
300775|2102|Agency Fee Payers|0|F|766034
300774|2101|LIMITED ENERGY WIREMAN (TECHNICIANS AND INSTALLERS)|102|T|766034
300773|2101|RESIDENTAL|24|T|766034
300772|2101|APPRENTICE WIREMAN|132|T|766034
304099|2101|Members in Good Standing|374|T|782757
303311|2101|Mechanics|122|T|782347
303312|2101|Apprentices|22|T|782347
301429|2101|Regular|13130|T|777605
301430|2102|Agency Fee Payers|136|F|777605
304088|2101|Regular active voting members|5216|T|782744
304089|2102|Agency Fee Payers|216|F|782744
305012|2101|Production Member QCC|20|T|783287
305013|2101|Field Member|194|T|783287
302016|2101|ACTIVE MEMBERS|874|T|780744
302017|2102|Agency Fee Payers|0|F|780744
302896|2101|FOOD WORKERS: RETAIL, PROCESSING AND RELATED|12466|T|782174
302899|2102|Agency Fee Payers|21|F|782174
302898|2101|HEALTH WORKERS AND RELATED|1266|T|782174
302897|2101|COMMERCIAL WORKERS|1984|T|782174
301577|2101|Registered Nurses|416|T|777829
301578|2102|Agency Fee Payers|0|F|777829
300955|2101|VOTING MEMBER|90|T|768466
301801|2101|Journeyman|459|T|780572
301804|2102|Agency Fee Payers|0|F|780572
301803|2101|Helpers|17|T|780572
301802|2101|Apprentices|108|T|780572
303010|2101|JOURNEYMAN|1653|T|782243
303017|2102|Agency Fee Payers|0|F|782243
303016|2101|PRODUCTION SHOP EMPLOYEE|407|T|782243
303015|2101|CLASSIFIED|442|T|782243
303014|2101|LIMITED|9|F|782243
303013|2101|RETIREE|1210|T|782243
303012|2101|PRE-APPRENTICE|154|T|782243
303011|2101|APPRENTICE|429|T|782243
300941|2101|ACTIVE MEMBERS|650|T|766254
304168|2101|Journeyman|299|F|782790
304171|2101|Probationary|8|F|782790
304170|2101|Trainees|331|F|782790
304169|2101|Apprentices|72|F|782790
304023|2101|ACTIVE|336|T|782675
304024|2101|RETIRED|400|F|782675
301696|2101|ACTIVE AND APPRENTICE MEMBERS|1260|T|778093
301697|2101|LIFE AND RETIRED MEMBERS|133|F|778093
301540|2101|Active Members Employed by Home Care Companies|6667|T|777781
301541|2102|Agency Fee Payers|0|F|777781
303560|2101|ACTIVE MEMBERS|1063|T|782505
303561|2101|LIFE AND RETIRED MEMBERS|152|T|782505
301931|2101|JOURNEYMAN|1420|T|780688
301935|2102|Agency Fee Payers|0|F|780688
301934|2101|HONORARY|126|T|780688
301933|2101|RETIRED|362|T|780688
301932|2101|APPRENTICE|127|T|780688
304757|2101|UCW Income $20K-$35K and Less than Full Year Contract|195|T|783057
304773|2102|Agency Fee Payers|0|F|783057
304772|2101|Retirees|2|T|783057
304771|2101|Denver Health, Income >$115K/yr|8|T|783057
304770|2101|Denver Health, Income $95K-$115K/yr|6|T|783057
304769|2101|Fully Furloughed|16|T|783057
304768|2101|UCW Income $95K-$115K/yr|16|T|783057
304767|2101|UCW Income >$115K/yr|13|T|783057
304766|2101|UCW Income $55K-$75K/yr|42|T|783057
304765|2101|UCW Income $75K-$95K/yr|45|T|783057
304764|2101|Denver Health, Income $75K-$95K/yr|26|T|783057
304763|2101|UCW Income <$20K|54|T|783057
304762|2101|Denver Health, Income <$35K/yr|31|T|783057
304761|2101|Denver Health, Income $35K-$55K/yr|51|T|783057
304760|2101|UCW Income $35K-$55K/yr|86|T|783057
304759|2101|UCW Income $20K-$35K/yr|97|T|783057
304758|2101|Denver Health, Income $55K-$75K/yr|93|T|783057
303569|2101|ACTIVE|3479|T|782511
303570|2102|Agency Fee Payers|0|F|782511
302473|2101|JOURNEYMAN|665|T|782003
302478|2102|Agency Fee Payers|0|F|782003
302477|2101|EARLY RETIREE|89|T|782003
302476|2101|HONORARY|112|T|782003
302475|2101|RETIRED|79|T|782003
302474|2101|APPRENTICE|35|T|782003
304590|2101|Apprentice|660|T|782989
304594|2102|Agency Fee Payers|0|F|782989
304593|2101|Life Member|279|T|782989
304592|2101|Retiree|979|T|782989
304591|2101|Journeymen|2788|T|782989
304870|2101|50 DISABLED|5|T|783089
304868|2101|REGULAR MEMBERS|377|T|783089
304869|2101|APPRENTICE|103|T|783089
304874|2101|HONORARY|5|F|783089
304873|2101|IN SERVICE|1|T|783089
304872|2101|RETIRED|12|T|783089
304871|2101|EARLY RETIRED|28|T|783089
303741|2101|Active Members|23804|T|782567
303742|2102|Agency Fee Payers|35|F|782567
301624|2101|Players|1080|T|777929
301217|2101|MEMBERS|26542|T|773852
301218|2102|Agency Fee Payers|0|F|773852
302103|2101|PRESIDENT|1|T|780789
302107|2101|ACTIVE MEMBERS|1686|T|780789
302106|2101|VICEPRESIDENT|4|T|780789
302105|2101|RECORDING SECRETARY|1|T|780789
302104|2101|SECRETARY TREASURER|1|T|780789
304288|2101|Journeyman|725|T|782857
304293|2101|Early Retired|4|T|782857
304292|2101|Disabled|1|T|782857
304291|2101|Honorary|53|T|782857
304290|2101|Retired|17|T|782857
304289|2101|Apprentice|101|T|782857
303858|2101|Journeymen|850|T|782616
303863|2101|Retired|60|T|782616
303862|2101|Disabled|23|T|782616
303861|2101|Honorary Members|124|T|782616
303860|2101|Early Retirees|43|T|782616
303859|2101|Apprentices|76|T|782616
302691|2101|JOURNEYMAN WIREMAN|82|T|782103
302699|2101|EQUIPMENT OPERATOR|2|T|782103
302698|2101|GROUNDMAN|4|T|782103
302697|2101|SUBSTATION TECH|1|T|782103
302696|2101|APPRENTICE LINEMAN|1|T|782103
302695|2101|JOURNEYMAN LINEMAN|16|T|782103
302694|2101|CONSTRUCTION ELECTRICIAN|4|T|782103
302693|2101|JOURNEYMAN WIREMAN DISABLED|0|T|782103
302692|2101|APPRENTICE WIREMAN|16|T|782103
301667|2101|A Members|12|T|778039
301669|2102|Agency Fee Payers|0|F|778039
301668|2101|BA Members|186|T|778039
302565|2101|REGULAR MEMBERS|3522|T|782033
302352|2101|WORKING MEMBERS|1395|T|781946
302356|2101|EARLY RETIRED MEMBERS|115|T|781946
302355|2101|HONORARY MEMBERS|65|T|781946
302354|2101|RETIRED MEMBERS|97|T|781946
302353|2101|NON-WORKING MEMBERS|17|T|781946
303190|2101|WORKING MEMBERS|2989|T|782299
303194|2101|EARLY RETIRED MEMBERS|238|T|782299
303193|2101|HONORARY MEMBERS|251|T|782299
303192|2101|RETIRED MEMBERS|248|T|782299
303191|2101|NON-WORKING MEMBERS|134|T|782299
302407|2101|WORKING MEMBERS|1034|T|781972
302412|2102|Agency Fee Payers|0|F|781972
302411|2101|EARLY RETIRED MEMBERS|74|T|781972
302410|2101|HONORARY MEMBERS|114|T|781972
302409|2101|RETIRED MEMBERS|83|T|781972
302408|2101|NON-WORKING MEMBERS|8|T|781972
303518|2101|NON-WORKING MEMBERS|53|T|782491
303517|2101|WORKING MEMBERS|2947|T|782491
303521|2101|EARLY RETIRED MEMBERS|202|T|782491
303520|2101|HONORARY MEMBERS|187|T|782491
303519|2101|RETIRED MEMBERS|184|T|782491
304247|2101|WORKING MEMBERS|3049|T|782848
304251|2101|EARLY RETIRED MEMBERS|267|T|782848
304250|2101|HONORARY MEMBERS|174|T|782848
304249|2101|RETIRED MEMBERS|187|T|782848
304248|2101|NON-WORKING MEMBERS|74|T|782848
301681|2101|Journeymen|667|T|778052
301683|2101|Disabled|17|F|778052
301682|2101|Retired Members|55|F|778052
303616|2101|RETIREES|352|T|782522
303618|2101|APPRENTICES|66|T|782522
303617|2101|ACTIVE MEMBERS|454|T|782522
303625|2101|WORKING MEMBERS|3243|T|782525
303629|2101|EARLY RETIRED MEMBERS|56|T|782525
303628|2101|HONORARY MEMBERS|51|T|782525
303627|2101|RETIRED MEMBERS|48|T|782525
303626|2101|NON-WORKING MEMBERS|21|T|782525
301417|2101|ACTIVE|16999|T|777591
301418|2102|Agency Fee Payers|207|F|777591
