OID|INV_TYPE|NAME|AMOUNT|RPT_ID
376391|703|Marketable Securities Total Cost|0|780863
376392|704|Marketable Securities Total BookValue|0|780863
376393|705|Other Investments Total Cost|0|780863
376394|706|Other Investments Total Book Value|0|780863
375554|703|Marketable Securities Total Cost|315|777695
375555|704|Marketable Securities Total BookValue|11633|777695
375556|701|212 shs Pulte stock|11633|777695
375557|705|Other Investments Total Cost||777695
375558|706|Other Investments Total Book Value||777695
375890|703|Marketable Securities Total Cost|546431|779380
375891|704|Marketable Securities Total BookValue|710937|779380
375892|701|CASH HOLDINGS|234|779380
375893|701|LPL MFS Value Cl A MEIAX|74276|779380
375894|701|LPL MFS Growth CL A MFEGX|117336|779380
375895|701|LPL Total Return CL A MSFRX|117331|779380
375896|701|LPL MFS Technology CL A MTCAX|109022|779380
375897|701|LPL Massachusetts MFS Invest trust MITTX|80934|779380
375898|701|MFS Corporate Bond CL A MFBFX|83427|779380
375899|701|MFS High Income Cl A MHITX|61022|779380
375900|701|MFS Diversified Income CL A DIFAX|67354|779380
375901|705|Other Investments Total Cost||779380
375902|706|Other Investments Total Book Value||779380
376370|703|Marketable Securities Total Cost|623897|780860
376371|704|Marketable Securities Total BookValue|788536|780860
376372|701|BLACKROCK EQUITY|79554|780860
376373|701|BLACKROCK GLOBAL|101072|780860
376374|701|FRANKLIN RISING MANAGED TRUST|81632|780860
376375|701|FRANKLIN INCOME FUND|41039|780860
376376|701|GUGGENHEIM DEFINED|112625|780860
376377|701|FT UNIT 8132|165604|780860
376378|701|ADVISOR DISCIPLINED TRUST|137923|780860
376379|705|Other Investments Total Cost|0|780860
376380|706|Other Investments Total Book Value|0|780860
376381|702|NONE|0|780860
374407|703|Marketable Securities Total Cost|0|756232
374408|704|Marketable Securities Total BookValue|0|756232
374409|705|Other Investments Total Cost|0|756232
374410|706|Other Investments Total Book Value|0|756232
378317|703|Marketable Securities Total Cost||782647
378318|704|Marketable Securities Total BookValue||782647
378319|705|Other Investments Total Cost||782647
378320|706|Other Investments Total Book Value||782647
376158|703|Marketable Securities Total Cost|908295|780710
376161|701|US Treasury 04/15/24|47940|780710
376159|704|Marketable Securities Total BookValue|908187|780710
376160|701|US Treasury 03/31/23|54912|780710
376162|701|US Treasury 03/31/26|74698|780710
376163|701|IShares Tr Russell 3000 ETF|259749|780710
376164|705|Other Investments Total Cost||780710
376165|706|Other Investments Total Book Value||780710
379191|703|Marketable Securities Total Cost||783018
379192|704|Marketable Securities Total BookValue||783018
379193|705|Other Investments Total Cost||783018
379194|706|Other Investments Total Book Value||783018
378512|703|Marketable Securities Total Cost|2511783|782752
378513|704|Marketable Securities Total BookValue|2494600|782752
378514|705|Other Investments Total Cost|122936|782752
378515|706|Other Investments Total Book Value|1012105|782752
378516|702|Investment in UFCW Local 1776 Limited Partnership|1012105|782752
374750|703|Marketable Securities Total Cost|0|766123
374751|704|Marketable Securities Total BookValue|0|766123
374752|701|NONE|0|766123
374753|705|Other Investments Total Cost|0|766123
374754|706|Other Investments Total Book Value|0|766123
374755|702|NONE|0|766123
375813|703|Marketable Securities Total Cost||778054
375814|704|Marketable Securities Total BookValue||778054
375815|705|Other Investments Total Cost|850000|778054
375816|706|Other Investments Total Book Value|850000|778054
375817|702|36.56% OWNERSHIP IN BUILDING CORPORATION|850000|778054
377248|703|Marketable Securities Total Cost||782224
377249|704|Marketable Securities Total BookValue||782224
377250|705|Other Investments Total Cost||782224
377251|706|Other Investments Total Book Value||782224
375258|703|Marketable Securities Total Cost||776580
375259|704|Marketable Securities Total BookValue||776580
375260|705|Other Investments Total Cost||776580
375261|706|Other Investments Total Book Value||776580
378815|703|Marketable Securities Total Cost|6134630|782881
378816|704|Marketable Securities Total BookValue|7187164|782881
378817|701|T ROWE PRICE GROWTH STOCK FUND I CLASS|725421|782881
378818|701|VANGUARD HIGH DIV YLD IDX ADMIRAL |535493|782881
378819|701|VANGUARD 500 INDEX ADMIRAL|634541|782881
378820|701|WCM FOCUSED INTL GROWTH FUND INSTL|529739|782881
378821|701|EATON VANCE SHORT DURATION GOV INC|426326|782881
378822|701|GUGGENHEIM TOTAL RETURN BOND FD INSTL|778215|782881
378823|701|MORGAN STANLEY INSTL SHORT DURT INCOME|373006|782881
378824|701|PIMCO INCOME FUND INSTL FUND|391046|782881
378825|701|PIMCO INTL US DOLLAR HEDGED INST|504022|782881
378826|701|WESTERN ASSET CORE BOND FUND IS|1070856|782881
378827|705|Other Investments Total Cost||782881
378828|706|Other Investments Total Book Value||782881
377663|703|Marketable Securities Total Cost||782390
377664|704|Marketable Securities Total BookValue||782390
377665|705|Other Investments Total Cost||782390
377666|706|Other Investments Total Book Value||782390
377679|703|Marketable Securities Total Cost|0|782414
377680|704|Marketable Securities Total BookValue||782414
377681|705|Other Investments Total Cost||782414
377682|706|Other Investments Total Book Value||782414
377671|703|Marketable Securities Total Cost||782406
377672|704|Marketable Securities Total BookValue|0|782406
377673|705|Other Investments Total Cost||782406
377674|706|Other Investments Total Book Value|0|782406
378220|703|Marketable Securities Total Cost||782615
378221|704|Marketable Securities Total BookValue||782615
378222|705|Other Investments Total Cost|401829|782615
378223|706|Other Investments Total Book Value|401829|782615
378224|702|Capital One|19939|782615
378225|702|Citibank|76890|782615
378226|702|Discover Bank|100000|782615
378227|702|Goldman Sachs|205000|782615
377559|703|Marketable Securities Total Cost||782324
377560|704|Marketable Securities Total BookValue||782324
377561|705|Other Investments Total Cost||782324
377562|706|Other Investments Total Book Value||782324
375216|703|Marketable Securities Total Cost||776437
375217|704|Marketable Securities Total BookValue||776437
375218|705|Other Investments Total Cost||776437
375219|706|Other Investments Total Book Value||776437
376310|703|Marketable Securities Total Cost|0|780830
376311|704|Marketable Securities Total BookValue|0|780830
376312|705|Other Investments Total Cost|0|780830
376313|706|Other Investments Total Book Value|0|780830
375592|703|Marketable Securities Total Cost||777744
375593|704|Marketable Securities Total BookValue||777744
375594|705|Other Investments Total Cost||777744
375595|706|Other Investments Total Book Value||777744
374568|703|Marketable Securities Total Cost||761971
374569|704|Marketable Securities Total BookValue|35463|761971
374570|701|National Security|35463|761971
374571|705|Other Investments Total Cost||761971
374572|706|Other Investments Total Book Value||761971
376318|703|Marketable Securities Total Cost|0|780834
376319|704|Marketable Securities Total BookValue|0|780834
376320|701|none|0|780834
376321|705|Other Investments Total Cost|0|780834
376322|706|Other Investments Total Book Value|0|780834
376323|702|none|0|780834
374348|703|Marketable Securities Total Cost||756053
374349|704|Marketable Securities Total BookValue||756053
374350|705|Other Investments Total Cost||756053
374351|706|Other Investments Total Book Value||756053
376272|703|Marketable Securities Total Cost||780772
376273|704|Marketable Securities Total BookValue||780772
376274|705|Other Investments Total Cost||780772
376275|706|Other Investments Total Book Value||780772
375063|703|Marketable Securities Total Cost|5419|773529
375064|704|Marketable Securities Total BookValue|0|773529
375065|705|Other Investments Total Cost|0|773529
375066|706|Other Investments Total Book Value|0|773529
375697|703|Marketable Securities Total Cost||777849
375698|704|Marketable Securities Total BookValue||777849
375699|705|Other Investments Total Cost||777849
375700|706|Other Investments Total Book Value||777849
379526|703|Marketable Securities Total Cost|0|783187
379527|704|Marketable Securities Total BookValue|0|783187
379528|705|Other Investments Total Cost|0|783187
379529|706|Other Investments Total Book Value|0|783187
375230|703|Marketable Securities Total Cost||776507
375231|704|Marketable Securities Total BookValue||776507
375232|705|Other Investments Total Cost||776507
375233|706|Other Investments Total Book Value||776507
374208|703|Marketable Securities Total Cost||755612
374209|704|Marketable Securities Total BookValue||755612
374210|705|Other Investments Total Cost||755612
374211|706|Other Investments Total Book Value||755612
375970|703|Marketable Securities Total Cost|0|780563
375971|704|Marketable Securities Total BookValue||780563
375972|705|Other Investments Total Cost||780563
375973|706|Other Investments Total Book Value||780563
378199|703|Marketable Securities Total Cost||782609
378200|704|Marketable Securities Total BookValue||782609
378201|705|Other Investments Total Cost||782609
378202|706|Other Investments Total Book Value||782609
377594|705|Other Investments Total Cost||782333
377593|704|Marketable Securities Total BookValue||782333
377595|706|Other Investments Total Book Value||782333
377592|703|Marketable Securities Total Cost||782333
378645|701|AMERICAN CAP WORLD GROWTH & INCOME BLDR|404079|782835
378642|703|Marketable Securities Total Cost|2779344|782835
378646|701|AMERICAN GROWTH FUND OF AMERICA|421546|782835
378647|701|AMERICAN NEW PERSPECTIVE FUND|346228|782835
378648|701|AMERICAN NEW WORLD FUND|218284|782835
378649|701|FIDELITY ADVANTAGE NEW INSIGHTS FUND|375352|782835
378650|701|FIRST EAGLE GLOBAL FUND|332199|782835
378651|701|INVESCO DEVELOPING MARKET FUND|198336|782835
378652|701|INVESCO GLOBAL FUND|236657|782835
378653|701|NEUBERGER BERMAN GENSIS FUND|301269|782835
378654|705|Other Investments Total Cost||782835
378655|706|Other Investments Total Book Value||782835
378643|704|Marketable Securities Total BookValue|3742707|782835
378644|701|AMERICAN CAP INCOME BUILDER|262596|782835
379455|703|Marketable Securities Total Cost|100000|783130
379456|704|Marketable Securities Total BookValue|100000|783130
379457|701|American Funds Investment Account|100000|783130
379458|705|Other Investments Total Cost||783130
379459|706|Other Investments Total Book Value||783130
378177|703|Marketable Securities Total Cost|0|782604
378178|704|Marketable Securities Total BookValue|0|782604
378179|705|Other Investments Total Cost|0|782604
378180|706|Other Investments Total Book Value|0|782604
375517|705|Other Investments Total Cost||777666
375515|703|Marketable Securities Total Cost||777666
375518|706|Other Investments Total Book Value|55558|777666
375519|702|SAL 497 Realty, LLC|55558|777666
375516|704|Marketable Securities Total BookValue||777666
376444|703|Marketable Securities Total Cost||780888
376445|704|Marketable Securities Total BookValue|6710025|780888
376446|701|MAINSTAY MACKAY TR BOND FUND|4263062|780888
376447|701|MADISON CORE PROPERTY FUND|1019311|780888
376448|701|FOUNDRY PARTNERS|1427652|780888
376449|705|Other Investments Total Cost||780888
376450|706|Other Investments Total Book Value||780888
379230|703|Marketable Securities Total Cost|0|783032
379231|704|Marketable Securities Total BookValue|0|783032
379232|705|Other Investments Total Cost|0|783032
379233|706|Other Investments Total Book Value|0|783032
376727|703|Marketable Securities Total Cost|1248706|782020
376728|704|Marketable Securities Total BookValue|1345520|782020
376729|701|GOLDMAN SACHS ETF TRUST ACCESS INVT GR ETF|128929|782020
376730|701|VANGUARD STRM INFPROIDX ETF|101885|782020
376731|701|VANGUARD SHRT TRM CORP BD ETF|135314|782020
376732|701|VANGUARD MORTG-BACK SEC ETF|200859|782020
376733|701|HARTFORD MUTUAL FUNDS WORLD BOND I|144600|782020
376734|701|PIMCO INVESTMENTS INCOME INST|146418|782020
376735|705|Other Investments Total Cost||782020
376736|706|Other Investments Total Book Value||782020
379260|703|Marketable Securities Total Cost|1019155|783042
379261|704|Marketable Securities Total BookValue|1019155|783042
379262|701|DFA EMERGING MARKETS VALUE PORTFOLIO|282202|783042
379263|701|DFA US SMALL CAP GROWTH INST|138626|783042
379264|701|SPDR S&P 600 SMALL CAP GROWTH|1232|783042
379265|701|DFA INTL SMALL CAP VALUE PORTFOLIO|149624|783042
379266|701|DFA US CORE EQUITY 2 PORTFOLIO|77691|783042
379267|701|DFA US TARGETED VALUE PORTFOLIO|369780|783042
379268|705|Other Investments Total Cost||783042
379269|706|Other Investments Total Book Value||783042
360112|703|Marketable Securities Total Cost||742310
360113|704|Marketable Securities Total BookValue||742310
360114|705|Other Investments Total Cost|58626|742310
360115|706|Other Investments Total Book Value|58626|742310
379409|703|Marketable Securities Total Cost||783097
379410|704|Marketable Securities Total BookValue||783097
379411|705|Other Investments Total Cost||783097
379412|706|Other Investments Total Book Value||783097
379573|703|Marketable Securities Total Cost|0|783284
379574|704|Marketable Securities Total BookValue|0|783284
379575|705|Other Investments Total Cost||783284
379576|706|Other Investments Total Book Value||783284
375613|703|Marketable Securities Total Cost|383846|777774
375614|704|Marketable Securities Total BookValue|383846|777774
375615|705|Other Investments Total Cost||777774
375616|706|Other Investments Total Book Value||777774
379329|703|Marketable Securities Total Cost|1502504|783061
379330|704|Marketable Securities Total BookValue|1490182|783061
379331|701|CNR Fixed Inc Opportunities N-RIMOX|292289|783061
379332|701|iShares Russell 2000 Index-IWM|81665|783061
379333|705|Other Investments Total Cost||783061
379334|706|Other Investments Total Book Value||783061
379484|703|Marketable Securities Total Cost||783162
379485|704|Marketable Securities Total BookValue||783162
379486|705|Other Investments Total Cost||783162
379487|706|Other Investments Total Book Value||783162
375191|703|Marketable Securities Total Cost|15959205|773865
375192|704|Marketable Securities Total BookValue|15959205|773865
375193|701|Various Investments from Brokerage Statements|15959205|773865
375194|705|Other Investments Total Cost||773865
375195|706|Other Investments Total Book Value||773865
375240|705|Other Investments Total Cost||776517
375238|703|Marketable Securities Total Cost||776517
375241|706|Other Investments Total Book Value||776517
375239|704|Marketable Securities Total BookValue||776517
379730|701|Western National Life - Annuity|281783|785474
379726|703|Marketable Securities Total Cost||785474
379731|705|Other Investments Total Cost||785474
379732|706|Other Investments Total Book Value||785474
379727|704|Marketable Securities Total BookValue|480269|785474
379728|701|PSE&G Common Stock|11028|785474
379729|701|Dreyfus Short-Term Income Fund - Class D|187458|785474
375037|703|Marketable Securities Total Cost|2736072|773454
375038|704|Marketable Securities Total BookValue|2849796|773454
375039|701|DOUBLELINE TOTAL RETURN BOND FUND|299123|773454
375040|701|FEDERATED HERMES TOTAL RETURN BOND FUND|293190|773454
375041|701|LORD ABBETT SHORT DURATION INCOME FUND|280584|773454
375042|701|SEGALL BRYANT & HAMILL PLUS BOND FUND|241699|773454
375043|705|Other Investments Total Cost||773454
375044|706|Other Investments Total Book Value||773454
379440|703|Marketable Securities Total Cost||783120
379441|704|Marketable Securities Total BookValue||783120
379442|705|Other Investments Total Cost||783120
379443|706|Other Investments Total Book Value||783120
377055|703|Marketable Securities Total Cost|50000|782138
377056|704|Marketable Securities Total BookValue|50115|782138
377057|701|SPDR S&P 500 ETF Trust|7558|782138
377058|701|Vanguard Extend MKT ETF|9999|782138
377059|701|Vanguard Growth ETF|7533|782138
377060|701|Vanguard Value ETF|15029|782138
377061|705|Other Investments Total Cost||782138
377062|706|Other Investments Total Book Value||782138
378710|703|Marketable Securities Total Cost|0|782853
378711|704|Marketable Securities Total BookValue|0|782853
378712|705|Other Investments Total Cost|0|782853
378713|706|Other Investments Total Book Value|0|782853
378474|703|Marketable Securities Total Cost|18291|782721
378475|704|Marketable Securities Total BookValue|47795|782721
378476|701|American Funds Capital Income Builder-F1|25414|782721
378477|701|American Funds Fundemental Investors-P1|21304|782721
378478|705|Other Investments Total Cost||782721
378479|706|Other Investments Total Book Value||782721
378686|703|Marketable Securities Total Cost|14378383|782849
378687|704|Marketable Securities Total BookValue|17932193|782849
378688|701|PINEBRIDGE DYNAMIC ASSET FUND|1276128|782849
378690|701|BAIRD AGGREGATE BOND FUND|2241436|782849
378691|701|VANGUARD TOTAL INTERNATIONAL STOCK INDEX|2453838|782849
378692|701|BARINGS CORE PROPERTY FUND|2047870|782849
378693|701|PI FLOATING RATE INCOME FUND|1174333|782849
378694|701|NEUBURGER BERMAN US EQUITY INDEX|1304990|782849
378689|701|VANGUARD TOTAL STOCK MARKET INDEX|5903890|782849
378695|705|Other Investments Total Cost||782849
378696|706|Other Investments Total Book Value||782849
378674|703|Marketable Securities Total Cost||782846
378675|704|Marketable Securities Total BookValue||782846
378676|705|Other Investments Total Cost||782846
378677|706|Other Investments Total Book Value|507716|782846
377377|705|Other Investments Total Cost||782268
377374|703|Marketable Securities Total Cost|91838|782268
377378|706|Other Investments Total Book Value||782268
377375|704|Marketable Securities Total BookValue|124432|782268
377376|701|Am Funds, Capital Income Builder, 1,820.77 shares|124432|782268
378212|703|Marketable Securities Total Cost||782613
378213|704|Marketable Securities Total BookValue||782613
378214|705|Other Investments Total Cost||782613
378215|706|Other Investments Total Book Value||782613
379365|703|Marketable Securities Total Cost|2005184|783068
379366|704|Marketable Securities Total BookValue|2279369|783068
379367|705|Other Investments Total Cost||783068
379368|706|Other Investments Total Book Value||783068
374403|703|Marketable Securities Total Cost||756220
374404|704|Marketable Securities Total BookValue||756220
374405|705|Other Investments Total Cost||756220
374406|706|Other Investments Total Book Value||756220
378072|703|Marketable Securities Total Cost|6219372|782579
378073|704|Marketable Securities Total BookValue|6395984|782579
378074|705|Other Investments Total Cost||782579
378075|706|Other Investments Total Book Value||782579
376534|703|Marketable Securities Total Cost||781919
376535|704|Marketable Securities Total BookValue||781919
376536|705|Other Investments Total Cost|0|781919
376537|706|Other Investments Total Book Value|0|781919
374650|703|Marketable Securities Total Cost|3647973|766034
374651|704|Marketable Securities Total BookValue|3704900|766034
374652|701|COLUMBIA STRATEGIC INCOME MUTUAL FUND|650014|766034
374653|701|FIDELITY ADVISOR CORPORATE BOND MUTUAL FUND|622157|766034
374654|701|FIDELITY ADVISOR INVESTMENT GRADE BOND MUTUAL FUND|572680|766034
374655|701|PIMCO INCOME MUTUAL FUND|614395|766034
374656|701|PIMCO INVESTMENT GRADE CORP BOND MUTUAL FUND|626813|766034
374657|701|T. ROWE PRICE CORP INCOME MUTUAL FUND|618841|766034
374658|705|Other Investments Total Cost|0|766034
374659|706|Other Investments Total Book Value|0|766034
374660|702|NONE|0|766034
378517|703|Marketable Securities Total Cost||782757
378518|704|Marketable Securities Total BookValue||782757
378519|705|Other Investments Total Cost||782757
378520|706|Other Investments Total Book Value||782757
375452|703|Marketable Securities Total Cost||777605
375453|704|Marketable Securities Total BookValue||777605
375454|705|Other Investments Total Cost||777605
375455|706|Other Investments Total Book Value||777605
378492|703|Marketable Securities Total Cost||782744
378493|704|Marketable Securities Total BookValue||782744
378494|705|Other Investments Total Cost||782744
378495|706|Other Investments Total Book Value||782744
379580|706|Other Investments Total Book Value|642277|783287
379578|704|Marketable Securities Total BookValue||783287
379579|705|Other Investments Total Cost||783287
379577|703|Marketable Securities Total Cost||783287
377183|703|Marketable Securities Total Cost|2966632|782174
377184|704|Marketable Securities Total BookValue|4442087|782174
377185|701|SSB Orion Futures Fund|562951|782174
377186|701|Miller Opportunity Trust I|319364|782174
377187|705|Other Investments Total Cost|630474|782174
377188|706|Other Investments Total Book Value|630474|782174
377189|702|21 WEST ROAD LIMITED PARTNERSHIP|630474|782174
375682|703|Marketable Securities Total Cost|0|777829
375683|704|Marketable Securities Total BookValue|0|777829
375684|705|Other Investments Total Cost|0|777829
375685|706|Other Investments Total Book Value|0|777829
374852|703|Marketable Securities Total Cost||768466
374853|704|Marketable Securities Total BookValue||768466
374854|705|Other Investments Total Cost|400000|768466
374855|706|Other Investments Total Book Value|400000|768466
374856|702|CHARLES SCHWAB INVESTMENT ACCOUNT|400000|768466
375981|705|Other Investments Total Cost||780572
375979|703|Marketable Securities Total Cost||780572
375982|706|Other Investments Total Book Value||780572
375980|704|Marketable Securities Total BookValue||780572
377287|703|Marketable Securities Total Cost|19677667|782243
377288|704|Marketable Securities Total BookValue|19657197|782243
377289|701|METROPOLITAN WEST TOTAL RETURN BOND FUND|5795750|782243
377290|701|BLACKROCK HIGH YIELD BOND INSTITUTIONAL FUND|1520892|782243
377291|701|PIMCO INCOME FUND|5754683|782243
377292|701|ISHARES RUSSELL 1000 VALUE ETF|1335074|782243
377293|701|VANGUARD FTSE ALL-WORLD EX U.S. ETF|1598010|782243
377294|705|Other Investments Total Cost|0|782243
377295|706|Other Investments Total Book Value|0|782243
377296|702|N/A|0|782243
374830|703|Marketable Securities Total Cost|204576|766254
374831|704|Marketable Securities Total BookValue|208619|766254
374832|701|WELLS FARGO ADVANTAGE FUNDS|208619|766254
374833|705|Other Investments Total Cost|303220|766254
374834|706|Other Investments Total Book Value|303220|766254
374835|702|PROTECTIVE LIFE ANNUITY FUND|303220|766254
378573|703|Marketable Securities Total Cost||782790
378574|704|Marketable Securities Total BookValue||782790
378575|705|Other Investments Total Cost||782790
378576|706|Other Investments Total Book Value||782790
378402|703|Marketable Securities Total Cost|80015|782675
378403|704|Marketable Securities Total BookValue|80015|782675
378404|701|COMMON STOCK - BANK OF LABOR|80015|782675
378405|705|Other Investments Total Cost||782675
378406|706|Other Investments Total Book Value||782675
375623|703|Marketable Securities Total Cost|3018|777781
375624|704|Marketable Securities Total BookValue|3224|777781
375625|701|Fixed Income Securities|3224|777781
375626|705|Other Investments Total Cost||777781
375627|706|Other Investments Total Book Value||777781
377815|703|Marketable Securities Total Cost|598162|782505
377816|704|Marketable Securities Total BookValue|598162|782505
377817|701|Bond Fund of America|73003|782505
377818|701|Growth Fund of America|40533|782505
377819|701|Intermediate Bond Fund of America|34807|782505
377820|701|Vanguard FTSE Developed Markets ETF|46625|782505
377821|701|Vanguard Growth ETF|48471|782505
377822|701|Vanguard Short Term Bond ETF|43051|782505
377823|701|Vanguard Total Intl Bond Index ETF|34317|782505
377824|701|Vanguard Value ETF|35740|782505
377825|701|Washington Mutual Investors |37034|782505
377826|705|Other Investments Total Cost||782505
377827|706|Other Investments Total Book Value||782505
376111|703|Marketable Securities Total Cost|0|780688
376112|704|Marketable Securities Total BookValue|0|780688
376113|701|N/A|0|780688
376114|705|Other Investments Total Cost|274208|780688
376115|706|Other Investments Total Book Value|274208|780688
376116|702|AFL-CIO HOUSING INVESTMENT TRUST|274208|780688
379314|703|Marketable Securities Total Cost||783057
379315|704|Marketable Securities Total BookValue||783057
379316|705|Other Investments Total Cost||783057
379317|706|Other Investments Total Book Value||783057
377832|703|Marketable Securities Total Cost|150274|782511
377833|704|Marketable Securities Total BookValue|175910|782511
377834|701|AMTRUST FINANCIAL SERVICES, INC.|62100|782511
377836|701|ALTA EQUIPMENT GROUP, INC.|27540|782511
377837|701|B RILEY FINANCIAL|12975|782511
377838|701|ENERGY TRANSFER LLP|47975|782511
377839|705|Other Investments Total Cost|0|782511
377840|706|Other Investments Total Book Value|0|782511
377841|702|N/A|0|782511
377835|701|MEDALLION BANK|25320|782511
376640|703|Marketable Securities Total Cost|589668|782003
376641|704|Marketable Securities Total BookValue|680253|782003
376642|701|INVESCO S&P 500 EQUAL WEIGHT ETF|70843|782003
376643|701|ISHARES S&P 500 INDEX INSTL CLASS|187042|782003
376644|701|PGIM STRATEGIC BOND CLASS Z|34792|782003
376645|701|PGIM HIGH YIELD CLASS Z|34478|782003
376646|701|PGIM ABSOLUTE RETURN BOND CL Z|45173|782003
376647|701|PGIM SHORT DURATION HIGH YIELD INCOME CL Z|48334|782003
376648|701|INVESCO NASDAQ 100 ETF|48820|782003
376649|705|Other Investments Total Cost|122256|782003
376650|706|Other Investments Total Book Value|134139|782003
376651|702|AFL-CIO HOUSING INVESTMENT TRUST|134139|782003
379093|703|Marketable Securities Total Cost|0|782989
379094|704|Marketable Securities Total BookValue|0|782989
379095|705|Other Investments Total Cost|0|782989
379096|706|Other Investments Total Book Value|0|782989
378043|701|Vanguard Scottsdale Fds Total Corporate|219176|782567
378036|703|Marketable Securities Total Cost|1862279|782567
378044|701|Blackrock Strategic Income Opprtsi Instl|178021|782567
378045|705|Other Investments Total Cost||782567
378046|706|Other Investments Total Book Value||782567
378037|704|Marketable Securities Total BookValue|1908140|782567
378038|701|PIMCO Low Duration Inst|107354|782567
378039|701|Ishares Core US Aggregate Bond ETF|106890|782567
378040|701|Ishares Tr Core Total USD|160845|782567
378041|701|Ishares Trust Fallen Angels USD BD|182864|782567
378042|701|SPDR Ser Tr Portfli Intrmdit|248724|782567
375740|703|Marketable Securities Total Cost||777929
375741|704|Marketable Securities Total BookValue||777929
375742|705|Other Investments Total Cost||777929
375743|706|Other Investments Total Book Value||777929
376295|703|Marketable Securities Total Cost|50000|780789
376296|704|Marketable Securities Total BookValue|50000|780789
376297|701|CERTIFICATE OF DEPOSIT: COOP CASA DEL TRABAJADOR|50000|780789
376298|705|Other Investments Total Cost||780789
376299|706|Other Investments Total Book Value||780789
378729|703|Marketable Securities Total Cost|581603|782857
378730|704|Marketable Securities Total BookValue|655987|782857
378731|701|JP Morgan TR I JNBAX|591143|782857
378732|701|JP Morgan TR II PGBOX|64844|782857
378733|705|Other Investments Total Cost||782857
378734|706|Other Investments Total Book Value||782857
376935|703|Marketable Securities Total Cost||782103
376936|704|Marketable Securities Total BookValue||782103
376937|705|Other Investments Total Cost||782103
376938|706|Other Investments Total Book Value||782103
375796|703|Marketable Securities Total Cost||778039
375797|704|Marketable Securities Total BookValue||778039
375798|705|Other Investments Total Cost|55792|778039
