OID|SOURCE|LOANS_OWED_START|LOANS_OBTAINED|CASH_REPAYMENT|NON_CASH_REPAYMENT|LOANS_OWED_END|RPT_ID
35873|Pinnacle Bank|793917|0|309320|0|484597|782583
35874|NJ State Fraternal Order of Police|226446|0|7467|0|218979|782589
35875|Ford Motor Credit|0|26210|26210|0|0|782590
35876|SBA PPP Loan|0|78332|0|0|78332|782590
35877|SBA-PPP Loan|0|88217|0|0|88217|782593
35878|PPP Loan|0|356790|0|0|356790|782606
35879|None|0|0|0|0|0|782610
35882|Payroll Protection Program Loan|0|117729|0|0|117729|782626
35887|Bank of Labor Loan|0|150000|7600|0|142400|782650
35888|Mortgage Payable|178305|0|178305|0|0|782650
35889|Paycheck Protection Program|0|94656|0|0|94656|782652
35890|Bank Of Labor (PPP Loan)|0|86146|0|86146|0|782656
35891|FORD MOTOR CREDIT|52606||2653|7972|41981|782657
35895|BANK OF HAWAII|500000|0|0|0|500000|782668
35896|Paycheck Protection Program Loan|0|217556|0|0|217556|782674
35897|BANK OF LABOR|493094|0|33400||459694|782675
35898|BANK OF LABOR|415138|0|11378||403760|782675
35899|BANK OF LABOR|0|80038|0||80038|782675
35900|Car Loan|20138|0|8986|0|11152|782680
35901|PPP Loan|0|49129|0|0|49129|782680
35902|Citibank|15869550||15869550||0|782684
35903|NONE|0|0|0|0|0|782685
35904|N/A|0|0|0|0|0|782694
35905|PPP|0|35922|0|0|35922|782706
35906|COMMERCE BANK|1061892||60317||1001575|782707
35907|PPP LOAN||2370361|||2370361|782707
35908|CNB STL BANK||1250000|||1250000|782707
35909|Ally Bank|4625||4625||0|782716
35910|Bank of Labor - Paycheck Protection Program - SBA|0|320124|0|0|320124|782773
35911|NONE|0|0|0|0|0|782774
35912|Automobiles|46967|0|13043|0|32098|782779
35913|SMALL BUSINESS ADMINISTRATION|0|647425|0|0|647425|782780
35914|Optus Bank - Paycheck Protection Program Loan|0|150265|0|0|150265|782781
35915|PPP Loan|0|61285|0|0|61285|782783
35916|E&T|0|978|978|0|0|782783
35917|Optus Bank - Paycheck Protection Program Loan |0|1825865|||1825865|782786
35918|Note Payable|4720000|0|312770|119112|4288118|782787
35919|PNC Bank Loan|500542|0|28458|0|472084|782789
35920|Small Business Administration|0|166690|0|0|166690|782790
35921|None|0|0|0|0|0|782797
35922|TD Auto Finance|64337||17729||46608|782798
35923|GM Financial|61402||9734||51668|782798
35924|Small Business Administration|0|101500|0||101500|782798
35925|IBEW LOCAL NO. 313|146036|0|0|0|146036|782814
35926|IBEW LOCAL NO. 313|121114|0|0|0|121114|782814
35927|IBEW LOCAL NO. 313|112787|0|0|0|112787|782814
35928|SMALL BUSINESS ADMINISTRATION - PPP LOAN|0|82040|0|0|82040|782825
35929|NBT BANK|258205|0|53618|0|204587|782828
35930|Payment Protection Program Loan|0|733484|0|0|733484|782851
35931|PNC LOAN|2504598|0|76510|0|2428088|782852
35932|Ford Motor Credit|42097|0|17524||24573|782858
35933|Ford Motor Credit|0|46246|1227||45019|782858
35934|JP MORGAN|1484000|17952660|18104343|0|1332317|782863
35935|BANK OF LABOR|2300000|0|2300000|0|0|782863
35936|PPP LOAN PROGRAM|0|4295885|0|0|4295885|782863
35937|NONE|0|0|0|0|0|782864
35938|Bank of Labor|2092512||47421||2045091|782865
35939|BANCO POPULAR DE PR|676368||68081||608287|782873
35940|COOP A&C BO QUEBRADA|24623||5062||19561|782873
35941|PRESTAMO DE AUTO |26925||7836||19089|782873
35942|NONE|0|0|0|0|0|782884
35943|NONE|0|0|0|0|0|782890
35944|PPP Loan|0|433275|0|0|433275|782893
35945|PPP Loan|0|41023|0|0|41023|782895
35946|SBA PPP LOAN|0|266128|0|0|266128|782899
35947|UNITED BUSINESS LOAN|0|750000|70654|0|679346|782899
35948|ILLINOIS FEDERATION OF TEACHERS "IFT"|0|79736|5316|0|74420|782901
35949|BANK OF LABOR-PPP LOAN|0|64893|||64893|782906
35951|PPP Loan|0|103402|0|0|103402|782909
35952|FORD CREDIT|27816||27816||0|782913
35953|FORD CREDIT|0|43147|4555||38592|782913
35954|PAYCHECK PROTECTION PROGRAM LOAN|0|86004|0|0|86004|782913
35955|Bank of Labor|0|133277|||133277|782919
35956|GM FINANCIAL|0|35654|0|0|35654|782923
35957|PAYROLL PROTECTION PROGRAM LOAN|25000|0|25000|0|0|782925
35958|Paycheck Protection Loan ||78898|||78898|782926
35959|Small Business Administration||53102||53102|0|782927
35960|Bank of America|754169||99842||654327|782933
35961|CREDIT CARDS|1126|8370|1126||8370|782939
35962|Regions Bank|373134|0|373134|0|0|782940
35963|PNC- PPP LOAN|0|90777|0|0|90777|782941
35964|Boilmakers Local Lodge 105|142045|0|142045|0|0|782949
35965|Bank of Labor / "SBA PPP Loan"|0|25449|0|0|25449|782949
35966|Paycheck protection program loan|0|940199|0|0|940199|782950
35967|Huntington National Bank|0|79612|0|0|79612|782951
35968|NONE|0|0|0|0|0|782952
35969|NONE|0|0|0|0|0|782958
35970|PNC BANK|0|166790|0|0|166790|782963
35971|Ford Credit|38405||13152||25253|782965
35972|NONE|0|0|0|0|0|782973
35973|PPP Loan|0|43350||0|43350|782978
35974|None|||||0|782993
35975|PPP NOTE PAYABLE|0|500235|0|0|500235|782995
35976|Amalgamated Bank of Chicago|0|1545864|||1545864|783008
35977|Financial Institution - Bank|415392|0|415392|0|0|783020
35978|Financial Institution - Bank|1100000|0|38769|0|1061231|783020
35979|Finance Lease|169391|0|68964|0|100427|783020
35980|SBA PPP FORGIVEABLE LOAN|0|278489|||278489|783023
35981|Bank Loan|170367||||170367|783029
35982|BANK OF LABOR|0|153856|0|0|153856|783033
35989|CREDIT CARD BALANCES|634|881|0|0|1515|783053
35990|UNCLAIMED VACATION FUND CHECKS|7686|0|0|0|7686|783053
35991|PPP FORGIVABLE LOAN|0|77882|0|0|77882|783053
35993|Small Business Administration|0|3272840|0|0|3272840|783062
35994|Small Business Administration||119588||119588|0|783064
35995|Line of Credit|776575|212324|988899||0|783067
35996|Chicago Teachers Union Foundation|4708369||||4708369|783072
35997|GM FINANCIAL|13070|0|13070|0|0|783076
36000|CWA|32500|130500|163000||0|783093
36001|ILA Great Lakes District Council|93500||0||93500|783097
36002|SBA PPP Loan|0|64520|||64520|783098
36003|Bank of Labor Line of Credit|0|52575|||52575|783098
36004|Charles Schwab|0|29558|29558||0|783120
36005|PPP LOAN|0|9657|||9657|783162
36006|First Citizens - 2509||40208|||40208|783169
36007|First Citizens - 4186||35873|||35873|783169
36008|n/a|0|0|0|0|0|783187
36010|United Association|96125|0|1500|0|94625|783205
36011|Automobile loan|36199||12890||23309|783232
36012|SBA Loan||149900|||149900|783287
36013|Automobile Loans|107292|40416|26864|0|120844|783292
36014|PPP LOAN|0|52338|52338|0|0|784388
36015|District Council 33|47927||12611||35316|785190
36016|Bank of America (PPP Loan)|148752|0|148752|0|0|785199
36017|n/a|0|0|0|0|0|785217
36018|Paycheck Protection Program|0|195666|0|0|195666|785325
36023|AMALGAMATED BANK OF CHICAGO (PPP LOAN)|0|440085|0|0|440085|785430
36025|GMC Financial|24184|0|24184||0|785488
36026|NA|0||||0|785520
36027|RWDSU|2961|0|2639|0|322|785524
36028|Wells Fargo|128381|0|0|128381|0|785524
36029|M&T Construction Loan|2856033|0|72310||2783723|785543
36030|Paycheck Protection Program||186132|||186132|785543
36034|FORD CREDIT|17608|0|17608|0|0|785552
36035|ALLY BANK|22415|0|7258|0|15157|785552
36036|UNION YES FEDERAL CREDIT UNION|1703|0|1703|0|0|785573
36037|FORD CREDIT|25234|0|16406|0|8828|785573
36038|OPEIU INTERNATIONAL |88200|0|19600|0|68600|785573
36040|total loans payable|0|0|0|0|0|785661
