OID|ACCT_TYPE|NAME|TOTAL|PAST_DUE_90|PAST_DUE_180|LIQUIDATED|RPT_ID
137825|102|All Other Accounts|0||||778054
138794|102|All Other Accounts|0|0|0|0|783122
138186|102|All Other Accounts|||||782224
137680|102|All Other Accounts|||||776580
138641|102|All Other Accounts|16442||||782881
138291|102|All Other Accounts|||||782390
138295|102|All Other Accounts|0|0|0|0|782414
138293|102|All Other Accounts|0|0|0|0|782406
138276|102|All Other Accounts|||||782324
137631|101|Payroll Lisbilities|4725||||773494
137632|102|All Other Accounts|||||773494
137670|102|All Other Accounts|||||776437
137946|102|All Other Accounts|0|0|0|0|780830
137814|102|All Other Accounts|860|0|0|0|777993
137763|102|All Other Accounts|||||777744
137482|101|Payroll Liabilities|788|788|||761971
137483|102|All Other Accounts|||||761971
137948|101|none|0|0|0|0|780834
137949|102|All Other Accounts|0|0|0|0|780834
137429|102|All Other Accounts|||||756053
137940|102|All Other Accounts|0|0|0|0|780772
137635|102|All Other Accounts|||||773529
137788|102|All Other Accounts|||||777849
138812|101|n/a|0|0|0|0|783187
138813|102|All Other Accounts|0|0|0|0|783187
137676|102|All Other Accounts|||||776507
137400|102|All Other Accounts|||||755612
137860|102|All Other Accounts|22648||||780563
138282|102|All Other Accounts|||||782333
138580|101|Barnard Iglitzin & Lavitt|196|0|0|0|782835
138564|101|Puget Sound Metal Trades|430|0|0|0|782835
138579|101|Wex Bank|3377|0|0|0|782835
138578|101|AT&T|1579|0|0|0|782835
138577|101|Century Link|67|0|0|0|782835
138576|101|Century Link|70|0|0|0|782835
138575|101|Century Link|70|0|0|0|782835
138574|101|Wave|190|0|0|0|782835
138573|101|Pitney Bowes|450|0|0|0|782835
138572|101|Office Depot|235|0|0|0|782835
138571|101|Crystal Springs|14|0|0|0|782835
138570|101|Kelly Connect|635|0|0|0|782835
138569|101|Incom|195|0|0|0|782835
138568|101|Generations Janitorial|724|0|0|0|782835
138567|101|Andy Freudenstein|220|0|0|0|782835
138566|101|Puget Sound Energy|62|0|0|0|782835
138565|101|City of Tacoma|513|0|0|0|782835
138585|102|All Other Accounts|||||782835
138584|101|Liuna Pension|4926|0|0|0|782835
138583|101|Qualstar Credit Union|1655|0|0|0|782835
138582|101|Spring Hill Press|800|0|0|0|782835
138581|101|Terry VanScoyoc|950|0|0|0|782835
138425|102|All Other Accounts|0|0|0|0|782604
137745|102|All Other Accounts|||||777666
137981|102|All Other Accounts|18276773|0|0|0|780888
137448|102|All Other Accounts|||||756336
138733|102|All Other Accounts|1824214||||783032
138040|102|All Other Accounts|5735||||782020
138889|101|Liberty Mutual|307||||785520
138891|102|All Other Accounts|||||785520
138890|101|Delegate Expense Reports|130||||785520
138518|101|VIRGINIA APWU|1938||||782738
138519|102|All Other Accounts|||||782738
138739|102|All Other Accounts|0|0|0|0|783042
133788|102|All Other Accounts|58626||||742310
138772|102|All Other Accounts|||||783097
138835|102|All Other Accounts|10840|0|0|0|783284
137769|102|All Other Accounts|||||777774
138751|102|All Other Accounts|829434||||783061
138801|102|All Other Accounts|0|0|0|0|783162
137656|101|American Airlines Payloss|729868||||773865
137663|102|All Other Accounts|||||773865
137662|101|Payroll Tax Payable|1567||||773865
137661|101|Vacation Pay Accrual|56745||||773865
137660|101|Payroll|3023||||773865
137659|101|Various other Vendors under $10,000|42729||||773865
137658|101|American Express Credit Card Statement|5230||||773865
137657|101|Chase Credit Card Statements|1095||||773865
137678|102|All Other Accounts|||||776517
138876|102|All Other Accounts|||||785474
137628|102|All Other Accounts|||||773454
137826|102|All Other Accounts|28292|0|0|0|778063
138791|102|All Other Accounts|3693||||783120
138146|102|All Other Accounts|||||782138
138600|102|All Other Accounts|0|0|0|0|782853
138596|102|All Other Accounts|326072|0|0|0|782849
138590|101|N/A|0|0|0|0|782846
138591|102|All Other Accounts|||||782846
138227|102|All Other Accounts|||||782268
137636|102|All Other Accounts|4597||0|0|773534
138796|101|New York State United Teachers|47315||||783141
138798|102|All Other Accounts|4486||||783141
138797|101|Lutz and Carr CPAs, LLP|12500||||783141
138759|101|A&R|19845||||783068
138765|102|All Other Accounts|160240||||783068
138764|101|UHP|6667||||783068
138763|101|UCPEA|5000||||783068
138762|101|SVFT|9829||||783068
138761|101|New Haven Federation of Teachers|5000||||783068
138760|101|Hartford Federation of Teachers|7583||||783068
137441|102|All Other Accounts|426||||756220
138405|102|All Other Accounts|390509||||782579
137999|101|IBEW (PER CAPITA DUES) |15414||||781919
138000|102|All Other Accounts|16966||||781919
137497|101|NONE|0|0|0|0|766034
137498|102|All Other Accounts|0|0|0|0|766034
138523|102|All Other Accounts|||||782757
137729|102|All Other Accounts|||||777605
138520|102|All Other Accounts|29634||||782744
138837|102|All Other Accounts|||||783287
138170|102|All Other Accounts|363278||||782174
137779|102|All Other Accounts|0|0|0|0|777829
137547|101|SERVICE CHARGE PAYABLE|721||||768466
137549|102|All Other Accounts|||||768466
137548|101|PAYROLL LIABILITIES|939||||768466
137863|102|All Other Accounts|146885||||780572
138196|101|NONE|0|0|0|0|782243
138197|102|All Other Accounts|0|0|0|0|782243
137535|101|CARDMEMBER SERVICE|13132|0|0|0|766254
137537|102|All Other Accounts|||||766254
137536|101|PAYROLL LIABILITY|2160|0|0|0|766254
138542|102|All Other Accounts|55841||||782790
137771|102|All Other Accounts|2439|0|0|0|777781
137897|101|NONE ITEMIZED|0|0|0|0|780688
137898|102|All Other Accounts|0|0|0|0|780688
138748|102|All Other Accounts|0|0|0|0|783057
138335|101|NONE|0|0|0|0|782511
138336|102|All Other Accounts|0|0|0|0|782511
138028|101|UNITED BROTHERHOOD OF CARPENTERS AND JOINERS OF A|30353|7752|0|0|782003
138029|102|All Other Accounts|0|0|0|0|782003
138697|102|All Other Accounts|0|0|0|0|782989
138771|102|All Other Accounts|12773|0|0|0|783089
137799|102|All Other Accounts|16651||||777929
137653|102|All Other Accounts|186581|0|0|0|773852
138046|102|All Other Accounts|33660||||782033
138006|101|UNITED BROTHERHOOD OF CARPENTERS|19560|0|0|0|781946
138009|102|All Other Accounts|13330|0|0|0|781946
138008|101|SAN MATEO COUNTY BUILDING TRADES COUNCIL|6000|0|0|0|781946
138007|101|NO CA CARPENTERS REGIONAL COUNCIL|37983|0|0|0|781946
138256|101|UNITED BROTHERHOOD OF CARPENTERS|41116|0|0|0|782299
138259|102|All Other Accounts|22118|0|0|0|782299
138258|101|CARPENTERS FUND ADMINISTRATIVE OFFICE|7271|0|0|0|782299
138257|101|NO CA CARPENTERS REGIONAL COUNCIL|67024|0|0|0|782299
138016|101|UNITED BROTHERHOOD OF CARPENTERS|10190|0|0|0|781972
138018|102|All Other Accounts|2987|0|0|0|781972
138017|101|NO CA CARPENTERS REGIONAL COUNCIL|92174|0|0|0|781972
138325|102|All Other Accounts|11137|0|0|0|782491
138322|101|UNITED BROTHERHOOD OF CARPENTERS|39168|0|0|0|782491
138324|101|CARPENTERS FUND ADMINISTRATIVE OFFICE|5608|0|0|0|782491
138323|101|NO CA CARPENTERS REGIONAL COUNCIL|59007|0|0|0|782491
138592|101|UNITED BROTHERHOOD OF CARPENTERS|43496|0|0|0|782848
138595|102|All Other Accounts|23161|0|0|0|782848
138594|101|CARPENTERS FUND ADMINISTRATIVE OFFICE|6738|0|0|0|782848
138593|101|NO CA CARPENTERS REGIONAL COUNCIL|48708|0|0|0|782848
137823|102|All Other Accounts|||||778052
138353|101|VENDORS PAYABLE|53278||||782522
138354|102|All Other Accounts|||||782522
138371|101|UNITED BROTHERHOOD OF CARPENTERS|39548|0|0|0|782525
138373|102|All Other Accounts|17062|0|0|0|782525
138372|101|NO CA CARPENTERS REGIONAL COUNCIL|17468|0|0|0|782525
137723|102|All Other Accounts|0||||777591
137685|102|All Other Accounts|0||||777268
137687|102|All Other Accounts|0||||777314
137699|102|All Other Accounts|0||||777401
137730|102|All Other Accounts|0||||777610
138848|101|Per Capita Tax|4505||||785190
138852|102|All Other Accounts|||||785190
138851|101|Payroll Taxes Payable|12963||||785190
138850|101|Accrued Payroll Taxes|8404||||785190
138849|101|Accounts Payable|5100||||785190
138045|102|All Other Accounts|9752||||782028
138422|101|DC33 HEALTH AND WELFARE FUND|1299689||1299689||782599
138423|102|All Other Accounts|356149|356149|||782599
137780|101|April 2021 Fringe Benefits|21067||||777839
137782|102|All Other Accounts|||||777839
137781|101|Phone and Utilities|398||||777839
133637|101|PARKING LOT UNEARNED RENT|1471||||740515
133638|102|All Other Accounts|||||740515
137668|102|All Other Accounts|0|0|0|0|776379
137918|102|All Other Accounts|||||780706
137759|102|All Other Accounts|171033||||777729
138178|102|All Other Accounts|||||782213
137504|102|All Other Accounts|36975||||766080
138678|102|All Other Accounts|4702||||782933
137406|102|All Other Accounts|152903|0|0|0|755642
138005|102|All Other Accounts|4395||||781944
138286|102|All Other Accounts|||||782367
137494|101|ACCOUNTS PAYABLE|5322||||766008
137495|102|All Other Accounts|||||766008
137720|102|All Other Accounts|0|0|0|0|777584
137714|102|All Other Accounts|0||||777505
137688|102|All Other Accounts|0||||777323
137707|102|All Other Accounts|0||||777456
137624|102|All Other Accounts|||||773403
138524|101|UNITED BROTHERHOOD OF CARPENTERS|5772|0|0|0|782759
138526|102|All Other Accounts|5119|0|0|0|782759
138525|101|NO CA CARPENTERS REGIONAL COUNCIL|9333|0|0|0|782759
138184|101|UNITED BROTHERHOOD OF CARPENTERS|5992|0|0|0|782223
138185|102|All Other Accounts|5285|0|0|0|782223
137621|101|Lubin & Enoch, PC|2110||||773330
137622|102|All Other Accounts|98||||773330
137853|101|||||0|780540
137854|102|All Other Accounts|||||780540
138902|102|All Other Accounts|||||785581
138901|101|NONE|0||||785581
137271|102|All Other Accounts|199967||||753826
138539|102|All Other Accounts|||||782786
137669|102|All Other Accounts|||||776389
137815|102|All Other Accounts|146664||||778005
137848|101|NONE|0|0|0|0|779384
137849|102|All Other Accounts|0|0|0|0|779384
137982|102|All Other Accounts|0|0|0|0|780892
138602|102|All Other Accounts|||||782858
137626|102|All Other Accounts|69928||||773408
137704|102|All Other Accounts|6882||||777414
138755|101|AL Media LLC|14500||14500||783067
138758|102|All Other Accounts|18226263|0|10450||783067
138757|101|United Educators of San Francisco #61|14938||14938||783067
138756|101|Silverseal Corporation|27582|27582|||783067
138126|102|All Other Accounts|||||782114
138647|102|All Other Accounts|26478|0|0|0|782890
138752|101|National Heavy & Highway Parts|12000|6000|||783062
138753|102|All Other Accounts|915569||||783062
137503|102|All Other Accounts|7284993||||766075
137399|102|All Other Accounts|64942||||755599
138608|101|NATIONAL CEMENT LODGE (DNCL)|13677|8051|5626|0|782863
138609|102|All Other Accounts|1858|1336|0|0|782863
137591|101|Writers Guild Foundation|75906|0|0|0|768487
137556|101|ABM|292294|0|0|0|768487
137590|101|Writers Guild-Ind Health Fund|148675|0|0|0|768487
137589|101|Wolcott Architecture|6177|0|0|0|768487
137588|101|Who's Watching TV LLC|31668|0|0|0|768487
137587|101|Votenet Solutions|12670|0|0|0|768487
137586|101|Universal Protection Service|45270|0|0|0|768487
137585|101|Thinklogic|55995|0|0|0|768487
137584|101|Tek Systems, Inc.|8850|0|0|0|768487
137583|101|Servicon Systems, Inc|11246|0|0|0|768487
137582|101|Rothner, Segall & Greenstone|88940|0|0|0|768487
137581|101|Roth Staffing Companies, L.P.|5818|0|0|0|768487
137580|101|Producer-WGA Pension Plan|128206|0|0|0|768487
137579|101|Noventus Solutions|7781|0|0|0|768487
137578|101|Nigro, Karlin, Segal & Feldstein|13362|0|0|0|768487
137577|101|Miller, Kaplan, Arase & Co, LLP|94200|0|0|0|768487
137576|101|Los Angeles Dept of Water and Power|16640|0|0|0|768487
137575|101|Levenson, Steven|34660|0|0|0|768487
137574|101|L. E. Waters Construction Company|54662|0|0|0|768487
137573|101|Kirschner, Carole|7062|0|0|0|768487
137572|101|Kierstead Productions Inc|34270|0|0|0|768487
137571|101|Jane of All Trades Consulting|5285|0|0|0|768487
137570|101|JAMS, INC.|9350|0|0|0|768487
137569|101|Forscey PLLC|10000|0|0|0|768487
137568|101|Exactuals LLC|40554|0|0|0|768487
137567|101|Essential Television Statistics|25397|0|0|0|768487
137566|101|DocuSign Inc|17667|0|0|0|768487
137565|101|Dell Business Credit|7428|0|0|0|768487
137564|101|D&A Wilson Consulting Services, Inc.|16660|0|0|0|768487
137563|101|Cypress Insurance Company|17302|0|0|0|768487
137562|101|Continuant, Inc|22800|0|0|0|768487
137561|101|Capital Connection|6000|0|0|0|768487
137560|101|Business Card|13900|0|0|0|768487
137559|101|Bush Gottlieb, A Law Corporation|62941|0|0|0|768487
137558|101|Bowser, Yvette Lee|10000|0|0|0|768487
137557|101|Allen, Kimberly E|10905|0|0|0|768487
137594|102|All Other Accounts|105660|0|0|0|768487
137593|101|Zelman  , Aaron R.|8706|0|0|0|768487
137592|101|Writers Guild of America East|52725|0|0|0|768487
138642|102|All Other Accounts|2851709|0|0|0|782882
138305|102|All Other Accounts|3958010|0|0|0|782460
138157|102|All Other Accounts|1847849||0|0|782151
138898|102|All Other Accounts|9539||||785549
138532|101|LOCAL 220|43124|0|43124|0|782780
138536|102|All Other Accounts|28562|0|28562|0|782780
138535|101|LOCAL 95|9121|720|8173|0|782780
138534|101|LOCAL 49|9247|1040|7940|0|782780
138533|101|LOCAL 162|16412|912|15500|0|782780
137485|102|All Other Accounts|0||||765211
138840|102|All Other Accounts|498716||||784414
137529|102|All Other Accounts|34382|0|0|0|766187
137877|101|NONE|0|0|0|0|780644
137878|102|All Other Accounts|11704|0|0|0|780644
137610|102|All Other Accounts|517256||0|0|773317
137739|101|ALAN SYMONETTE|7948|0|7948|0|777652
137743|102|All Other Accounts|9813780|0|0|0|777652
137742|101|MARK L IRVINGS|5250|0|5250|0|777652
137741|101|DANA EDWARD EISCHEN|6300|0|6300|0|777652
137740|101|CREIGHTON JOHNSEN & GIROUX|6660|0|6660|0|777652
138378|102|All Other Accounts|294689|0|0|0|782530
138612|102|All Other Accounts|746625||||782865
137488|102|All Other Accounts|463090||||765242
138205|102|All Other Accounts|||||782253
137744|102|All Other Accounts|0||||777656
137867|101|Vendor Payable at June 30, 2021|825756||||780578
137869|102|All Other Accounts|||||780578
137868|101|Insurance Carrier Payable|308827||||780578
137531|102|All Other Accounts|1448803||||766195
138391|102|All Other Accounts|||||782558
138861|102|All Other Accounts|||||785354
137665|102|All Other Accounts|||||773987
138175|102|All Other Accounts|||||782200
138557|102|All Other Accounts|||||782815
138685|101|NONE ITEMIZED|0|0|0|0|782952
138686|102|All Other Accounts|0|0|0|0|782952
138181|101|NONE|0|0|0|0|782221
138182|102|All Other Accounts|154007|0|0|0|782221
137820|102|All Other Accounts|36484||||778038
137647|102|All Other Accounts|||||773741
137733|102|All Other Accounts|||||777623
138636|101|UA OFFICER/EMPLOYEE PENSION|9441|0|0|0|782880
138640|102|All Other Accounts|4061|0|0|0|782880
138639|101|LOCAL 7 BENEFIT FUNDS|19909|0|0|0|782880
138638|101|NYS AFL-CIO|1538|0|0|0|782880
138637|101|UNITED ASSOCIATION|58056|0|0|0|782880
138511|102|All Other Accounts|2007774|0|0|0|782707
137634|102|All Other Accounts|||||773526
138506|102|All Other Accounts|0|0|0|0|782690
138558|102|All Other Accounts|0|0|0|0|782820
138436|102|All Other Accounts|||||782619
137942|102|All Other Accounts|147994|0|0|0|780785
138345|101|US Treasury - Federal Withholdings|1272||||782520
138348|102|All Other Accounts|||||782520
138347|101|Georgia Dept of Revenue - Georgia Withholdings|330||||782520
138346|101|US Treasury - Federal Unemployment|84||||782520
137721|102|All Other Accounts|22019|0|0|0|777586
138586|102|All Other Accounts|3500||||782836
137899|102|All Other Accounts|44428|0|0|0|780690
138410|102|All Other Accounts|85185|0|0|0|782583
137900|102|All Other Accounts|47386||||780692
138832|101|PER CAPITA TAXES - IBEW INT'L FUND|25034|0|0|0|783264
138834|102|All Other Accounts|||||783264
138833|101|LOCAL 508 FRINGE BENEFIT FUNDS|10176|0|0|0|783264
138319|102|All Other Accounts|277355||||782485
137772|102|All Other Accounts|23430||||777786
138236|101|NONE|0|0|0|0|782276
138237|102|All Other Accounts|0|0|0|0|782276
138288|102|All Other Accounts|||||782374
138510|102|All Other Accounts|128202|0|0|0|782698
137758|102|All Other Accounts|10424||||777704
138403|102|All Other Accounts|6250||||782577
137961|102|All Other Accounts|869||||780855
137748|102|All Other Accounts|||||777691
137732|102|All Other Accounts|0|0|0|0|777619
138033|102|All Other Accounts|||||782011
137928|101|NONE|0|0|0|0|780738
137929|102|All Other Accounts|0|0|0|0|780738
137506|102|All Other Accounts|475975||||766082
138272|102|All Other Accounts||||0|782313
138787|101|FEDERAL PAY|2810|2810|||783113
138789|102|All Other Accounts|||||783113
138788|101|FUI/SUI|355|355|||783113
138140|101|NONE|0|0|0|0|782132
138141|102|All Other Accounts|0|0|0|0|782132
138452|102|All Other Accounts|||||782646
137747|102|All Other Accounts|||||777670
137834|102|All Other Accounts|18772||||778140
137871|101|Bank of Labor CC|199|0|0|0|780589
137872|102|All Other Accounts|||||780589
138696|102|All Other Accounts|305758|0|0|0|782981
138312|102|All Other Accounts|37684||||782469
138214|101|B/M INTERNATIONAL ANNUITY|8100||||782257
138221|102|All Other Accounts|13213||||782257
138220|101|B/M INTERNATIONAL SEC/TREAS|5000||||782257
138219|101|B/M INTERNATIONAL OFFICER'S PENSION|6014||||782257
138218|101|WILLIAM T CREEDEN INTERNATIONAL PENSION|26229||||782257
138217|101|B/M INTERNATIONAL PURCHASE OF RECEIPTS|30384||||782257
138216|101|B/M INTERNATIONAL HEALTH & WELFARE|7947||||782257
138215|101|B/M INTERNATIONAL CONSTRUCTION DIVISION|47179||||782257
138123|102|All Other Accounts|2353||||782109
138503|101|NONE|0|0|0|0|782685
138504|102|All Other Accounts||||0|782685
137950|101|IBEW International|18547||||780836
137951|102|All Other Accounts|5387||||780836
138507|102|All Other Accounts|||||782692
138036|102|All Other Accounts|||||782016
138251|101|PAYROLL TAXES PAYABLE|520||||782294
138253|102|All Other Accounts|||||782294
138252|101|PER CAPITA TAXES DUE|23328||||782294
137447|102|All Other Accounts|10379||||756332
137456|102|All Other Accounts|3412||||756370
137962|101|Trade Taxes|13532||||780856
137968|102|All Other Accounts|25212||||780856
137967|101|Advertisng|178||||780856
137966|101|Utilities|2172||||780856
137965|101|Per Capita|10865||||780856
137964|101|Employee Benefits|17887||||780856
137963|101|Payroll Taxes|2403||||780856
137684|102|All Other Accounts|||||777261
137439|102|All Other Accounts|30598|0|0|0|756194
138784|101|NEW YORK STATE IRON WORKERS|17435|0|0|0|783111
138786|102|All Other Accounts|3618|0|0|0|783111
138785|101|FITZSIMMONS ABRAMS LLP|40000|0|0|0|783111
138531|102|All Other Accounts|4978||||782778
138311|102|All Other Accounts|5583||||782468
137917|102|All Other Accounts|34726||||780702
138176|102|All Other Accounts|0|0|0|0|782207
138279|101|N/A|0|0|0|0|782331
138280|102|All Other Accounts|0|0|0|0|782331
137816|102|All Other Accounts|||||778008
138866|101|ACCOUNTS PAYABLE|3000|0|0|0|785388
138867|102|All Other Accounts|||||785388
138802|102|All Other Accounts|0|0|0|0|783163
138858|102|All Other Accounts|18327||||785293
138199|102|All Other Accounts|||||782247
138382|102|All Other Accounts|7621||||782536
137880|102|All Other Accounts|||||780654
138309|101|Current Liabilities|428||||782467
138310|102|All Other Accounts|||||782467
138538|102|All Other Accounts|70787|0|0|70787|782783
137884|102|All Other Accounts|||||780664
138013|102|All Other Accounts|0|0|0|0|781962
137517|102|All Other Accounts|4050|0|0|0|766125
137528|102|All Other Accounts|||||766180
138450|102|All Other Accounts|0|0|0|0|782638
138395|102|All Other Accounts|14150||||782563
138337|101|N/A|0|0|0|0|782513
138338|102|All Other Accounts|0|0|0|0|782513
138277|102|All Other Accounts|0|0|0|0|782326
138651|102|All Other Accounts|10410||||782894
137696|101|NONE|0|0|0|0|777353
137697|102|All Other Accounts|0|0|0|0|777353
138287|102|All Other Accounts|||||782372
138588|102|All Other Accounts|||||782842
137931|102|All Other Accounts|37847|0|0|0|780747
137993|101|NONE ITEMIZED|0|0|0|0|781904
137994|102|All Other Accounts|0|0|0|0|781904
138434|102|All Other Accounts|||||782617
138239|102|All Other Accounts|0|0|0|0|782278
138238|101|N/A|0|0|0|0|782278
138496|102|All Other Accounts|2649||||782669
138203|102|All Other Accounts|25788|0|0|0|782251
138556|102|All Other Accounts|4326|0|0|0|782814
138540|102|All Other Accounts|63126||||782787
137975|102|All Other Accounts|||||780865
138598|101|NONE|0|0|0|0|782852
138599|102|All Other Accounts|0|0|0|0|782852
138034|102|All Other Accounts|||||782012
138408|101|Not Applicable|0|0|0|0|782582
138409|102|All Other Accounts|||||782582
138604|102|All Other Accounts|||||782860
138380|101|Credit Card Payable|1814||||782532
138381|102|All Other Accounts|0|0|0|0|782532
138782|101|ACCRUED PROFESSIONAL FEES|2375|0|0|0|783109
138783|102|All Other Accounts|0|0|0|0|783109
137873|102|All Other Accounts|||||780594
137881|102|All Other Accounts|35748||||780660
138399|102|All Other Accounts|1321|0|0|0|782570
137775|102|All Other Accounts|12630|0|0|0|777797
137764|101|NONE|0|0|0|0|777749
137765|102|All Other Accounts|0|0|0|0|777749
137992|102|All Other Accounts|50662|0|0|0|781900
138249|101|Over pay and refundables|8889|8889|0|0|782291
138250|102|All Other Accounts|0|0|0|0|782291
138619|101|Central Pension Fund|4400||||782869
138622|102|All Other Accounts|||||782869
138621|101|IUOE & Pipeline Employers Health & Welfare|5000||||782869
138620|101|General Pension Fund|5166||||782869
138303|101|PAYROLL TAXES WITHHELD|2742|0|0|0|782454
138304|102|All Other Accounts|||||782454
138072|102|All Other Accounts|0|0|0|0|782062
138654|102|All Other Accounts|||||782897
138022|101|INTERNATIONAL PER CAPITA|25442||||781983
138024|102|All Other Accounts|||||781983
138023|101|SOUTHWEST REG COUNCIL PER CAPITA|1738||||781983
138025|102|All Other Accounts|0|0|0|0|781986
138710|102|All Other Accounts|||||782995
138552|102|All Other Accounts|9397||||782798
138010|101|NONE ITEMIZED|0|0|0|0|781949
138011|102|All Other Accounts|0|0|0|0|781949
138154|102|All Other Accounts|||||782149
138377|102|All Other Accounts|170000||||782529
137919|102|All Other Accounts|49599||||780709
137858|101|NONE|0|0|0|0|780558
137859|102|All Other Accounts|0|0|0|0|780558
137751|101|ALLAN ELECTRIC, INC|9104|9104|0|0|777694
137757|102|All Other Accounts|519307|0|0|0|777694
137756|101|CABIN CREEK ELECTRIC, INC|25648|25648|0|0|777694
137755|101|C.R.E.M.|5288|5288|0|0|777694
137754|101|PHASE 2 ELECTRIC, INC|9652|9652|0|0|777694
137753|101|CHEYENNE ELECTRIC, INC|101492|101492|0|0|777694
137752|101|SIERRA ELECTRIC, INC|74723|74723|0|0|777694
137700|101|NONE|0|0|0|0|777409
137701|102|All Other Accounts|0|0|0|0|777409
137936|102|All Other Accounts|156777|0|0|0|780756
138508|101|N/A|0|0|0|0|782694
138509|102|All Other Accounts|0|0|0|0|782694
137984|101|NONE|0|0|0|0|781886
137985|102|All Other Accounts|0|0|0|0|781886
138893|102|All Other Accounts|123922||||785524
138320|102|All Other Accounts|86375|0|0|0|782487
138545|101|IRON WORKERS TN VALLEY BENEFITS|5223||||782796
138550|102|All Other Accounts|||||782796
138549|101|CHASE CREDIT CARD|1570||||782796
138548|101|DISTRICT COUNCIL PER CAPITA|823||||782796
138547|101|GENERAL TREASURER PER CAPITA|15414||||782796
138546|101|IRON WORKERS INTERNATIONAL ASSOCIATION|3222||||782796
138543|101|IBEW INTERNATIONAL|60627|0|0|0|782793
138544|102|All Other Accounts|0|0|0|0|782793
138172|102|All Other Accounts|30435|0|0|0|782196
138441|101|IABSO - IW General Treasurer|22069||||782626
138444|102|All Other Accounts|5672||||782626
138443|101|IWDC of NE Welfare Fund|9511||||782626
138442|101|Manzi & Associates L.L.C.|18450||||782626
138887|102|All Other Accounts|0|0|0|0|785510
138162|102|All Other Accounts|||||782156
138516|102|All Other Accounts|80696||||782725
138269|102|All Other Accounts|30334|0|0|0|782309
137312|101|United Association-General Secretary Treasurer|24981||||754634
137313|102|All Other Accounts|5009||||754634
138387|102|All Other Accounts|2292|0|0|0|782550
138655|101|DEATH BENEFITS|31750||||782899
138657|102|All Other Accounts|||||782899
138656|101|PAYROLL TAXES AND W/H PAYABLE|7904||||782899
137932|102|All Other Accounts|94838||||780750
138903|102|All Other Accounts|||||785606
138790|102|All Other Accounts|||||783116
138131|102|All Other Accounts|||||782120
138440|102|All Other Accounts|25620||||782624
138406|101|N/A|0|0|0|0|782580
138407|102|All Other Accounts|0|0|0|0|782580
137708|101|Payroll tax liabilities|9277||||777477
137711|102|All Other Accounts|||||777477
