OID|RECEIPT_TYPE|PURPOSE|DATE|AMOUNT|PAYER_PAYEE_ID|RPT_ID
760499|1201|Payment for Medical Face Masks|2020-08-12|79400|2802525|755599
760500|1201|Payment for Medical Face Masks|2020-08-31|19850|2802525|755599
760501|1201|Memorial Fund Donation|2021-01-04|5000|2802635|755642
760502|1201|Organizing assistance|2020-03-02|9166|2802641|755642
760503|1201|Organizing assistance|2020-04-15|9167|2802641|755642
760504|1201|Organizing assistance|2020-05-05|9166|2802641|755642
760505|1201|Organizing assistance|2020-06-15|9167|2802641|755642
760506|1201|Organizing assistance|2020-07-06|9167|2802641|755642
760507|1201|Organizing assistance|2020-08-03|9167|2802641|755642
760508|1201|Organizing assistance|2020-08-26|10000|2802641|755642
760509|1201|Organizing assistance|2020-09-28|10000|2802641|755642
760510|1201|Organizing assistance|2020-10-21|10000|2802641|755642
760511|1201|Organizing assistance|2020-11-25|10000|2802641|755642
760512|1201|Organizing assistance|2021-01-11|10000|2802641|755642
760513|1201|Organizing assistance|2021-01-20|10000|2802641|755642
760514|1201|Organizing assistance|2021-02-26|10000|2802641|755642
760810|1201|ROYALTY|2020-05-12|28498|2806134|755825
760811|1201|PLAYER MARKETING|2020-03-11|9000|2806134|755825
760812|1201|SUPER BOWL TICKETS PURCHASED|2020-10-07|6400|2806135|755825
760813|1201|SUPER BOWL TICKETS PURCHASED|2021-02-01|7300|2806136|755825
760814|1201|PLAYER MARKETING|2020-10-27|492500|2806136|755825
760815|1201|PLAYER MARKETING|2020-09-15|200000|2806136|755825
760816|1201|PLAYER MARKETING|2020-07-14|185000|2806136|755825
760817|1201|MANAGEMENT FEE|2021-02-25|57200|2806136|755825
760818|1201|PLAYER MARKETING|2020-07-01|43500|2806136|755825
760819|1201|PLAYER MARKETING|2020-10-14|25000|2806136|755825
760820|1201|PLAYER MARKETING|2020-12-10|20000|2806136|755825
760821|1201|MARKETING COMMITMENT|2020-04-09|17411|2806136|755825
760822|1201|PLAYER MARKETING|2020-11-12|8000|2806136|755825
760823|1201|PLAYER MARKETING|2021-02-24|6500|2806136|755825
760824|1201|REFUND OF MEETING DEPOSIT|2020-04-06|8389|2806137|755825
760825|1201|SUPER BOWL TICKETS PURCHASED|2021-02-03|7300|2806138|755825
760826|1201|SUPER BOWL TICKETS PURCHASED|2021-01-29|5100|2806139|755825
760827|1201|NFL COMMERICAL AGREEMENT|2020-06-11|14575000|2806140|755825
760828|1201|NFL COMMERICAL AGREEMENT|2020-08-31|14575000|2806140|755825
760829|1201|NFL COMMERICAL AGREEMENT|2021-02-24|14575000|2806140|755825
760830|1201|NFL COMMERICAL AGREEMENT|2020-11-30|14575001|2806140|755825
760831|1201|PLAYER MARKETING|2020-03-05|8968875|2806140|755825
760832|1201|PLAYER MARKETING|2020-04-20|2553008|2806140|755825
760833|1201|REFUND DEPOSIT|2020-07-22|36800|2806141|755825
760834|1201|SUPER BOWL TICKETS PURCHASED|2021-02-03|5800|2806142|755825
760835|1201|GRANTOR TRUST DISTRIBUTION|2021-01-15|1742315|2806143|755825
760836|1201|SUPER BOWL TICKETS PURCHASED|2021-02-02|5800|2806144|755825
760837|1201|ROYALTY|2020-08-27|27500|2806147|755825
760838|1201|ROYALTY|2020-04-14|20000|2806147|755825
760839|1201|PLAYER MARKETING REIMBURSMENT|2020-04-28|15000|2806148|755825
760840|1201|SUPER BOWL TICKETS PURCHASED|2021-01-29|5800|2806149|755825
760841|1201|MARKETING COMMITMENT|2020-03-11|75000|2806150|755825
760842|1201|REAL ESTATE TAX REFUND 2018|2020-03-10|13010|2806151|755825
760843|1201|TAX REFUND |2021-02-24|15150|2806151|755825
760844|1201|PLAYER MARKETING|2020-08-06|120000|2806152|755825
760845|1201|PLAYER MARKETING|2020-04-24|102500|2806152|755825
760846|1201|MARKETING COMMITMENT|2020-03-09|100000|2806153|755825
760847|1201|2019 WPMOY AWARD|2020-09-08|55000|2806154|755825
760848|1201|2019 CHARITY CHALLENGE|2020-05-06|40000|2806154|755825
760849|1201|2020 CHARITY CHALLENGE|2021-01-06|40000|2806154|755825
760850|1201|IT TAKES ALL OF US SPONSOR|2020-12-21|10000|2806154|755825
760851|1201|PLAYER MARKETING|2020-10-26|20000|2806157|755825
760852|1201|ROYALTY|2020-05-15|19067|2806158|755825
760853|1201|PRIOR YEAR VOID PAYMENT|2020-04-27|7500|2806159|755825
760854|1201|ROYALTY|2020-06-12|15499|2806160|755825
760855|1201|PRIOR YEAR VOID PAYMENT|2020-03-25|5000|2806161|755825
760856|1201|ROYALTY|2020-04-29|8675|2806162|755825
760857|1201|REIMBURSED EXPENSES|2020-05-28|8437|2806163|755825
760858|1201|ROYALTY|2020-08-07|7500|2806164|755825
760859|1201|PRODUCTION REVENUE|2021-01-05|25000|2806165|755825
760860|1201|PRODUCTION REVENUE|2020-11-27|10617|2806165|755825
760861|1201|MANAGEMENT FEE|2020-07-14|45000|2806166|755825
760862|1201|REIMBURSED EXPENSES|2020-06-02|12833|2806166|755825
760863|1201|PLAYER MARKETING|2020-04-24|317500|2806167|755825
760864|1201|PLAYER MARKETING|2020-08-17|225000|2806167|755825
760865|1201|PLAYER MARKETING|2020-11-09|20000|2806167|755825
760866|1201|PLAYER MARKETING|2020-12-31|5000|2806167|755825
760867|1201|SUPER BOWL TICKETS PURCHASED|2020-04-03|40200|2806169|755825
760868|1201|ESCHEAT REFUND|2020-03-30|8800|2806170|755825
760869|1201|MARKETING COMMITMENT|2020-03-31|75000|2806171|755825
760870|1201|PLAYER MARKETING|2020-09-09|30000|2806172|755825
760871|1201|ROYALTY|2021-02-23|49980|2806173|755825
760872|1201|ROYALTY|2020-04-30|27150|2806174|755825
760873|1201|ROYALTY|2020-03-16|18466|2806174|755825
760874|1201|MEDICAL LOSS REBATE|2020-11-18|96568|2806175|755825
760875|1201|PRODUCTION REVENUE|2020-04-20|50000|2806176|755825
760876|1201|MANAGEMENT FEE|2020-04-30|20000|2806177|755825
760877|1201|PRODUCTION REVENUE|2020-04-27|12500|2806178|755825
760878|1201|PLAYER MARKETING|2020-04-03|21500|2806179|755825
760879|1201|PLAYER MARKETING|2021-02-05|10000|2806179|755825
760880|1201|PLAYER MARKETING|2021-01-28|625000|2806180|755825
760881|1201|PLAYER MARKETING|2020-10-02|343627|2806180|755825
760882|1201|PLAYER MARKETING|2020-07-01|342085|2806180|755825
760883|1201|PLAYER MARKETING|2020-10-29|312500|2806180|755825
760884|1201|PLAYER MARKETING|2020-12-22|135480|2806180|755825
760885|1201|PLAYER MARKETING|2020-11-30|129805|2806180|755825
760886|1201|PLAYER MARKETING|2020-07-29|107920|2806180|755825
760887|1201|PLAYER MARKETING|2021-01-14|65105|2806180|755825
760888|1201|PLAYER MARKETING|2020-04-09|55110|2806180|755825
760889|1201|PLAYER MARKETING|2020-10-19|54985|2806180|755825
760890|1201|PLAYER MARKETING|2021-02-12|39220|2806180|755825
760891|1201|PLAYER MARKETING|2020-07-15|34250|2806180|755825
760892|1201|PLAYER MARKETING|2021-01-07|21020|2806180|755825
760893|1201|PARTNERSHIP FEE|2020-10-26|55000|2806181|755825
760894|1201|PRIOR YEAR VOID PAYMENT|2020-03-27|11549|2806182|755825
760895|1201|MANAGEMENT FEE|2020-03-25|8500|2806183|755825
760896|1201|REIMBURSED EXPENSES|2020-05-20|8089|2806183|755825
760897|1201|REIMBURSED EXPENSES|2020-12-02|9643|2806184|755825
760898|1201|REIMBURSED EXPENSES|2020-03-04|16309|2806184|755825
760899|1201|REIMBURSED EXPENSES|2020-07-14|25682|2806184|755825
760900|1201|REIMBURSED EXPENSES|2021-02-24|25814|2806184|755825
760901|1201|REIMBURSED EXPENSES|2020-06-17|100000|2806184|755825
760902|1201|REIMBURSED EXPENSES|2020-09-03|100000|2806184|755825
760903|1201|REIMBURSED EXPENSES|2020-11-12|100000|2806184|755825
760904|1201|REIMBURSED EXPENSES|2021-02-10|100000|2806184|755825
760905|1201|REIMBURSED EXPENSES|2020-03-04|44371|2806184|755825
760906|1201|REIMBURSED EXPENSES|2020-11-12|12534|2806184|755825
760907|1201|INSURANCE PREMIUM REFUND|2021-02-24|6555|2806185|755825
760908|1201|INSURANCE PREMIUM REFUND|2020-10-21|31489|2806185|755825
760909|1201|PRODUCTION REVENUE|2020-06-01|45000|2806186|755825
760910|1201|MANAGEMENT FEE|2021-02-03|53500|2806187|755825
760911|1201|PRIOR YEAR VOID PAYMENT|2020-05-31|27152|2806188|755825
760912|1201|PRODUCTION REVENUE|2020-05-05|150000|2806189|755825
760913|1201|REIMBURSED EXPENSES|2021-02-04|13045|2806190|755825
760914|1201|REIMBURSED EXPENSES|2020-08-31|16212|2806190|755825
760915|1201|REIMBURSED EXPENSES|2020-10-16|19053|2806190|755825
760916|1201|REIMBURSED EXPENSES|2020-07-21|21648|2806190|755825
760917|1201|REIMBURSED EXPENSES|2021-01-11|22165|2806190|755825
760918|1201|REIMBURSED EXPENSES|2020-06-04|63646|2806190|755825
760919|1201|REIMBURSED EXPENSES|2020-06-04|21044|2806190|755825
760920|1201|REFUND|2020-10-21|21080|2806191|755825
760921|1201|PLAYER MARKETING|2020-12-23|12000|2806192|755825
760922|1201|PLAYER MARKETING|2020-03-06|48000|2806193|755825
760923|1201|MANAGEMENT FEE|2021-01-28|15300|2806194|755825
760924|1201|PLAYER MARKETING|2021-01-22|100000|2806195|755825
760925|1201|PLAYER MARKETING|2020-10-02|30000|2806195|755825
760926|1201|PLAYER MARKETING|2020-11-17|20000|2806195|755825
760927|1201|PLAYER MARKETING|2020-11-13|11250|2806195|755825
760928|1201|PLAYER MARKETING|2020-12-11|11250|2806195|755825
760929|1201|PLAYER MARKETING|2020-03-06|91500|2806196|755825
760930|1201|REIMBURSED EXPENSES|2020-05-08|32584|2806196|755825
760931|1201|MARKETING COMMITMENT|2020-12-02|125000|2806197|755825
760932|1201|PLAYER MARKETING|2020-03-03|56375|2806197|755825
760933|1201|MARKETING COMMITMENT|2020-07-09|50000|2806197|755825
760934|1201|MARKETING COMMITMENT|2020-09-02|50000|2806197|755825
760935|1201|MARKETING COMMITMENT|2021-02-16|50000|2806197|755825
760936|1201|PLAYER MARKETING|2020-11-23|8500|2806197|755825
760937|1201|PLAYER MARKETING|2020-04-03|800000|2806198|755825
760938|1201|PLAYER MARKETING|2020-04-13|800000|2806198|755825
760939|1201|PLAYER MARKETING|2020-05-20|784726|2806198|755825
760940|1201|PLAYER MARKETING|2020-03-17|750000|2806198|755825
760941|1201|PLAYER MARKETING|2021-01-29|738540|2806198|755825
760942|1201|PLAYER MARKETING|2020-06-12|701021|2806198|755825
760943|1201|PLAYER MARKETING|2020-12-14|696995|2806198|755825
760944|1201|PLAYER MARKETING|2020-08-12|689588|2806198|755825
760945|1201|PLAYER MARKETING|2020-03-24|650587|2806198|755825
760946|1201|PLAYER MARKETING|2020-04-28|646116|2806198|755825
760947|1201|PLAYER MARKETING|2020-07-15|622385|2806198|755825
760948|1201|PLAYER MARKETING|2020-04-14|594368|2806198|755825
760949|1201|PLAYER MARKETING|2020-07-30|561418|2806198|755825
760950|1201|PLAYER MARKETING|2020-06-24|540194|2806198|755825
760951|1201|PLAYER MARKETING|2020-07-13|539188|2806198|755825
760952|1201|PLAYER MARKETING|2020-06-01|530464|2806198|755825
760953|1201|PLAYER MARKETING|2021-02-17|510786|2806198|755825
760954|1201|PLAYER MARKETING|2020-05-14|500000|2806198|755825
760955|1201|PLAYER MARKETING|2020-06-18|500000|2806198|755825
760956|1201|PLAYER MARKETING|2020-12-22|496122|2806198|755825
760957|1201|PLAYER MARKETING|2020-04-17|493758|2806198|755825
760958|1201|PLAYER MARKETING|2020-07-20|466814|2806198|755825
760959|1201|PLAYER MARKETING|2020-06-22|463134|2806198|755825
760960|1201|PLAYER MARKETING|2020-11-09|458188|2806198|755825
760961|1201|PLAYER MARKETING|2020-06-03|450105|2806198|755825
760962|1201|PLAYER MARKETING|2020-06-15|433509|2806198|755825
760963|1201|PLAYER MARKETING|2020-11-16|411265|2806198|755825
760964|1201|PLAYER MARKETING|2020-11-04|410641|2806198|755825
760965|1201|PLAYER MARKETING|2020-05-18|399695|2806198|755825
760966|1201|PLAYER MARKETING|2020-03-05|395056|2806198|755825
760967|1201|PLAYER MARKETING|2020-09-10|371920|2806198|755825
760968|1201|PLAYER MARKETING|2020-08-06|354807|2806198|755825
760969|1201|PLAYER MARKETING|2020-04-06|339377|2806198|755825
760970|1201|PLAYER MARKETING|2020-11-18|337811|2806198|755825
760971|1201|PLAYER MARKETING|2020-12-31|322699|2806198|755825
760972|1201|PLAYER MARKETING|2020-08-18|296068|2806198|755825
760973|1201|PLAYER MARKETING|2020-09-14|156725|2806198|755825
760974|1201|PLAYER MARKETING|2020-09-02|153124|2806198|755825
761479|1201|Est. Employment Office Operations Reimbursement|2020-12-01|380000|2810976|766048
760976|1201|PLAYER MARKETING|2020-04-03|63677|2806198|755825
760977|1201|PLAYER MARKETING|2021-01-27|61261|2806198|755825
760978|1201|PLAYER MARKETING|2020-05-18|58805|2806198|755825
760979|1201|DEPOSIT RECEIVED IN ERROR|2020-12-18|37814|2806198|755825
760980|1201|PLAYER MARKETING|2021-01-07|32500|2806198|755825
760981|1201|PLAYER MARKETING|2020-06-08|7400|2806198|755825
760982|1201|REIMBURSED EXPENSES|2020-06-24|5290|2806198|755825
760983|1201|PLAYER MARKETING|2020-06-08|5000|2806198|755825
760984|1201|PLAYER MARKETING|2021-02-23|292670|2806198|755825
760985|1201|PLAYER MARKETING|2021-02-08|288187|2806198|755825
760986|1201|PLAYER MARKETING|2020-08-31|283772|2806198|755825
760987|1201|PLAYER MARKETING|2020-05-05|277717|2806198|755825
760988|1201|PLAYER MARKETING|2021-02-05|276290|2806198|755825
760989|1201|PLAYER MARKETING|2020-10-01|275986|2806198|755825
760990|1201|PLAYER MARKETING|2020-03-12|267164|2806198|755825
760991|1201|PLAYER MARKETING|2020-03-31|264156|2806198|755825
760992|1201|PLAYER MARKETING|2020-06-08|263578|2806198|755825
760993|1201|PLAYER MARKETING|2020-11-30|258442|2806198|755825
760994|1201|PLAYER MARKETING|2020-10-13|255656|2806198|755825
760995|1201|PLAYER MARKETING|2020-04-23|253820|2806198|755825
760996|1201|PLAYER MARKETING|2021-01-13|211794|2806198|755825
760997|1201|PLAYER MARKETING|2020-10-28|210396|2806198|755825
760998|1201|PLAYER MARKETING|2021-01-15|201709|2806198|755825
760999|1201|PLAYER MARKETING|2020-04-15|189838|2806198|755825
761000|1201|PLAYER MARKETING|2020-10-08|184366|2806198|755825
761001|1201|PLAYER MARKETING|2020-10-22|172420|2806198|755825
761002|1201|PLAYER MARKETING|2021-02-24|5000|2806199|755825
761003|1201|PRIOR YEAR VOID PAYMENT|2020-03-25|10000|2806200|755825
761004|1201|REFUND DEPOSIT|2021-01-14|75000|2806201|755825
761005|1201|SUPER BOWL TICKETS PURCHASED|2020-07-10|13100|2806202|755825
761006|1201|SUPER BOWL TICKETS PURCHASED|2020-06-17|6100|2806202|755825
761007|1201|PRIOR YEAR VOID PAYMENT|2020-03-25|5036|2806203|755825
761008|1201|PLAYER MARKETING|2020-05-13|97500|2806204|755825
761009|1201|PLAYER MARKETING|2021-02-12|60000|2806204|755825
761010|1201|PLAYER MARKETING|2020-09-10|25000|2806204|755825
761011|1201|PLAYER MARKETING|2021-02-18|15000|2806204|755825
761012|1201|PLAYER MARKETING|2021-02-25|15000|2806204|755825
761013|1201|REIMBURSED EXPENSES|2020-06-04|6945|2806204|755825
761014|1201|PLAYER MARKETING|2020-05-21|5000|2806204|755825
761015|1201|PRIOR YEAR VOID PAYMENT|2020-03-25|53234|2806205|755825
761016|1201|PRIOR YEAR VOID PAYMENT|2020-05-31|6432|2806206|755825
761017|1201|PLAYER MARKETING|2020-12-14|14980|2806207|755825
761018|1201|REIMBURSED EXPENSES|2020-04-17|6520|2806208|755825
761019|1201|SUPER BOWL TICKETS PURCHASED|2020-07-22|12800|2806209|755825
761020|1201|ROYALTY|2020-06-26|26323|2806210|755825
761021|1201|NFLPA SUPER BOWL EVENT|2020-03-04|37063|2806211|755825
761022|1201|PLAYER MARKETING|2020-09-24|145000|2806212|755825
761023|1201|PLAYER MARKETING|2020-10-21|70000|2806212|755825
761024|1201|PLAYER MARKETING|2020-05-19|22030|2806213|755825
761025|1201|PLAYER MARKETING|2020-04-08|11000|2806213|755825
761026|1201|VOID PAYMENT ISSUED 11/17/2020|2021-02-18|10000|2806214|755825
761027|1201|PLAYER MARKETING|2020-10-06|25000|2806215|755825
761028|1201|PLAYER MARKETING|2020-08-18|50000|2806216|755825
761029|1201|PRIOR YEAR VOID PAYMENT|2020-05-31|5000|2806217|755825
761030|1201|PRODUCTION REVENUE|2020-06-26|25000|2806218|755825
761031|1201|PRODUCTION REVENUE|2020-03-17|751638|2806218|755825
761032|1201|REIMBURSED EXPENSES|2020-04-28|34209|2806220|755825
761033|1201|REIMBURSED EXPENSES|2020-03-11|11425|2806220|755825
761034|1201|PLAYER MARKETING|2020-04-06|162500|2806221|755825
761035|1201|REIMBURSED EXPENSES|2020-06-15|25157|2806221|755825
761036|1201|REIMBURSED EXPENSES|2020-06-12|5000|2806222|755825
761037|1201|COBRA PREMIUMS|2020-08-26|5185|2806240|755825
761038|1201|PRODUCTION REVENUE|2020-03-06|253495|2806241|755825
761039|1201|REFUND OF 11/30/20 CHARGE|2020-12-09|8500|2806242|755825
761040|1201|ROYALTY|2020-08-07|7575|2806243|755825
761041|1201|ROYALTY|2020-11-30|12500000|2809564|755825
761042|1201|ROYALTY|2020-08-13|7950000|2809564|755825
761043|1201|ROYALTY|2021-01-14|1500000|2809564|755825
761044|1201|MARKETING COMMITMENT|2020-10-29|10000|2809564|755825
761045|1201|REIMBURSED EXPENSES|2020-06-18|52884|2809564|755825
761046|1201|PLAYER MARKETING|2020-04-22|22500|2809564|755825
761047|1201|PLAYER MARKETING|2021-02-10|16000|2809564|755825
761048|1201|PRODUCTION REVENUE|2020-04-30|40900|2809565|755825
761049|1201|PRODUCTION REVENUE|2020-05-01|250000|2809566|755825
761050|1201|MARKETING COMMITMENT|2020-07-02|1000000|2809566|755825
761051|1201|PLAYER MARKETING|2020-08-26|20000|2809567|755825
761052|1201|PLAYER MARKETING|2020-09-16|20000|2809567|755825
761053|1201|PLAYER MARKETING|2021-01-21|20000|2809567|755825
761054|1201|MARKETING COMMITMENT|2020-05-29|10000|2809567|755825
761055|1201|PLAYER MARKETING|2020-10-08|10000|2809567|755825
761056|1201|PLAYER MARKETING|2021-01-07|10000|2809567|755825
761057|1201|PLAYER MARKETING|2020-04-02|5000|2809567|755825
761058|1201|ROYALTY|2020-03-18|10232697|2809567|755825
761059|1201|PLAYER MARKETING|2020-03-12|1600000|2809567|755825
761060|1201|PLAYER MARKETING|2020-03-26|850000|2809567|755825
761061|1201|PLAYER MARKETING|2020-10-22|250000|2809567|755825
761062|1201|PLAYER MARKETING|2020-08-20|245000|2809567|755825
761063|1201|PLAYER MARKETING|2020-09-24|220000|2809567|755825
761064|1201|PLAYER MARKETING|2020-07-23|200000|2809567|755825
761065|1201|PLAYER MARKETING|2020-10-29|150000|2809567|755825
761066|1201|PLAYER MARKETING|2020-06-25|131430|2809567|755825
761067|1201|PRODUCTION REVENUE|2020-04-06|128382|2809567|755825
761068|1201|PLAYER MARKETING|2021-01-28|108750|2809567|755825
761069|1201|PLAYER MARKETING|2020-10-01|75000|2809567|755825
761070|1201|PLAYER MARKETING|2021-01-04|65000|2809567|755825
761071|1201|PLAYER MARKETING|2021-02-25|65000|2809567|755825
761072|1201|PLAYER MARKETING|2020-08-21|55000|2809567|755825
761073|1201|PLAYER MARKETING|2020-11-04|50000|2809567|755825
761074|1201|PLAYER MARKETING|2021-01-29|50000|2809567|755825
761075|1201|PLAYER MARKETING|2021-02-04|45000|2809567|755825
761076|1201|PLAYER MARKETING|2020-03-19|39500|2809567|755825
761077|1201|ROYALTY|2020-08-21|3400689|2809571|755825
761078|1201|ROYALTY|2020-11-19|6563334|2809571|755825
761079|1201|ROYALTY|2020-03-27|7560000|2809571|755825
761080|1201|PARTNERSHIP DISTRIBUTIONS|2020-09-09|4579057|2809571|755825
761081|1201|PARTNERSHIP DISTRIBUTIONS|2020-12-10|1579140|2809571|755825
761082|1201|PLAYER MARKETING|2021-02-10|773338|2809571|755825
761083|1201|PLAYER MARKETING|2021-02-24|487500|2809571|755825
761084|1201|PLAYER MARKETING|2020-12-11|402500|2809571|755825
761085|1201|PLAYER MARKETING|2020-08-12|235000|2809571|755825
761086|1201|PLAYER MARKETING|2020-12-11|200000|2809571|755825
761087|1201|PLAYER MARKETING|2021-01-21|113500|2809571|755825
761088|1201|PLAYER MARKETING|2020-12-02|100000|2809571|755825
761089|1201|PLAYER MARKETING|2020-07-15|91500|2809571|755825
761090|1201|PLAYER MARKETING|2020-08-27|23000|2809571|755825
761091|1201|PLAYER MARKETING|2020-10-07|20000|2809571|755825
761092|1201|PLAYER MARKETING|2020-10-21|15000|2809571|755825
761093|1201|PLAYER MARKETING|2020-03-19|14500|2809571|755825
761094|1201|MARKETING COMMITMENT|2020-05-20|10000|2809571|755825
761095|1201|PLAYER MARKETING|2020-07-01|5000|2809571|755825
761096|1201|PRODUCTION REVENUE|2020-05-06|5313|2809571|755825
761097|1201|SUPER BOWL TICKETS PURCHASED|2021-01-29|100200|2809571|755825
761098|1201|ROYALTY|2021-01-21|552839|2809571|755825
761099|1201|ROYALTY|2020-10-28|594083|2809571|755825
761100|1201|ROYALTY|2020-05-20|805053|2809571|755825
761101|1201|ROYALTY|2020-12-17|805053|2809571|755825
761102|1201|ROYALTY|2020-08-17|805053|2809571|755825
761103|1201|ROYALTY|2020-10-21|805053|2809571|755825
761104|1201|ROYALTY|2021-01-29|3237315|2809571|755825
761105|1201|2019 HEALTH INSURANCE PREMIUM REBATE|2020-10-06|6510|2809626|755900
761122|1201|HILTON GARDEN INN REFUND|2020-10-01|53780|2809857|756042
761123|1201|Organizer wage and fringes reimbursement|2020-05-18|5402|2809861|756116
761124|1201|Organizer wage and fringes reimbursement|2020-06-12|9084|2809861|756116
761125|1201|Organizer wage and fringes reimbursement|2020-04-06|7734|2809861|756116
761126|1201|Organizer wage and fringes reimbursement|2020-04-06|6187|2809861|756116
761140|1201|DONATION|2021-02-01|41667|2810138|756195
761141|1201|DONATION|2021-03-01|41667|2810138|756195
761142|1201|DONATION|2021-03-31|66663|2810138|756195
761143|1201|DONATION|2020-04-01|41667|2810138|756195
761144|1201|DONATION|2020-05-01|41667|2810138|756195
761145|1201|DONATION|2020-06-01|41667|2810138|756195
761146|1201|DONATION|2020-07-01|41667|2810138|756195
761147|1201|DONATION|2020-08-01|41667|2810138|756195
761148|1201|DONATION|2020-09-01|41667|2810138|756195
761149|1201|DONATION|2020-10-01|41667|2810138|756195
761150|1201|DONATION|2020-11-01|41667|2810138|756195
761151|1201|DONATION|2020-12-01|41667|2810138|756195
761152|1201|DONATION|2021-01-01|41667|2810138|756195
761153|1201|COPIER LEASE REIMBURSEMENT|2020-10-12|15393|2810141|756232
761154|1201|Per Capita Rebate|2020-07-30|1110|2810164|756324
761155|1201|Per Capita Rebate|2020-09-25|548|2810164|756324
761156|1201|Per Capita Rebate|2020-09-30|541|2810164|756324
761157|1201|Per Capita Rebate|2020-11-25|870|2810164|756324
761158|1201|Per Capita Rebate|2021-01-15|430|2810164|756324
761159|1201|International|2021-02-19|454|2810164|756324
761160|1201|Per Capita Rebate|2021-03-10|415|2810164|756324
