OID|DESCRIPTION|BOOK_VALUE|RPT_ID
95947|DEPOSITS HELD BY PAYROLL SERVICE PROVIDER|1458147|782151
95934|PREPAID INSURANCE|363876|782151
95946|DUE FROM AFFILATE IBEW -PBF|357275|782151
95945|MEETING DEPOSITS|208646|782151
95944|PREPAID CONVENTION EXPENSES|2346281|782151
95943|INVENTORY OF LOCAL UNION AND OFFICE SUPPLIES|542056|782151
95942|INVENTORY FOR MERCHANDISE HELD FOR RESALE|941985|782151
95941|DUE FROM BROKER FOR SECURITIES PENDING SETTLEMENT|310115|782151
95940|PREPAID PARKING|10025|782151
95939|PREPAID SERVICE AGREEEMENTS|63636|782151
95938|PREPAID SUBSCRIPTIONS|324474|782151
95937|PREPAID RENT|36006|782151
95936|PREPAID POSTAGE|137434|782151
95935|POSTAGE DEPOSIT|8000|782151
95948|EXCESS OF PENSION ASSETS OVER LIABILITIES|5657828|782151
96216|INVENTORY OF PROMOTIONAL ITEMS FOR RESALE/GIVEAWAY|27191|782780
96213|DEFERRED COMPENSATION PLAN|2517396|782780
96215|PREPAID INSURANCE|49809|782780
96214|SECURITY AND OTHER DEPOSITS|19685|782780
96217|VENDOR AWARD POINTS|1532|782780
95460|Security Deposits|18500|765211
95461|Due from AGVA Gen Sick & Relief Fund|15875|765211
96471|Prepaid Postage in Transit Publication Meter|35000|784414
96474|Interco Receivable-ATU Training & Education Center|3235229|784414
96473|Accr Int ATU Training & Education Center Mortgage|10242853|784414
96472|ATU Health Fund Reserve|28000|784414
95524|Accrued Investment Income|20573|766187
95527|Investment Market Value Adjustment|2035084|766187
95526|Exchanges|476|766187
95525|Prepaid Expenses|15463|766187
95751|PREPAID AIRFARE|149671|780644
95754|FUNDS FROM MEMBERS TO BE RECEIVED|2539|780644
95753|SIGNALMAN'S STORE INVENTORY|95418|780644
95752|PREPAID INSURANCE|8794|780644
95571|ACCRUED INTEREST AND DIVIDENDS|188669|773317
95574|SECURITY DEPOSITS & OTHER|8548|773317
95573|INVENTORY|23839|773317
95572|PREPAID EXPENSES|131646|773317
95653|ACCRUED INTEREST RECEIVABLE|12889|777652
95656|INVENTORY|25805|777652
95655|PREPAID EXPENSES|4250|777652
95654|DEPOSITS|252492|777652
96087|PREPAID EXPENSES|87538|782530
96090|INTEREST RECEIVABLE ON CDS AND INVESTMENTS|2278|782530
96089|CONVENTION DEPOSIT|441018|782530
96088|MERCHANDISE INVENTORY|115170|782530
96258|Inventory|43498|782865
96260|Due From Affiliates|62156|782865
96259|Prepaid Expenses|237616|782865
95463|Statues on hand|19272|765242
95468|Affinity inventory on hand|4518|765242
95467|Prepaid rent|67589|765242
95466|Transit checks in hand|14393|765242
95465|Dependent health care deposit|6100|765242
95464|Postage on deposit|2848|765242
95979|PREPAID INSURANCE|98|782253
95980|PREPAID RENT|290|782253
95657|ACCRUED INTEREST RECEIVABLE|5875|777656
95739|Cash Value on Deferred Compensation|1681665|780578
95744|Prepaid Convention expenses|14530|780578
95743|Prepaid Postage-RCBP|2546|780578
95742|Prepaid Other expenses|108196|780578
95741|Prepaid Postage|6000|780578
95740|Prepaid Insurance|110205|780578
95531|Accrued Interest and Dividends|1533578|766195
95541|Prepaid UNI Assesment|386657|766195
95540|Cash Collateral Held for Securities Lending|5677269|766195
95539|Prepaid License and Subscriptions|324845|766195
95538|Prepaid Benefits|300344|766195
95537|Deferred Rent|324251|766195
95536|Prepaid Maintenance Contract|244233|766195
95535|Prepaid Postage|685282|766195
95534|Prepaid Insurance|311924|766195
95533|Prepaid Taxes|287864|766195
95532|Inventory|351034|766195
96100|Prepaid Payroll Liability|408|782558
96324|INVENTORY OF PROMO ITEMS FOR MEMBERS (ESTIMATED)|55728|782952
95963|PREPAID LIFE AND DISABILITY INSURANCE WITHHOLDINGS|7449|782221
95964|INVENTORY PROMO ITEMS/CARDS EMPLOYEE/MBRS (EST)|17000|782221
95707|SUPPLIES INVENTORY|1649|778038
95593|Advancement to SMART Northeast Regional Council|242542|773741
96278|LABOR TEMPLE ASSOCIATION INC.|25000|782880
96186|INVENTORY OF TRAINING BOOKS AND KNEEPADS|66751|782707
96188|PREPAID EXPENSES|145825|782707
96187|PREPAID INSURANCE|88278|782707
96143|Inventory of Supplies for Resale|2766|782619
96144|Prepaid Payroll Taxes|1019|782619
95794|Butterball Gift Certificates|1540|780785
96308|Deposit|417|782926
95650|Other |2932|777586
95651|Prepaids|5000|777586
96467|SUPPLIES INVENTORY|1050|784388
96328|Due from Pension Fund|53257|782965
96330|Due From Health and Welfare Fund|2630|782965
96329|Due from Annuity Fund|4030|782965
96112|Prepaid Expenses|11082|782583
96415|ALLOWANCE FOR DOUBTFUL ACCOUNTS--MISC. REC.-OTHER|-14004|783076
96412|PREPAID EXPENSE-INSURANCE|2075|783076
96414|PAYPAL ACCOUNT|113501|783076
96413|MISCELLANEOUS RECEIVABLE|115|783076
95766|PREPAID EXPENSES|14609|780692
95767|DUE FROM MEMBERS|14673|780692
95837|Construction Bond|11600|781936
96039|clothing and other merchandise on hand|9163|782404
95992|INVENTORY OF PROMOTIONAL MERCHANDISE|141000|782276
95993|SPORTS TICKETS FOR MEMBERS|13805|782276
96038|PREPAID PAYROLL|8021|782374
96184|PROMOTIONAL ITEMS INVENTORY|26289|782698
95662|Security Deposit|4000|777704
95860|Property Tax Escrow|4749|782011
95861|Inventory|22137|782011
95783|INVENTORY OF PROMOTIONAL ITEMS|3695|780738
95502|Prepaid Health Insurance Benefits|187106|766082
95506|Other Prepaid Expense|191902|766082
95505|Prepaid Insurance|198404|766082
95504|Prepaid Transit Checks|26500|766082
95503|Prepaid Postage|40707|766082
95919|UNION IMPRINTED PROMOTIONAL ITEMS|11540|782132
95920|UNREDEEMED CREDIT CARD REWARD POINTS|6336|782132
96053|PREPAID RENT|217536|782471
95721|SUPPLIES INVENTORY|7871|778140
95722|DUE FROM AFFILIATES|15432|778140
95748|Prepaid Rent|700|780589
96337|ESCROW FOR PURCHASE OF BUILDING|1000000|782981
95632|Security Deposit|3266|777345
96052|Accrued Interest|11846|782469
95983|PREPAID INSURANCE|1385|782257
96366|Merchandise Inventory|13901|783022
96367|Due from TWC|1063|783022
95909|Utility Certificate of Deposit|2212|782109
96181|NONE|0|782685
96001|INVENTORY OF BIBLES|2401|782294
96004|PROMISSORY NOTE FROM INTERNATIONAL (DUE 7/31/23)|250000|782294
96003|RECEIVABLE FROM JATC (TRAINING PROGRAM)|20930|782294
96002|PREPAID INSURANCE|8718|782294
95811|Prepaid Expenses|240|780856
95629|Sales items inventory|9638|777261
95817|Logo inventory to sell/donate to members|13890|780871
95634|INTEREST RECEIVABLE |21363|777396
95635|MISCELLANEOUS RECEIVABLES & PREPAIDS|16970|777396
96428|DUE FROM AFFILIATES|3272|783111
96431|PREPAID PAYROLL TAXES|12089|783111
96430|PREPAID REAL ESTATE TAXES|110874|783111
96429|DEPOSITS|11700|783111
96050|INVENTORY|3147|782468
96051|DUE FROM APPRENTICESHIP|737|782468
96026|N/A|0|782331
95702|Utility Deposits|841|778008
95704|Prepaid payroll taxes|122|778008
95703|Organization Costs|674|778008
96482|Dues receivable|38158|785293
96484|Deposits|627|785293
96483|Supplies|250|785293
96091|PREPAID RENT|684|782536
96212|Security Deposit|5703|782779
96185|DEPOSITS|2862|782706
95757|UTILITY DEPOSITS|125|780654
95758|PREPAID TAXES|11833|780654
96048|Inventory|3896|782467
96049|Prepaid Expenses and Other Current Assets|32342|782467
96218|Shirts, Hats, Decals|12971|782783
95523|Lease Deposit|1927|766180
96071|N/A|0|782513
95681|Refundable deposit|744|777788
95682|Inventory of shirts, hats, etc. logo merchandise|25408|777788
96023|Shares in Ditch Company|60|782326
95899|Investment in Building Corporation|249639|782089
95633|INVENTORY OF PROMOTIONAL ITEMS|1233|777353
95831|INVENTORY OF PROMOTIONAL ITEMS FOR MEMBERS|6100|781904
96141|Investment in Building Trades Partners|500|782617
95994|N/A|0|782278
96231|INVENTORY FOR RESALE|24035|782814
96232|PREPAID PAYROLL|4999|782814
96221|Accrued Income|10831|782787
96248|INVENTORY OF PROMOTIONAL ITEMS|5465|782852
96249|CREDIT CARD REWARD POINTS|820|782852
95862|INVENTORY|19750|782012
96111|Fixed Assets Not in Service|15972|782582
95637|LEASED EQUIPMENT CAPITALIZED|312|777404
95638|PREPAID TAXES|5943|777404
96426|DEPOSITS|926|783109
96427|PREPAID INSURANCE|9198|783109
95769|LOCAL 150 BUILDING CORP|2255608|780698
95770|INVENTORY|9044|780698
95924|Prepaid Expenses|2135|782141
95684|PREPAID INSURANCE|19884|777797
95685|INTEREST RECEIVABLE|246|777797
95674|INVENTORY OF PROMOTIONAL ITEMS (ESTIMATED)|8600|777749
96000|Expense advances|21533|782291
96267|Utility deposits|2835|782869
96268|Other|1976|782869
95887|Deposits|2655|782062
96296|SHIRTS INVENTORY|734|782897
95852|APPAREL INVENTORY|33106|781983
96298|Prepaid expense|1195|782907
95854|Apparel Inventory|3095|781986
96346|INVENTORY|83353|782995
96348|MEMBER DUES PREPAID|15573|782995
96347|CASH PREPAID FOR PAYROLL|15109|782995
95977|Supplies for resale|36598|782249
96226|Deposit on Tupelo, MS Building|1000|782798
95844|INVENTORY OF PROMOTIONAL ITEMS|2205|781949
95877|Due from Local 451 Apprentice|15913|782039
95879|Accrued interest|56|782039
95878|Due from Local 451 Annuity|30785|782039
95925|Interest on Note Receivable|36749|782142
96150|Due from Affiliates|4785|782622
96148|Inventory|4700|782622
96149|Liquor License|16641|782622
95775|Prepaid Insurance|3754|780709
95730|DEFERRED COMPENSATION AGREEMENT|20812|780558
95731|INVENTORY OF PROMO ITEMS FOR MEMBERS (ESTIMATED)|1880|780558
95661|NONE|0|777694
95639|INVENTORY - PROMOTIONAL ITEMS|22355|777409
95640|UNREDEEMED CREDIT CARD AWARD POINTS|7626|777409
96183|N/A|0|782694
95828|NONE|0|781886
96507|Security Deposit|4590|785524
96508|Due from Benefit Funds|214813|785524
96059|INVENTORY FOR RESALE|6438|782487
96223|PREPAID EXPENSES|10971|782793
95960|Inventory |5135|782196
96153|Prepaid expenses|16900|782626
95952|Investment in LU #1253 IBEW Building Properties|81800|782156
96192|Denver Plumbers Home Building Association|3152715|782725
96094|Prepaid payroll taxes|392|782550
95787|ACCRUED INTEREST RECEIVABLE|36168|780750
95788|PREPAID INSURANCE|6225|780750
96518|Inventory of Union Logo Items: T-shirts, mugs, etc|2662|785606
95797|DUE FROM EMPLOYEES|1214|780813
95846|Inventories|14829|781965
95847|IUOE Local 9 Building Association|92020|781965
96432|Deposits|27925|783116
95912|Inventory|6000|782120
96151|PREPAID INSURANCE|2954|782624
96152|PREPAID PAYROLL & PAYROLL BENEFITS|4224|782624
96109|Inventory|15611|782580
96110|Vendor Credit|1109|782580
95646|Prepaid insurance|5953|777477
96354|PREPAID INSURANCE|112846|783016
96086|INVENTORY OF PROMOTIONAL ITEMS|11621|782527
95517|Security Deposits|171473|766144
95519|Due From Affliates|142386|766144
95518|Deferred Compensation Assets|6582441|766144
95672|Members promotional items, tickets for give-a-ways|1028|777730
96124|Prepaid Expenses|6640|782593
96125|Inventory|164|782593
95592|SECURITY DEPOSIT|341|773737
95587|Deposit|2420|773514
96320|INVENTORY|5850|782947
95897|NSF CHECKS RECEIVABLE|976|782086
95898|PREPAID SALARIES|5355|782086
96113|Inventory|5000|782585
95984|Accrued Interest Receivable|40|782265
95986|Prepaid Insurance|7270|782265
95985|International Shares|9600|782265
95628|Cemetery Lot|40|777224
96164|Merchandise Inventory (apparel)|5148|782658
95953|HATS, JACKETS AND BELT BUCKLES INVENTORY|10541|782159
95835|Prepaid Tax|903|781922
96161|ACCRUED INTEREST|1080|782657
96163|DUE FROM APPRENTICE TRAINING TRUST FUND|4000|782657
96162|PREPAID INSURANCE|1480|782657
95882|ACCRUED INTEREST RECEIVABLE|834|782045
95755|INVENTORY|3884|780651
95756|DUE FROM AFFILIATE|1224|780651
95617|INVENTORY OF MERCHANDISE FOR RESALE TO MEMBERS|8530|774030
96485|SUPPLIES INVENTORY|130|785302
96275|Non-sufficient checks|1048|782878
95779|Inventory|26316|780712
95780|Due from Affiliates|1999|780712
95824|Labor Temple Shares|5000|780887
95926|PREPAID EXPENSES|65253|782146
95930|DUE FROM IUOE LOCAL 399 HEALTH AND WELFARE FUND|270|782146
95929|DUE FROM IUOE LOCAL 399 POLITICAL EDU. COMMITTEE|8732|782146
95928|DUE FROM IUOE LOCAL 399 EDUCATIONAL TRAINING FUND|116613|782146
95927|PROMOTIONAL MERCHANDISE INVENTORY|20704|782146
95917|CREDIT CARD AWARD POINTS AVAILABLE FOR USE|620|782131
95918|INVENTORY OF PROMOTIONAL ITEMS FOR RESALE|105|782131
96083|DEPOSITS|0|782524
96084|DUE FROM OTHERS|0|782524
95761|N/A|0|780670
96321|Prepaid insurance|73804|782950
95997|Inventory: Caps, Shirts, Masks|1553|782281
95776|PREPAID INSURANCE|4804|780711
95778|PREPAID SALARY|1105|780711
95777|ACCRUED INTEREST RECEIVABLE|294|780711
95760|INVENTORY OF PROMO ITEMS FOR MEMBERS (ESTIMATED)|4700|780668
95750|INVENTORY OF SUPPLIES FOR RESALE|1546|780616
95891|Inventory on Hand|5644|782078
95892|Local 415 Pistol|2867|782078
95649|SUPPLIES INVENTORY|2317|777583
95890|PROMOTIONAL MERCHANDISE ON HAND|4739|782072
95795|STOCK IN LABOR TEMPLE|100|780800
95796|PREPAID LIABILITIES|9342|780800
96244|Prepaid Expenses|30600|782851
96247|Due from Pension Fund|19574|782851
96246|401K Contributions Withheld|2627|782851
96245|Security Deposits|17582|782851
96368|BURIAL LOTS|1500|783023
96271|INVERSION EN ACCIONES|5980|782873
96270|DEPOSITOS Y FIANZAS|2555|782873
96274|SOCIEDAD|655|782873
96273|CARGOS DIFERIDOS|259|782873
96272|FONDO ESCROW|4624|782873
96486|Under Member Dues|2240|785325
96440|Deposits-temporary certificate of occupancy|15000|783152
96442|Lakeview Cemetery lot|10|783152
96441|Deposits-office lease|1600|783152
96193|DUES RECEIVABLE|8210|782730
96195|PREPAID RENT|1350|782730
96194|PREPAID NC INCOME TAX WITHHELD|444|782730
96395|INVENTORY|5349|783053
96396|DEPOSITS|209|783053
95913|INVENTORY OF RINGS FOR RETIREES|44160|782122
95914|INVENTORY OF PROMOTIONAL ITEMS|15613|782122
95427|Deposits|45|756212
96422|Deposits|425|783093
96423|Credit Card Overpayment|4300|783093
96237|Prepaid Expenses|1232|782839
96239|TCEBA Net Assets|167308|782839
96238|Inventory|613|782839
96224|Prepaid insurance|931|782797
96225|Rent deposit|3562|782797
95978|Gift Cards|925|782252
95475|Prepaid withholding taxes|15057|766007
95477|Exchange|421|766007
95476|Security deposit|5550|766007
96336|Refundable Deposit|175|782978
96332|PREPAID EXPENSES|38113|782973
96334|SECURITY DEPOSIT|18966|782973
96333|INVENTORY OF PROMOTIONAL ITEMS|9646|782973
95677|Prepaid payroll|3106|777778
96322|618 High Avenue Corporation Net Assets|249792|782951
96323|Accrued Interest|5178|782951
95762|Prepaid Insurance|22789|780684
95763|Inventory|11300|780684
96189|Prepaid Assets|17138|782716
96190|Other Assets|1602|782716
96261|1. Security deposits|391048|782867
96266|Due from related organizations|25054|782867
96265|Marketable securities adjustment|3500969|782867
96264|Other receivables|4585|782867
96263|Accrued investment income|2015|782867
96262|Prepaid expenses|117734|782867
96103|Prepaid insurance|4982|782564
95990|Prepaid expenses|173399|782271
95883|PROMOTIONAL MERCHANDISE ON HAND|15863|782046
95833|PROMOTIONAL MERCHANDISE ON HAND|11459|781918
96250|SECURITY DEPOSITS|1000|782856
96306|Meter Deposits|25040|782919
96307|Dues Underpayments Receivable|138|782919
96063|Utility Deposit|635|782496
96064|Remitted Funds Collected on Behalf of Members|2973|782496
95981|PROMOTIONAL MERCHANDISE ON HAND|14417|782254
95973|PREPAID EXPENSES|61693|782242
96470|Prepaid expenses|684|784400
92026|NONE|0|740213
95876|Inventory of Supplies for Resale|8380|782036
96305|SECURITY DEPOSIT|15000|782913
95880|PROMOTIONAL MERCHANDISE ON HAND|29929|782041
96301|Other|9876|782909
96302|Deposits|1136|782909
95864|Prepaid Expenses|5982|782017
95865|Inventory|10589|782017
95999|Shirt Inventory|805|782290
95851|Apparel Inventory|337|781977
95790|Products for resale|5954|780755
95791|Credit balance on credit card|34|780755
95872| Cash Surrender Value of Life Insurance Policy|77555|782030
95873|Due from affiliates funds|2210|782030
95771|ESCROW|61500|780701
95774|VEHICLE LEASE CREDIT|21450|780701
95773|ACCRUED INTEREST|365322|780701
95772|INVENTORIES|19757|780701
96040|Advances |300|782411
96290|Rent Security Deposit|5526|782889
95821|Utility deposits|582|780876
95823|Real Estate Corp of the Operating Engineers Local|60873|780876
95822|Security deposit lease|550|780876
96191|DUE FROM RELATED PARTY|13909|782718
95949|PREPAID EXPENSE|103190|782153
95950|PREPAID LOAN FEES|13452|782153
95725|Prepaid Expenses|3494|779376
96446|PREPAID INSURANCE AND TAXES|8720|783185
96349|Payroll withholdings|201|782997
96077|Lease security deposits|7700|782518
96451|Prepaid Payroll Taxes|899|783205
95895|Amounts Due From Affiliate Organization|939|782085
95896|Lease Deposits|3500|782085
96335|LEASE DEPOSIT|12000|782976
95577|Store Inventory|3164|773421
95578|Payroll Liabilites|15|773421
96515|SECURITY DEPOSIT|1531|785573
96517|PROMOTIONAL ITEMS INVENTORY|3000|785573
96516|PREPAID PAYROLL LIABILITIES|46|785573
95812|UTILITY DEPOSIT|85|780857
95967|Rental Deposit|125|782230
95968|Taxes Receivable|4378|782230
95832|COMPUTER PROGRAMMING COSTS NET OF ACCUM AMORTIZATI|22791|781916
95764|SECURITY DEPOSITS|450|780685
96437|Prepaid ACH Salaries|18695|783137
95911|Payroll Asset|38439|782116
95759|INVENTORY OF PROMOTIONAL ITEMS|18598|780661
95594|Prepaid Union Dues |431|773755
96318|PREPAID INSURANCE|9051|782941
96319|PREPAID PER CAPITA|690|782941
95921|Federal Withholding Tax|25720|782133
96170|DEPOSITS|2428|782668
96168|PREPAID INSURANCE|10473|782668
96169|OTHER RECEIVABLE|65|782668
95800|Deposits |68|780837
96129|RENT DEPOSIT - OFFICE|6980|782601
95845|Remitted funds collected behalf of members|7895|781950
96369|Due from JATC|10|783028
96370|Merchandise Inventory|4125|783028
96227|RETURNED CHECKS|1172|782810
96230|PLU 68 BUILDING FUND|2375312|782810
