OID|DESCRIPTION|AMOUNT|RPT_ID
149959|Payroll Withholdingd $ Expenses Payable|7629|777774
149961|Vendors Income Tax Withheld Payable|5822|777774
149960|Payroll Benefirst Payable|21727|777774
151115|VACATION LIABILITY|266628|783061
151118|POST RETIREMENT BENEFIT OBLIGATION|340037|783061
151117|PR TAX AND BENEFIT LIABILITY|24352|783061
151116|SICK TIME LIABILITY|123812|783061
151188|BENEFITS PAYABLE|25774|783162
151189|SCHOLARSHIPS PAYABLE|3175|783162
149871|None|0|773865
149881|Payroll Taxes Payable|154|776517
149878|WITHHELD PAYROLL TAXES|2301|774032
151269|Accrued Expenses|6935|785474
151270|Payroll Taxes Payable|4196|785474
149953|Credit Card Payable|619|777738
149769|CREDIT CARDS PAYABLE|1703|773454
149770|RETIREMENT CONTRIBUTIONS PAYABLE|1850|773454
150024|Severance payable|27029|778063
150025|Exchange|701239|778063
149701|Payroll Liabilities|1135|766234
151173|Payroll withholdings payable|22120|783120
151174|Accrued Vacation|62907|783120
150359|Payroll withholding payabl|1770|782138
150789|Payroll Tax Liability|6874|782721
150790|Pension Plan Withdrawal Obligation - Liuna|101007|782721
150872|ACCOUNTS PAYABLE PAYROLL|62107|782849
150889|IELRB ESCROW|53260|782849
150888|POST RETIREMENT BENEFIT (LT)|8910829|782849
150887|DEFINED BENEFIT PENSION LIABILITY|50938441|782849
150886|DEFERRED DUES|8136895|782849
150885|RESERVE UNCOLLECTIBLE DUES|59254|782849
150884|FLEXIBLE SPENDING ACCOUNT|48673|782849
150883|REGIONAL REBATE|2225738|782849
150882|COMMUTER BENEFITS|4126|782849
150881|NEA GRANT PROJECTS|1403848|782849
150880|EMPLOYEE LIFE/LTD|1014|782849
150879|REAL ESTATE TAXES PAYABLE|132417|782849
150878|DEPENDENT CARE|5350|782849
150877|POST RETIREMENT BENEFIT (ST)|603689|782849
150876|ACCRUED VACATION|3837322|782849
150875|DUES PAYABLE FEE PAYERS|7019|782849
150874|DUES PAYABLE TO LOCALS|73521|782849
150873|DUES PAYABLE NEA|1768719|782849
150475|Employee withholding|4166|782268
150720|Accrued Leave & Associated Payroll Taxes|6795|782613
149780|ACCRUED EXPENSES|199193|773534
151136|ACCRUED ANNUAL LEAVE|586961|783068
151138|PAYROLL TAXES PAYABLE|8294|783068
151137|DEFERRED REVENUE|274971|783068
149551|PAYROLL TAXES & WITHHOLDINGS |4955|756220
149552|MDA FUNDRAISING|304|756220
150681|ACCRUED EXPENSES|2321222|782579
150195|Payroll Taxes |5778|781919
150198|Other Taxes Payable |1723|781919
150197|Prepaid Dues |673|781919
150196|Payroll Accruals |32600|781919
149620|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|6305|766034
150812|Payroll Taxes|798|782757
150542|Accrued Payroll Taxes|2025|782347
150544|PPP Loan |19466|782347
150543|Vacation Withheld |6097|782347
149919|Payroll related liabilities|10509|777605
150802|Benefits payable|36208|782744
150800|Vacation accrual|82490|782744
150805|Per capita tax|302802|782744
150804|Security deposits held for tenants|4138|782744
150803|Payroll liabilities|23557|782744
150801|Withdrawal liability|610887|782744
151227|Accrued Liabilities|2544|783287
150118|ACCRUED EXPENSES|67035|780744
150408|PENSION LIABILITY|1228307|782174
150050|Collections to Forward on Behalf of Members|7501|780572
150052|Payroll Withholdings|30004|780572
150051|Accrued Sick|4166|780572
150441|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|7609|782243
150442|STRIKE ASSISTANCE FROM INTERNATIONAL ASSOCIATION|4314|782243
150837|PCT Payable|15840|782790
150839|Due to Related Parties|3121|782790
150838|Payroll Withholdings|4661|782790
150762|PAYROLL DEDUCTIONS|128|782675
149965|Advance payment towards salary reimbursement|50000|777781
150090|MEMBER LIFE INS. PREMIUMS NOT REMITTED AT YEAR END|18534|780688
151111|Payroll Liabilities:Federal Taxes (941/944)|3644|783057
151113|Payroll Liabilities:OH Local Tax|74|783057
151112|Payroll Liabilities:NV Unemployment Tax|137|783057
150608|PAYROLL WITHHOLDINGS NOT YET REMITTED|2759|782511
150245|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|6252|782003
150246|MEMBER LIFE INS. PREMIUMS NOT REMITTED AT YEAR END|11150|782003
151156|PREPAID MEMBERS DUES|26129|783089
151160|CREDIT CARD PAYABLE|2859|783089
151159|UNION DUES WITHHELD|35|783089
151158|ASSESSMENTS WITHHELD|25|783089
151157|PAYROLL TAXES PAYABLE|1621|783089
150672|Credit Card|3082|782567
150673|Payroll Taxes, Benefits and Misc Withholdings|20795|782567
149996|Accrued Payroll|23223|777929
149999|Other Accrued Liabilities|37823|777929
149998|Accrued Payroll Taxes|35304|777929
149997|Accrued Vacation|47150|777929
149866|PAYROLL TAXES |1058|773852
149868|PAYROLL|2114857|773852
149867|PAYROLL DEDUCTIONS|48892|773852
150132|PAYTROLL TAXES|5646|780789
150897|Payroll Withholdings|451|782857
150724|Payroll Liability|2100|782616
150725|Credit Card Payable|122|782616
150325|PAYROLL TAX LIABILITY|4738|782103
150326|PENSION LIABILITY|5575|782103
150018|Payroll Liabilities|4474|778039
150268|DUES PAYABLE TO LOCALS|36870|782033
150271|DEFERRED INCOME - CONVENTION ADS|9625|782033
150270|BANKRUPTCY PROCEEDS PAYABLE TO MEMBERS|310167|782033
150269|PAYABLE ON BEHALF OF MEMBERS|15329|782033
150205|PAYROLL WITHHOLDING LIABILITIES|1581|781946
150206|COMPENSABLE ABSENCE|6500|781946
150505|WITHDRAWAL LIB. FROM MULTI-EMPLOYER PENSION PLAN|768546|782299
150506|COMPENSABLE ABSENCE|172000|782299
150221|PAYROLL WITHHOLDING LIABILITIES|397|781972
150224| ||781972
150223|WITHDRAWAL LIABILITIES FROM MULTI EMPLOYER PENSION|93258|781972
150222|COMPENSABLE ABSENCE|46600|781972
150597|EMPLOYEE DEFERRED COMPENSATION ACCOUNT|163471|782491
150599|PAYROLL WITHHOLDING LIABILITIES|1197|782491
150598|COMPENSABLE ABSENCE|38800|782491
150869|WITHDRAWAL LIB. FROM MULTI-EMPLOYER PENSION PLAN|452625|782848
150871|PAYROLL WITHHOLDING LIABILITIES|536|782848
150870|COMPENSABLE ABSENCE|116500|782848
150020|Payroll Tax Payable|260|778052
150023|Health & Welfare Payable|306|778052
150022|Pension Payable|221|778052
150021|Annuity Payable|515|778052
150619|PAYROLL TAXES WITHHELD AND UNPAID|15790|782522
150622|DUE TO AFFILIATE|28559|782522
150621|ACCRUED EXPENSES PAYABLE|66731|782522
150620|PER CAPITA TAXES PAYABLE|23618|782522
150626|WITHDRAWAL LIB. FROM MULTI-EMPLOYER PENSION PLAN|317700|782525
150628|PAYROLL WITHHOLDING LIABILITIES|270|782525
150627|COMPENSABLE ABSENCE|16900|782525
150261|Payroll withholding and taxes payable|7742|782028
150264|Per Capita Taxes Payable|68333|782028
150263|Accrued Vacation|9010|782028
150262|Pension Withdrawal Liability|551012|782028
150700|ACCRUED EMPLOYEE VACATION AND SICK TIME|147204|782599
150702|ACCRUED POST RETIREMENT BENEFITS|6533967|782599
150701|ACCRUED OTHER EXPENSES|56546|782599
144600|PAYROLL TAX LIABLITIES|596|740515
149947|ACCRUED EXPENSES|281213|777729
151009|Due to/from PAC|176|782933
151014|Accrued Expenses|141156|782933
151013|Accrued Wages|58127|782933
151012|Accrued Vacations|94231|782933
151011|401k Withholding|2332|782933
151010|Retirement Plan Withholding|2316|782933
150203|PER CAPITAL DUES PAYABLE |32862|781944
150204|AFFILIATION DUES PAYABLE |862|781944
150547|CREDIT CARD|1739|782367
150549|PAYROLL TAXES|453|782367
150548|AMOUNTS DUE TO RELATED PARTY |3924|782367
149614|ACCRUED PAYROLL|12946|766008
149615|UNEARNED DUES|111702|766008
149758|Miscellaneous Exchange|23648|773403
149760|Payroll taxes withheld and accrued|81|773403
149759|Credit Card Payable|19450|773403
150813|PAYROLL WITHHOLDING LIABILITIES|6962|782759
150815|WITHDRAWAL LIAB FROM MULTI-EMPLOYER PENSION PLAN|136476|782759
150814|COMPENSABLE ABSENCE|3500|782759
150422|PAYROLL WITHHOLDING LIABILITIES|1901|782223
150424|WITHDRAWAL LIAB FROM MULTI-EMPLOYER PENSION PLAN|121873|782223
150423|COMPENSABLE ABSENCE|8100|782223
149757|PAYMENT OF DISABILITY INSURANCE PREMIUM|43295|773330
151302|PAYROLL TAX|2014|785581
149528|Payroll Exchanges|9692|756116
149312|SEVERANCE PAYABLE|105788|753826
149313|DEFERRED INCOME - DUES|19192|753826
150651|WITHHELD PAYROLL TAXES|2799|782552
150832|Due to members |1696|782786
150834|Employee payroll deductions payable|42424|782786
150833|CARES Act deferred payroll taxes|249047|782786
150008|Accrued Payroll Liabilities|269|778005
150711|Damage deposits|1200|782606
150716|Dues withheld, payable|510|782606
150715|Payroll liabilities|278|782606
150714|Sales tax payable|80|782606
150713|Capital lease obligations|12985|782606
150712|Due to related parties|5116|782606
150042|NONE|0|779384
150174|VACATION DEDUCTION PAYABLE|845|780892
150898|Payroll and payroll tax liabilities|23159|782858
150899|Payable JATC|15859|782858
149761|PAYROLL WITHHOLDINGS|4007|773408
149763|DUE TO AFFILIATES - OTHER|48|773408
149762|DUE TO AFFILIATES - INT'L JATC|13|773408
149900|LOCAL UNIONS FUNDS HELD IN ESCROW|10421254|777414
149903|PAYROLL WITHHOLDINGS|13809|777414
149902|401K MATCH OWING|1180|777414
149901|SUTA/FUTA TAXES OWING|8637|777414
151129|Accrued Expenses|5625871|783067
151135|Withholdings|279094|783067
151134|Severance & Vacation Payable|13375034|783067
151133|Interest Rate Swap|1309834|783067
151132|Insurance Reserve|1000000|783067
151131|Deferred Income|528237|783067
151130|Accrued Post Retirement Benefits|38846929|783067
150334|Impounded funds Locals|22859|782114
150956|DEFERRED RECEIPTS|78140|782890
150958|PAC FUND RECEIPTS|309|782890
150957|SYSTEM COMMITTEES DUES AND FEES|152488|782890
151119|Shop Dues Collections Center Dues Payable|68444|783062
149631|Convention Accrual|603251|766075
149635|Deferred Compensation|600902|766075
149634|Payroll Deductions Payable|147227|766075
149633|Miscellaneous Payables|1237752|766075
149632|Per Capita Taxes Payable|15812|766075
149450|Payroll Liabilities|9177|755599
149452|Other Payables|24454|755599
149451|Funds Held for Locals/Guilds|8365|755599
149698|ACCRUED SICK LEAVE LIABILITY|227355|766219
149700|PAYROLL LIABILITIES|19004|766219
149699|ACCRUED SEVERANCE PAY LIABILITY|74702|766219
150904|CONSTITUTIONAL REVENUE - OVER/SHORT|48002|782863
150908|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|59323|782863
150907|LEGISLATIVE EDUCATION FUND PAYABLE|2187|782863
150906|AMOUNTS HELD FROM MEMBERS ON THEIR BEHALF AT Y/E|96171|782863
150905|FIELD DUES PAYABLE|199710|782863
149712|Payroll Liabilities|2504958|768487
149724|Allowances for Doubtful Account Strike Fund 2007-8|287338|768487
149723|Funds Held in Trust Undeliverable|1522712|768487
149722|Funds Held In Trust Contract Settlements|114270|768487
149721|Funds Held In Trust Small Residuals|13935|768487
149720|Funds Held In Trust Sea Side Reserve Acc|312417|768487
149719|Funds Held In Trust Residuals Reserves|5041259|768487
149718|Funds Held In Trust Residuals Claims|1811525|768487
149717|Funds Held In Trust Member Payment|409800|768487
149716|Funds Held In Trust Foreign Levies|17712589|768487
149715|Funds Held In Trust Client Trust|4592579|768487
149714|Funds Held In Trust Agency Negotiation|199516|768487
149713|Deferred Rent|46114|768487
150932|Credit Card Royal. Due Particip. Unions and Orgs.|4019096|782882
150948|AT&T Royalties Due Particip. Unions & Orgs|569443|782882
150947|Deferred Per Capita Receipts|129903|782882
150946|President's Organizing Initiative|175000|782882
150945|Debt Settlement Royalty|17474|782882
150944|UP Loan Royalties Due|331228|782882
150943|Payroll Withholding|13746|782882
150942|Accrued Pension|2758800|782882
150941|Funds Held for DALU's|112062|782882
150940|Working Families Commission|40882|782882
150939|Auto Ins. Royal. Due to Particip. Unions and Orgs.|139302|782882
150938|Loan Prog. Royal. Due to Particip. Unions and Orgs|499780|782882
150937|SCB National Affiliation Program|2558534|782882
150936|From Members for Disbursement|409921|782882
150935|Accrued salary and Vacation|1865108|782882
150934|Rent Deposits|78096|782882
150933|Codification 715-30 Liabilities - PED, IUD, FAST|2470477|782882
150579|WITHHOLDINGS & SALES TAX|392041|782460
150373|PER CAPITA TAX RECEIVED IN ADVANCE|11721924|782151
150389|DUE TO AFFILATE IBEW-PBF FOR ADMIN COSTS|200000|782151
150388|RECIPROCITY FUNDS COLLECTED PENDING DISBURSMENT|7461300|782151
150387|PAYROLL TAXES WITHHELD PENDING PAYMENT|38|782151
150386|DEFERRED MEETING INCOME|83043|782151
150385|DEFERRED CONVENTION INCOME|2023486|782151
150384|UNBILLED RENT LIABILITY ACCRUAL|1588442|782151
150383|DUE TO BROKER FOR SECURITIES PENDING SETTLEMENT|8159873|782151
150382|DUE TO AFL-CIO FOR STATE AFFILATION FEES|426927|782151
150381|COLLECTED FROM MEMBERS FOR DISB ON THIER BEHALF|37497|782151
150380|TVA U-10 FUNDS HELD|36212|782151
150379|TRAINING FUNDS HELD|49532|782151
150378|GE CBC FUNDS HELD|17763|782151
150377|ACCRUED SALARIES|1900405|782151
150376|ACCRUED VACATION LIABILITY|2145244|782151
150375|ACCRUED SUPPLEMENTAL PENSION LIABILITY|1401000|782151
150374|ACCRUED POST RETIREMENT BENEFIT COSTS|86921000|782151
149865|DUE TO NATIONAL - APRIL 2021|33573|773824
150827|DEFERRED COMPENSATION PLAN|2517396|782780
150828|DEFERRED LEASEHOLD ALLOWANCE|246952|782780
149590|Bond Security Payable|5316|765211
151233|Accrued Funeral Benefits for Life Members|7564284|784414
151236|Overpayment of Local Unions|567439|784414
151235|Fair Share Escrow Liability|25401|784414
151234|Payroll Withholdings|374657|784414
149681|Severance Payable|681614|766187
149683|Payroll Withholdings|1127|766187
149682|457B Plan Liabilities|439542|766187
150073|FUNDS ON BEHALF OF AFFILIATES TO BE DISBURSED|34823|780644
150074|PAYROLL WITHHOLDING LIABILITY|6300|780644
149752|ACCRUED PENSION LIABILITY|18879743|773317
149756|CREDIT BALANCE - LOCALS|103955|773317
149755|TENNANTS' SECURITY DEPOSITS|29357|773317
149754|EMPLOYER'S SECURITY BONDS|834501|773317
149753|DEFERRED INCOME|10217344|773317
149927|ACCRUED PAYROLL TAXES AND VACATIONS|2591119|777652
149933|SEVERANCE HELD IN ESCROW|86786|777652
149932|PREPAID RENT|5500|777652
149931|DUE TO LOCALS|22902037|777652
149930|ACCRUED OPERATING EXPENSES|1131618|777652
149929|ACCRUED POST-RETIREMENT LIABILITY|158437507|777652
149928|ACCRUED PENSION LIABILITY|96824912|777652
150634|NON-CURRENT PENSION LIABILITY|22734462|782530
150636|DEFERRED REVENUE|218350|782530
150635|PAYROLL WITHHOLDINGS|2384|782530
150911|Accrued Salaries|147101|782865
150917|Conference Income|131525|782865
150916|Due to Related Entities|40|782865
150915|Affiliation Fees|1875|782865
150914|Payroll Liabilities|722|782865
150913|Labor of Love Escrow|4677|782865
150912|Accrued Leave|136857|782865
149595|Flex benefits payable|17151|765242
149600|Union dues withheld|4115|765242
149599|Residuals/settlements payable|362689|765242
149598|Deferred rent|668070|765242
149597|Accrued employee vacation, sick and personal time|242159|765242
149596|Advance dues paid by members|20331|765242
150455|DEFERRED REVENUE|300|782253
150457|OTHER |23|782253
150456|OPERATING LEASE RIGHT OF USE|33292|782253
149934|AMOUNTS HELD FOR STRIKE FUNDS|1456539|777656
150055|State Chapter Dues Withholding|3317700|780578
150060|Deferred Dues|111510|780578
150059|Annual Sick and Vacation Leave|4216145|780578
150058|Post Retirement Benefits|2423000|780578
150057|Deferred Compensation Liability|1681665|780578
150056|Accrued Salary and Payroll Withholding|536886|780578
149686|Due to Branch and State|908243|766195
149696|Deferred Revenue|978642|766195
149695|Associate Member Dues|71142|766195
149694|Post Retirement Benefits|25746049|766195
149693|Accrued Leave|1945119|766195
149692|Obligation to Refund Cash Collateral|5677269|766195
149691|Unrealized Loss on Securities Lending|234451|766195
149690|Employer Benefit Liabilities|212321|766195
149689|Stale Dated Checks|1586663|766195
149688|Depostis|6239|766195
149687|Payroll Liabilities|301618|766195
144743|PAYROLL TAXES|2508|741924
149876|Union Dues Payable|1137|773987
150412|SEVERANCE PAYABLE|15464|782200
150276|RENT AND SECURITY DEPOSITS|13906|782038
150277|WITHHELD PAYROLL TAXES|109|782038
151023|MEMBERS LIFE INSURANCE PREMIUMS TO BE REMITTED|34407|782952
151025|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|274|782952
151024|BUILDING INSPECTOR DUES COLLECTED TO BE REMITTED|10389|782952
150419|DUES CHECKOFF ESCROW ACCOUNT|806000|782221
150421|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|82090|782221
150420|EMPLOYER BOND DEPOSITS|746610|782221
150017|PAYROLL WITHHOLDINGS |2569|778038
149830|EMPLOYEE WITHHOLDINGS|1032|773741
149831|FUND BALANCE - PAL FUND|19288|773741
149924|Accrued Withholding-Pension|5782|777623
149922|Accrued Withholding-State|850|777623
149925|Accrued Withholding-Vacation|2688|777623
149923|Accrued Withholding-City|152|777623
150929|DEFERRED REVENUE|59856|782880
150780|SECURITY DEPOSITS|11620|782707
150783|DUE TO CONTRACTORS |6296|782707
150782|DUE TO LOCAL UNIONS|1295069|782707
150781|PAYROLL LIABILITES|24113|782707
150775|PAYROLL EXCHANGES|12251|782690
150849|DEPOSITS|5208|782820
150127|Vacation Funds collected and payable to members|93402|780785
150130|Security deposits|2187|780785
150129|Payroll liabilities|4703|780785
150128|Construct. Division Field Dues Supplement payable|96041|780785
150213|PAYROLL LIABILITIES|5077|781952
151000|Payroll withholdings payable|2567|782926
149911|Payroll Liabilities|3728|777586
149914|Contributions due to Benefit Funds|3364|777586
149913|Due to Pension Fund|75|777586
149912|Due to LMCT|3850|777586
150863|Payroll Tax Withholdings & Liabilities |10553|782836
150091|Payroll Liabilities|2404|780690
150092|Other Payroll Withholdings|2167|780690
151229|PAYROLL LIABILITIES|10712|784388
151037|Payroll Tax Liabilities|1347|782965
151150|COMPASS MASTERCARD|5152|783076
151152|PAYROLL TAXES PAYABLEQ|5428|783076
151151|FRINGE BENEFITS--TIW FUNDS|3796|783076
150093|UNEARNED DUES|23891|780692
150095|ACCRUED TARGET GRANTS|184800|780692
150094|WITHHOLDING TAX|2710|780692
150201|Due to Affiliate|26315|781936
150202|Payroll Taxes Payable|7885|781936
149968|PAYROLL WITHHOLDING ACCRUALS|2380|777786
149969|DUE TO AFFILIATES|4764|777786
150481|NONE|0|782276
150554|STATE OF MICHIGAN WITHHOLDING|2423|782374
150560|DUES PAYABLE|16162|782374
150559|ACCRUED PENSION|22546|782374
150558|DUE TO PAC FUND|1556|782374
150557|STATE AND FEDERAL UNEMPLOYMENT TAX|2040|782374
150556|123 CONTRIBUTION WITHHELD|10700|782374
150555|ACCRUED COMMITTEE EXPENSE|35465|782374
150678|Payroll Tax|4264|782577
150679|Other Payroll Withholdings|720|782577
150148|U-9 Per Capita |1076|780855
150150|Expense Reimbursements|624|780855
150149|Payroll Tax Liabilities|702|780855
150761|Payroll withholding|4212|782674
149940|Payroll Liabilities |1462|777691
149920|PAYROLL LIABILITIES|10348|777619
149921|FUNDS HELD FOR OTHERS - VACATION & HOLIDAY|21172|777619
150249|Vacation Funds Payable|179885|782011
150250|Payroll Taxes and Withholdings Due|21570|782011
150117|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|3196|780738
149637|Accrued Post-Retirement Healthcare Obligation|8666753|766082
149647|Accrued Payroll|219435|766082
149646|Bonding Liabilities|10425797|766082
149645|Accrued  Operating Expenses|736294|766082
149644|Tenant Security Deposits|4692|766082
149643|Deferred Rent|500000|766082
149642|Deferred Membership Dues|40407|766082
149641|Accrued Sick Leave|420283|766082
149640|Accrued Severance|424581|766082
149639|Accrued Vacation|608338|766082
149638|Accrued Pension Obligation|21431984|766082
150514|Payroll Taxes|0|782313
150516|Credit Card Payable|2953|782313
150515|Per Capita due to Int'l Office|30166|782313
150350|CONSTRUCTION DIVISION FIELD DUES PAYABLE|52904|782132
150349|PAYROLL WITHHOLDINGS NOT REMITTED AT YEAR END|9735|782132
150351|ACCRUED BENEFITS NOT REMITTED AT YEAR END|41029|782132
150584|ACCRUED AND WITHHELD PAYROLL TAXES|1729|782471
150744|Members Life Insurance Premiums Not Remitted at YE|15670|782646
149521|Payroll Liabilities|3735|756006
150032|DUE TO AFFILIATES|7273|778140
150067|Arrcued Payroll Taxes|3578|780589
151053|Unremitted receipts from members|1956|782981
150594|UNREMITTED PER CAPITA TAXES|44139|782484
150595|UNREMITTED PAYROLL TAXES AND WITHOLDINGS|4889|782484
150583|Agency Payment Due LSCEW|14087|782469
150468|DUES PAID IN ADVANCE|66919|782257
150469|ACCRUED PAYROLL TAXES AND WITHHOLDING|471|782257
151091|Contractor Deductions Payable|4|783022
151090|Credit Card Payable|3619|783022
151092|Payroll Taxes Payable|235|783022
150331|Payroll Withholdings|15613|782109
150771|IST QUARTER '21 FICA & WITHHOLDING JAN-MARCH 2021|3811|782685
150139|Death Benefit Funds Received from Members|10716|780836
150140|COPE Fund|5123|780836
150776|PAYROLL LIABILITIES|741|782692
150254|Payroll Withholding|13014|782016
149558|Security Deposits Held|5300|756332
149886|Payroll tax and liabilities|18621|777261
149548|Per Capita Payable|27832|756194
149549|Payroll Withholding Payble|2334|756194
149891|DEATH BENEFIT PAYABLE|37964|777396
149893|ACCRUED EXPENSES|70780|777396
149892|ELECTRICAL INDUSTRY ADVANCEMENT FUND|2398356|777396
151168|ACCRUED EXPENSES|193916|783111
151169|SECURITY DEPOSITS PAYABLE|45350|783111
150825|Payroll Liabilities|743|782778
150581|ACCRUED PAYROLL WITHHOLDINGS|2384|782468
150582|CREDIT CARD LIABILITIES|2755|782468
150413|Payroll Tax Withholdings|1578|782207
150529|Payroll Withholdings Payable|3762|782331
150530|Deposits Held|4569|782331
150009|Security Deposits|6050|778008
150010|Taxes Payable|2|778008
151256|Accrued and withheld payroll taxes|236|785293
150444|Payroll Liabilities |481|782247
150445|Direct Deposit Liability|9346|782247
150640|PAYROLL WITHHOLDING LIABILITIES|7983|782536
150641|PREPAID PER CAPITA TAX|57093|782536
150826|PPP Loan Payable|99162|782779
150778|PAYROLL TAXES WITHHELD|5734|782706
150779|OFFICERS SEVERANCE BENEFIT|10000|782706
150077|ALABAMA INCOME TAX WITHHELD|2949|780654
150078|UNION DUES WITHHELD|230|780654
150831|Payroll Withholdings and Liabilities|9263|782783
150082|Payroll Liabilities|8410|780664
150216|PER CAPITA PAYABLE|29131|781962
149660|FUTA taxes payable|217|766125
149662|International and COPE dues withheld|620|766125
149661|State Withholding and SUTA taxes payable|899|766125
149679|Garnishment Withheld|1755|766180
149680|Union Dues Withheld|450|766180
